"objectid","addr_guid","rfidtag","containersize","cartlifts","res_vs_comm","yn_longterm_vacant","address","zipcode","neighborhood","oesstucttype","oesclassification","land_use_desc","route_day","latitude","longitude","date"
"9458042",,"112910195759009610022525","96 GALLON RECYCLE","1","RES","N","2709 SILVERLEAF AV","45212","PLEASANT RIDGE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U1-GOLD","39.17887255","-84.43881933","2017-12-01T00:00:00.000"
"9269200",,,,"0","COMM","N","2023 BALTIMORE AV","45225","ENGLISH WOODS","LTU","COMMERCIAL","VACANT","THU-U9-GREEN","39.14047481","-84.56134641","2018-01-01T00:00:00.000"
"9309873",,,,"0","RES","N","5632 GARDENHILL LN","45232","WINTON HILLS","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","THU-U1-GOLD","39.19160456","-84.51207729","2018-01-01T00:00:00.000"
"9373240",,,,"0","COMM",,,,"EAST END","LTU","COMMERCIAL","VACANT","WED-U16-GOLD",,,"2018-01-01T00:00:00.000"
"9373240",,,,"0","COMM",,,,"EAST END","LTU","COMMERCIAL","VACANT","WED-U16-GOLD",,,"2018-01-01T00:00:00.000"
"9385827",,,,"0","COMM","N","428 SYCAMORE ST","45202","DOWNTOWN","B","COMMERCIAL","COMMERCIAL","MON-U6-GOLD","39.1014424","-84.50782748","2018-01-01T00:00:00.000"
"9501909",,,,"0","COMM","N","2313 WILLIAMSBURG DR","45225","VILLAGES AT ROLL HILL","5+ FAM","COMMERCIAL","APARTMENTS 5+ UNITS","THU-U6-GREEN","39.15422855","-84.56031947","2017-12-01T00:00:00.000"
"9303091",,,,"0","COMM",,"342 ERKENBRECHER AV","45229","CORRYVILLE","B","COMMERCIAL","INSTITUTIONAL","TUE-U3-GREEN","39.14211752","-84.5013435","2018-01-01T00:00:00.000"
"9337974",,"082710012617009610036902","96 GALLON RECYCLE","1","RES","N","5853 LINNEMAN ST","45228","CALIFORNIA","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U2-GREEN","39.06560948","-84.42500657","2018-01-01T00:00:00.000"
"9416446",,"121410212909009610076822","96 GALLON RECYCLE","2","RES","N","5705 ADELPHI ST","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U1-GREEN","39.15297499","-84.39770739","2017-12-01T00:00:00.000"
"9322349",,,,"0","COMM",,"1501 HERALD AV","45207","EVANSTON","LTU","COMMERCIAL","VACANT","TUE-U13-GREEN","39.14724976","-84.47666195","2018-01-01T00:00:00.000"
"9322349",,,,"0","COMM",,"1501 HERALD AV","45207","EVANSTON","LTU","COMMERCIAL","VACANT","TUE-U13-GREEN","39.14724976","-84.47666195","2018-01-01T00:00:00.000"
"9418746",,"090710032318006410007305","64 GALLON RECYCLE","1","RES","N","3320N STERLING WY","45209","OAKLEY","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U10-GREEN",,,"2017-12-01T00:00:00.000"
"9275934",,"082610062915009610001377","96 GALLON RECYCLE","1","RES","N","6606 BRAMBLE AV","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U12-GREEN","39.15142895","-84.38463456","2018-01-01T00:00:00.000"
"9517389",,"113010022443009610068001","96 GALLON RECYCLE","0","RES","N","5346 TANNER AV","45213","PLEASANT RIDGE","TWO FAM","RESIDENTIAL","RESIDENTIAL - TWO FAMILY","TUE-U12-GOLD","39.17143512","-84.43097266","2017-12-01T00:00:00.000"
"9378731",,"090810152427009610043052","96 GALLON RECYCLE","3","RES","N","5112 SHATTUC AV","45208","MT. LOOKOUT","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U14-GOLD","39.13005825","-84.41119894","2018-01-01T00:00:00.000"
