"pci_2015","iri_in_m_2015","fid","oid","featureid","strsegid","networkid","branchid","networknam","branchname","branchuse","from","sectionid","to","category","rank","stsegmtid","surface","area","length","width","assetnhood","cagclass","lane_cnt","objectid","rptclass","slablength","slabwidth","id","constructi","latitude","longitude","polygonid","pointid","strlabel"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656525805012","-84.4201983070253","728","14269","DUCK CREEK RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656470914599","-84.4201721384213","728","14270","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009152260788","-84.6735825881839","3359","63912","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009159293938","-84.6736182982388","3359","63913","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.165641424883","-84.4201464071027","728","14271","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009163751418","-84.673654000336","3359","63914","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009165633228","-84.6736896944751","3359","63915","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009165804108","-84.6737253821714","3359","63916","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656357573999","-84.4201206757638","728","14272","DUCK CREEK RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656300116516","-84.4200945013169","728","14273","DUCK CREEK RD"
