"asset","assetnhood","distance_traveled","heading","id_ham_pvmnt_plygn","latitude","loadts","longitude","odometer","ppolylabel","reasons","reasons_text","speed","streetfrom","streetto","time"
"317","WEST PRICE HILL","0.1","NNE","S-HAM03339","39.108567","20210104085529","-84.59512","38216.1","HERMOSA AV","9","Motion Stop","0.0","CARNATION CIR","W 8TH ST","20210104085517"
"483","OVER-THE-RHINE","0","S","S-HAM20247","39.114371","20210104093208","-84.512336","8378.6","MAIN ST","11","Standard Event","13.1","E CLIFTON AV","PEETE ST","20210104093134"
"130","WEST PRICE HILL","0.1","N","S-HAM03328","39.108329","20210104131318","-84.585651","80047.2","SUNSET AV","10","Motion Start","3.7","W 8TH ST","ST WILLIAMS AV","20210104131316"
"276","PADDOCK HILLS","0.6","S","S-HAM30071","39.169485","20210104112426","-84.478541","80496.7","PADDOCK RD","11","Standard Event","28.6","TENNESSEE AV","SR 562 EB TO PADDOCK RD RAMP","20210104112411"
"317",,"0.5","SSE",,"39.27178","20210104132254","-84.597099","38240.8",,"10","Motion Start","4.8",,,"20210104132251"
"197","WEST PRICE HILL","0.4","E","S-HAM01835","39.12342","20210104093702","-84.597555","82719.6","PROSPERITY PL","11","Standard Event","24.2","ASHBROOK DR","FERGUSON RD","20210104093629"
"380",,"0.6","W",,"39.142382","20210104014443","-84.534018","22686.9",,"9","Motion Stop","0.0",,,"20210104014440"
"318",,"0.6","SWW","S-HAM52807","39.229744","20210104131153","-84.636625","15195.5","I-275 WB EXWY","11","Standard Event","64.6","BLUE ROCK RD TO I-275 WB EXWY RAMP","RRCC WB TO I-275 WB RAMP","20210104131007"
"72","CORRYVILLE","1.3","W","I-GJ15223474","39.135497","20210104082931","-84.510256","108624.4","VINE ST & E MARTIN LUTHER KING JR DR & JEFFERSON AV & W MARTIN LUTHER KING JR DR","9","Motion Stop","0.0",,,"20210104082928"
"301",,"0.2","N",,"39.271931","20210104121203","-84.597054","49629",,"11","Standard Event","5.2",,,"20210104121035"
"305","WESTWOOD","0.6","SEE","S-HAM37702","39.12796","20210104102325","-84.584665","44854.9","OAKTREE PL","11","Standard Event","14.9","RIDGETOP WY","TERM W OF RIDGETOP WY","20210104102318"
"240","MOUNT AUBURN","0.1","N","I-GJ15383339","39.122991","20210104082327","-84.50836","95414.7","AUBURN AV & MCGREGOR AV & GLENCOE PL","11","Standard Event","15.9",,,"20210104082300"
"465",,"0","NNE",,"39.150419","20210104084105","-84.54406","8942.8",,"11","Standard Event","32.9",,,"20210104084040"
"317","WEST PRICE HILL","0.1","NEE","S-HAM03377","39.105145","20210104101952","-84.594658","38218.5","CAPPEL DR","9","Motion Stop","0.0","DELRIDGE DR","SCHULTE DR","20210104101928"
"48","CAMP WASHINGTON","0.1","NNW","S-HAM27287","39.142476","20210104152441","-84.532933","97539.3","CENTRAL PKWY","10","Motion Start","13.0","BATES AV","MONMOUTH AV","20210104152440"
"127",,"2.2","NNE","S-HAM52810","39.23418","20210104102338","-84.628637","115901.8","I-275 EB EXWY","11","Standard Event","61.9","I-275 EB TO RRCC EB RAMP","BLUE ROCK RD TO I-275 EB RAMP","20210104102122"
"130","WEST PRICE HILL","0.1","S","I-GJ08373099","39.103159","20210104095348","-84.590361","80043.5","FOLEY RD & TRENTON AV","9","Motion Stop","0.0",,,"20210104095347"
"474","EVANSTON","1.6","NE","S-HAM26417","39.141309","20210104082927","-84.472409","3333.2","MONTGOMERY RD","11","Standard Event","24.0","DAUNER AV","JONATHAN AV","20210104082915"
"229",,"0.3","N","I-GJ22843778","39.160609","20210104081646","-84.420905","90228.8","RIDGE AV & IBSEN AV","9","Motion Stop","0.0",,,"20210104081643"
"276","WEST PRICE HILL","0.6","SSE","S-HAM03558","39.123843","20210104132317","-84.60295","80509.3","GLENWAY AV","9","Motion Stop","0.0","SIDNEY RD","WEST HIGH ST","20210104132313"
"229","OAKLEY","0.2","SWW","I-GJ21863595","39.144659","20210104085616","-84.432757","90231.5","PAXTON AV & ISABELLA AV & WASSON RD","11","Standard Event","26.7",,,"20210104085456"
"410","WESTWOOD","0","NEE","S-HAM00004","39.151258","20210104000123","-84.586937","88125.1","MONTANA AV","11","Standard Event","28.6","MILLRICH AV","WESTWOOD NORTHERN BLVD","20210103235908"
