"cra_id","address","application_date","construction_type","hca_abated_value","abatement_qualifying_term","incentive_amount","leed_class","leed_date","ownership_type","city_determination","longitude","latitude","dced_neighborhood","neighborhood","community_council_neighborhood","construction_value_improvement"
"ACCESS1","3752 BONFIELD DR","2012-03-10T00:00:00.000","REHAB",,,,,,"OWNER OCCUPIED",,"-84.5037422564608","39.1521688448426",,"AVONDALE","AVONDALE",
"ACCESS10","6712 BUCKINGHAM PL","2012-03-02T00:00:00.000","REHAB",,,,,,"OWNER OCCUPIED",,"-84.3817960906008","39.1559745615847",,"MADISONVILLE","MADISONVILLE",
"ACCESS100","438 STRAFER ST","2012-06-10T00:00:00.000","NEW","143500","15","162096","SILVER","2012-02-01T00:00:00.000","OWNER OCCUPIED",,"-84.4349651160819","39.1162940559163",,"UNIDENTIFIED","COLUMBIA TUSCULUM",
"ACCESS101","472 STRAFER ST","2014-05-19T00:00:00.000","NEW","140000","15","169331","SILVER","2014-04-01T00:00:00.000","OWNER OCCUPIED",,"-84.433687327853","39.1169882734998",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS102","458 STRAFER ST","2013-11-27T00:00:00.000","NEW","136741.5","15","150019","CERTIFIED","2013-09-01T00:00:00.000","OWNER OCCUPIED",,"-84.4342134789987","39.116702420806",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS103","3709 RAWSON FARM LN","2013-09-17T00:00:00.000","NEW","136503.5","15","156623","CERTIFIED","2013-11-01T00:00:00.000","OWNER OCCUPIED",,"-84.5206730650701","39.1505634869061",,"CLIFTON","CLIFTON",
"ACCESS104","330 BOAL ST","2013-06-12T00:00:00.000","NEW","135621.5","15","181798","SILVER","2013-03-01T00:00:00.000","OWNER OCCUPIED",,"-84.5090889079629","39.1142040825813",,"MT. AUBURN","MOUNT AUBURN",
"ACCESS105","3086 VICTORIA AV","2012-03-23T00:00:00.000","NEW","137623.5","15","332283","PLATINUM","2012-02-01T00:00:00.000","OWNER OCCUPIED",,"-84.42945986068231","39.1426140380977",,"HYDE PARK","HYDE PARK",
"ACCESS106","436 STRAFER ST","2012-02-07T00:00:00.000","NEW","134750","15","138212","SILVER","2011-08-01T00:00:00.000","OWNER OCCUPIED",,"-84.4350402793201","39.1162532195186",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS107","434 STRAFER ST","2012-02-15T00:00:00.000","NEW","134330","15","180338","SILVER","2011-08-01T00:00:00.000",,,"-84.4351154424588","39.1162123826218",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS108","471 MISSOURI AV","2013-02-05T00:00:00.000","NEW","127015","15","160018","SILVER","2012-11-01T00:00:00.000","OWNER OCCUPIED",,"-84.4350982492198","39.1195646230354",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS109","448 STRAFER ST","2012-10-02T00:00:00.000","NEW","126000","15","180338","CERTIFIED","2012-08-01T00:00:00.000","OWNER OCCUPIED",,"-84.43458929863121","39.1164982389722",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS11","3501 STACEY AV","2012-02-24T00:00:00.000","REHAB",,,,,,"OWNER OCCUPIED",,"-84.4693227312393","39.1417585127017",,"EVANSTON","EVANSTON",
"ACCESS110","469 MISSOURI AV","2013-02-19T00:00:00.000","NEW","125265","15","150705","SILVER","2012-11-01T00:00:00.000","OWNER OCCUPIED",,"-84.4351673956472","39.1194519741716",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS111","517 LAFAYETTE AV","2013-01-23T00:00:00.000","NEW","127949.5","15","218933","CERTIFIED","2012-09-01T00:00:00.000","OWNER OCCUPIED",,"-84.525994274483","39.1538392953888",,"CLIFTON","CLIFTON",
"ACCESS112","454 STRAFER ST","2014-01-21T00:00:00.000","NEW","124057.5","15","165720","CERTIFIED","2012-12-01T00:00:00.000","OWNER OCCUPIED",,"-84.4343638071334","39.1166207489397",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS113","3705 RAWSON FARM LN","2014-07-23T00:00:00.000","NEW","123977","15","143131","SILVER","2013-11-01T00:00:00.000","OWNER OCCUPIED",,"-84.5210474749274","39.1505800565087",,"CLIFTON","CLIFTON",
"ACCESS114","2525 HANDASYDE CT","2012-12-11T00:00:00.000","NEW","127830.5","15","395575","PLATINUM","2012-10-01T00:00:00.000","OWNER OCCUPIED",,"-84.44964509748701","39.1349014310066",,"HYDE PARK","HYDE PARK",
"ACCESS115","474 STRAFER ST","2014-09-22T00:00:00.000","NEW","121957.5","15","164763","GOLD","2014-05-01T00:00:00.000","OWNER OCCUPIED",,"-84.4336121700051","39.1170291098021",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS116","304 MCFARLAND ST","2012-03-29T00:00:00.000","REHAB","123497.5","10","87352",,,"OWNER OCCUPIED",,"-84.5177675024692","39.0987076336314",,"WEST END","DOWNTOWN",
"ACCESS117","432 STRAFER ST","2012-01-27T00:00:00.000","NEW","123200","15","141709","SILVER","2012-02-01T00:00:00.000","OWNER OCCUPIED",,"-84.435190604932","39.1161715456859",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
"ACCESS118","468 STRAFER ST","2014-07-21T00:00:00.000","NEW","115003","15","148359","SILVER","2014-06-01T00:00:00.000","OWNER OCCUPIED",,"-84.4338376571846","39.1169066014172",,"COLUMBIA TUSCULUM","COLUMBIA TUSCULUM",
