"date_","date_time_blocked","date_time_cleared","final_delay","time_blocked","location_","time_cleared","min_delayed","category_","outcome","neighborhood","community_council_neighborhood","latitude","longitude","unique_id"
"2022-08-23T00:00:00.000Z","2022-08-23T15:44:00.000","2022-08-23T15:45:00.000","1","15:44:00","Elm at 12th","15:45:00","0:01:00","Automobile","Removed by Owner/Operator","OVER-THE-RHINE","OTR","39.1078300000597","-84.51798","20220825110026.4798462+00:00"
"2022-08-23T00:00:00.000Z","2022-08-23T12:53:00.000","2022-08-23T13:01:00.000","8","12:53:00","Elm at Findlay","13:01:00","0:08:00","Automobile","Removed by Owner/Operator","OVER-THE-RHINE","OTR","39.1163600000598","-84.52021","20220825110026.4790096+00:00"
"2022-08-23T00:00:00.000Z","2022-08-23T10:18:00.000","2022-08-23T10:34:00.000","16","10:18:00","Main at 9th","10:34:00","0:16:00","Truck","Removed by Owner/Operator","DOWNTOWN","DOWNTOWN","39.1058700000598","-84.51081","20220825110026.4781435+00:00"
"2022-08-22T00:00:00.000Z","2022-08-22T15:55:00.000","2022-08-22T15:57:00.000","2","15:55:00","Elm at 12th","15:57:00","0:02:00","Automobile","Removed by Owner/Operator","OVER-THE-RHINE","OTR","39.1078300000597","-84.51798","20220825110026.4773226+00:00"
"2022-08-22T00:00:00.000Z","2022-08-22T13:23:00.000","2022-08-22T13:24:00.000","1","13:23:00","Walnut  at 7th","13:24:00","0:01:00","Fire (including EMS)","Removed by Owner/Operator","DOWNTOWN","DOWNTOWN","39.1039400000598","-84.51201","20220825110026.4765068+00:00"
"2022-08-21T00:00:00.000Z","2022-08-21T20:16:00.000","2022-08-21T20:21:00.000","5","20:16:00","Elm at Findlay","20:21:00","0:05:00","Fire (including EMS)","Removed by Owner/Operator","OVER-THE-RHINE","OTR","39.1163600000598","-84.52021","20220825110026.4756838+00:00"
"2022-08-20T00:00:00.000Z","2022-08-20T11:59:00.000","2022-08-20T12:04:00.000","5","11:59:00","Elm at Elder","12:04:00","0:05:00","Traffic delays","Traffic Resolved","OVER-THE-RHINE","OTR","39.1151900000597","-84.5199","20220825110026.4723418+00:00"
"2022-08-20T00:00:00.000Z","2022-08-20T18:13:00.000","2022-08-20T18:47:00.000","34","18:13:00","Main at 6th","18:47:00","0:34:00","Fire (including EMS)","Removed by Owner/Operator","DOWNTOWN","DOWNTOWN","39.1029500000597","-84.51007","20220825110026.4748565+00:00"
"2022-08-20T00:00:00.000Z","2022-08-20T12:38:00.000","2022-08-20T12:44:00.000","6","12:38:00","Elm at Elder","12:44:00","0:06:00","Traffic delays","Traffic Resolved","OVER-THE-RHINE","OTR","39.1151900000597","-84.5199","20220825110026.4739733+00:00"
"2022-08-20T00:00:00.000Z","2022-08-20T12:06:00.000","2022-08-20T12:08:00.000","2","12:06:00","Elm at Elder","12:08:00","0:02:00","Traffic delays","Traffic Resolved","OVER-THE-RHINE","OTR","39.1151900000597","-84.5199","20220825110026.4731623+00:00"
"2022-08-20T00:00:00.000Z","2022-08-20T09:51:21.000","2022-08-20T09:52:51.000","1.5","9:51:21","Race at 15th","9:52:51","0:01:30","Automobile","Removed by Owner/Operator","OVER-THE-RHINE","OTR","39.1115000000598","-84.51723","20220825110026.4715256+00:00"
"2022-08-19T00:00:00.000Z","2022-08-19T18:14:00.000","2022-08-19T18:26:00.000","12","18:14:00","Race - 1200 Block (Between 12th & 13th)","18:26:00","0:12:00","Fire (including EMS)","Removed by Owner/Operator","OVER-THE-RHINE","OTR","39.1086700000597","-84.51654","20220825110026.4707107+00:00"
