"fiscal_year","total_annual_budgeted_expenditures_abe","_10_of_abe","total_capital_investment_dollar","total_capital_investment_percentage_of_abe"
"2016-01-01T12:00:00.000","99499455","9949946","21194987","21.300"
"2017-01-01T12:00:00.000","99900440","9990044","19168510","19.1900"
"2018-01-01T12:00:00.000","118821676","11882168","49964758","42.0500"
"2019-01-01T12:00:00.000","158091718","15809172","84288944","53.3200"
"2020-01-01T12:00:00.000","137861409","13786141","60825876","44.1200"
"2021-01-01T12:00:00.000","111715803","11171580","31687408","28.3600"
