"service_area","department","job_title","earnings","meta_row_index","meta_row_id"
"Executive Services","City Manager's Office","City Manager","285371.299999999","0","73e05e40437c96d781717a64013eb2272189f90e"
"Utility Services","Broadband","Broadband Executive Director","248014.960000001","1","4aba4d6f74e942b8c9bef6e6c9c0fb33fa68203c"
"Legal Services","City Attorney's Office","City Attorney","211197.14","2","3e2868d347f9e5c32c59606ea89a545aa223c3b9"
"Executive Services","City Manager's Office","Deputy City Manager","199609.98","3","db01a67d966391ac38b16d0b526389010b7df531"
"Police Services","Police Administration","Chief Of Police","197317.08","4","0b6b0469f46e99a7f85652541655bcb3f771d9d0"
"Poudre Fire Authority","Poudre Fire Authority","Administrative Fire Chief","183140.6","5","34550ae8b04a240823b61264b29f1d5a160060f0"
"Financial Services","Finance Administration","Chief Financial Officer","180839.400000001","6","957483fdd07ef8249d90408e23a0f86057c69f65"
"Utility Services","Utilities Management","Utilities Executive Director","178695.8","7","d6f682b40d27538e6109062ebfb85d0969e2cbe6"
"Executive Services","City Manager's Office","Assistant City Manager","175843.760000001","8","a76a7e7e7d348847fc0c76752d8241aa4aee25d5"
"Police Services","Police Administration","Police Deputy Chief","165679.22","9","993dcea915435a04d4f1ae58afe0db84c51413a5"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief I - 56 Hr/Wk","164734.28","10","238a5359afaa937f4fb8b40da635f1e2d2bbf2ac"
"Legal Services","City Attorney's Office","Deputy City Attorney","156916.02","11","42c451c62a6864502b101f3f373889a2e1d65d23"
"Legal Services","City Attorney's Office","Sr Assistant City Attorney","154428.14","12","d48509a3ff9bcbf654a40eb649c2c0a8d8e18eb6"
"Poudre Fire Authority","Poudre Fire Authority","Captain II - 40 Hr/Wk","150058.44","13","bffb6ebf73d6800d282f4094f7e6a0ff656c8745"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief I - 56 Hr/Wk","149650.16","14","d8af3de807145e69cdd5f44f38b2eeb39509a29f"
"Information & Employee Svcs","Human Resources","Chief Human Resources Officer","149614.96","15","c3bfcb6a4cf526f00b2b4004cb1e5dceed8ea919"
"Planning, Dev & Transportation","PDT Administration","Director Of PDT","149357.06","16","bb6518023b6d2e3ed7cc27336a6559454a856804"
"Poudre Fire Authority","Poudre Fire Authority","Division Chief","147992.0","17","5d9797c1c61e5931e99c6455fa534b79cfc8059f"
"Poudre Fire Authority","Poudre Fire Authority","PFA Dir of Administrative Serv","147686.0","18","2b47318fcc976bfb7b496e9509e7bec9f34bf0e9"
"Police Services","Investigations","Police Assistant Chief","147605.26","19","69b15a72662481302443576bec9db120bb386efd"
"Poudre Fire Authority","Poudre Fire Authority","Division Chief","147384.0","20","80aea3665230e45367cdbc134f31f510b48f7958"
"Sustainability Services","Sustainability Services Admin","Chief Sustainability Officer","147381.5","21","8c8276b66bb745d7188ada5d3597a4a4ad25a7c8"
"Police Services","Patrol","Police Corporal","145601.02","22","a8085521b79eb73f1f2f01cbb72c38bd1eeb6bf3"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief II - 40 Hr/Wk","145428.72","23","237057ce2b70266738827165848fcf2b91547f95"
"Police Services","Investigations","Police Sergeant","143836.49","24","fde246da7fc4ed5895ba80560bb9fe411ee76578"
"Poudre Fire Authority","Poudre Fire Authority","Captain II - 40 Hr/Wk","143625.53","25","dca3ba014c2b158fa5339e079ed03250a746e288"
"Police Services","Patrol","Police Lieutenant","143415.52","26","d5df490e0723aed1faa809816d37a5af3151ab72"
"Utility Services","L&P Administration","Deputy Director, Utilities","143160.86","27","69cba8dc3adf8818c41fb5adf2d55cb02d92de2c"
