"job_title","service_area","department","annual_salary_or_hourly_rate","pay_type","meta_row_index","meta_row_id"
"City Attorney","Legal Services","City Attorney's Office","206090.04","Annual Salary","0","96a2acd9a2ac1b6e44e8fecc9f94b6672f67454b"
"Chief Of Police","Police Services","Police Administration","203692.92","Annual Salary","1","99daa98a180665b6a2312a2ebc29c8fc38f121b1"
"Deputy City Manager","Executive Services","City Manager's Office","201368.44","Annual Salary","2","57fd2825f42983e70ce2e21a18dadd2d67dad077"
"Deputy City Manager","Executive Services","City Manager's Office","198000.0","Annual Salary","3","77a4a92b57770d4811927556adccb8d717f25d4c"
"Administrative Fire Chief","Poudre Fire Authority","Poudre Fire Authority","185000.0","Annual Salary","4","fda5a9a3566a7956f0f5e4cc1d64f13008b95dae"
"Police Deputy Chief","Police Services","Police Administration","176177.88","Annual Salary","5","eaf62c829dacee382e9bfd1b8a8f6671e7a5b9ff"
"Chief Financial Officer","Financial Services","Finance Administration","170000.0","Annual Salary","6","40088129ab0597dd9871cefcb02b82bdc077cfa6"
"Broadband Executive Director","Utility Services","Broadband","168000.0","Annual Salary","7","8c577cd373a0278b9aa82d5b445aa7ffa8dce62f"
"Chief Judge","Judicial Services","Municipal Court","165000.0","Annual Salary","8","03d0cb16144ea054e169119658f0a8a236cb445f"
"Director Of PDT","Planning, Dev & Transportation","PDT Administration","164999.9","Annual Salary","9","99ec05f8f0256ee6505781d3ddcc8b16819be172"
"Chief Human Resources Officer","Information & Employee Svcs","Human Resources","164800.1","Annual Salary","10","eeef972fb4e87716204e53cde471d1097e712cd1"
"Deputy City Attorney","Legal Services","City Attorney's Office","164441.75","Annual Salary","11","e1349e658e27157cedf162e19adbe88224755c17"
"Community Services Director","Community Services","Community Services Admin","160000.0","Annual Salary","12","cea765b4a99a3987a9288b686301a8b1bcacaf20"
"Chief Sustainability Officer","Sustainability Services","Sustainability Services Admin","159650.04","Annual Salary","13","6146dfa3e4464c3e8b592ad610b2a95d7f05704b"
"Sr Assistant City Attorney","Legal Services","City Attorney's Office","157690.0","Annual Salary","14","a34451b64c1f5950eae37d1bbf76456a0defc82f"
"Chief Information Officer","Information & Employee Svcs","Information Technology","156999.96","Annual Salary","15","332c0f2017c9abfb3fd4c4824ddc9ae7590be6a9"
"Division Chief","Poudre Fire Authority","Poudre Fire Authority","154804.0","Annual Salary","16","c201cd47e039e8d7de9780bd9ae0ae4846475b19"
"Division Chief","Poudre Fire Authority","Poudre Fire Authority","154804.0","Annual Salary","17","c201cd47e039e8d7de9780bd9ae0ae4846475b19"
"Division Chief","Poudre Fire Authority","Poudre Fire Authority","154804.0","Annual Salary","18","c201cd47e039e8d7de9780bd9ae0ae4846475b19"
"Equity Officer","Executive Services","City Manager's Office","152000.0","Annual Salary","19","4ab3c4f4e72321c3bae53e05c93a99f22ebd5da2"
"Emergency Management Officer","Executive Services","City Manager's Office","150160.0","Annual Salary","20","06fad28679846248edf7b068f75dfe420d9387d4"
"Police Assistant Chief","Police Services","Patrol","149968.0","Annual Salary","21","2a6836643517f489f2b25748b1642a34ca99329f"
"Police Assistant Chief","Police Services","Investigations","149968.0","Annual Salary","22","2d340b1490a4df662f9fdc6ae445b96837347dfb"
"Police Assistant Chief","Police Services","Special Operations","149968.0","Annual Salary","23","64d2b72f78ccc099cfabf93dd66130911a5786e9"
"Executive Director DDA","Downtown Development Authority","Downtown Development Authority","149487.0","Annual Salary","24","58831c80bfcb3d712da01c9396074320c5816b0b"
"Assistant City Manager","Executive Services","City Manager's Office","148000.0","Annual Salary","25","73c61ae64ab3fc6c67255c39cac0cdb92781a879"
