"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-901225","12248319854","2020-01-25T01:00:00.000","2020-01-25T01:15:00.000","2020-01-26T09:34:40.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","E","E","E2","CAPITOL HILL","15XX BLOCK OF 11TH AVE","-122.318150199","47.614674410"
"2020-031349","12248347728","2020-01-26T08:37:00.000",,"2020-01-26T09:32:14.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","M","M3","DOWNTOWN COMMERCIAL","14XX BLOCK OF 2ND AVE","-122.338449515","47.608788660"
"2020-031349","12248350799","2020-01-26T08:37:00.000",,"2020-01-26T09:32:14.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","M","M3","DOWNTOWN COMMERCIAL","14XX BLOCK OF 2ND AVE","-122.338449515","47.608788660"
"2020-901223","12248317727","2020-01-24T10:00:00.000","2020-01-24T18:30:00.000","2020-01-26T09:32:11.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","11TH AVE NE / NE 45TH ST","-122.316578939","47.661291960"
"2020-901222","12248309062","2020-01-25T11:00:00.000","2020-01-25T14:30:00.000","2020-01-26T09:22:25.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","S","S2","BRIGHTON/DUNLAP","42XX BLOCK OF S OTHELLO ST","-122.280060287","47.537050790"
"2020-901221","12248308907","2020-01-23T23:05:00.000","2020-01-25T15:35:00.000","2020-01-26T09:22:17.000","A","PROPERTY","FRAUD OFFENSES","Credit Card/Automated Teller Machine Fraud","26B","N","U","U1","UNIVERSITY","52XX BLOCK OF 15TH AVE NE","-122.311898779","47.667484140"
"2020-901220","12248308735","2019-05-16T15:10:00.000","2019-05-16T15:10:00.000","2020-01-26T09:22:10.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","K","K2","PIONEER SQUARE","3XX BLOCK OF 2ND AVE S","-122.330807495","47.600464240"
"2020-031347","12248312269","2020-01-25T20:30:00.000","2020-01-26T07:00:00.000","2020-01-26T09:19:26.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","J","J3","ROOSEVELT/RAVENNA","80XX BLOCK OF CORLISS AVE N","-122.331029784","47.687765320"
"2020-901219","12248303103","2020-01-24T20:00:00.000","2020-01-25T14:30:00.000","2020-01-26T09:13:00.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W2","ALASKA JUNCTION","41XX BLOCK OF 32ND AVE SW","-122.372917421","47.566463820"
"2020-030943","12248296521","2020-01-25T22:30:00.000","2020-01-25T23:00:00.000","2020-01-26T08:54:43.000","A","PROPERTY","ROBBERY","Robbery","120","W","K","K2","DOWNTOWN COMMERCIAL","5XX BLOCK OF 3RD AVE","-122.331082199","47.602412420"
"2020-031268","12248266417","2020-01-26T05:40:00.000","2020-01-26T05:55:00.000","2020-01-26T08:03:17.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","K","K2","DOWNTOWN COMMERCIAL","5XX BLOCK OF 3RD AVE","-122.331082199","47.602412420"
