"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-044620","12605873663","2020-02-05T10:10:00.000",,"2020-02-05T11:24:31.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","W","Q","Q1","MAGNOLIA","32XX BLOCK OF 23RD AVE W","-122.385973723","47.649387230"
"2020-044452","12605598696","2020-02-03T08:00:00.000","2020-02-04T08:00:00.000","2020-02-05T10:06:28.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","N","J","J3","ROOSEVELT/RAVENNA","63XX BLOCK OF 5TH AVE NE","-122.323399063","47.675117890"
"2020-044465","12605567653","2020-02-02T20:30:00.000","2020-02-02T21:30:00.000","2020-02-05T09:39:33.000","A","PROPERTY","ROBBERY","Robbery","120","N","U","U3","ROOSEVELT/RAVENNA","26TH AVE NE / NE BLAKELEY ST","-122.299552180","47.666384070"
"2020-044225","12605174036","2020-02-05T01:17:00.000","2020-02-05T02:21:00.000","2020-02-05T03:30:55.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","Q","Q1","MAGNOLIA","22XX BLOCK OF W RAYE ST","-122.384864805","47.642927340"
"2020-044076","12605081469","2020-02-05T00:51:21.000",,"2020-02-05T00:51:31.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","N","B","B2","BALLARD SOUTH","NW 46TH ST / 8TH AVE NW","-122.366195342","47.662193080"
"2020-044142","12605077150","2020-02-04T22:59:00.000",,"2020-02-05T00:45:08.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M1","DOWNTOWN COMMERCIAL","14XX BLOCK OF 2ND AVE","-122.338449515","47.608788660"
"2020-044104","12605029468","2020-02-04T20:30:00.000","2020-02-04T20:45:00.000","2020-02-04T23:31:52.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","J","J3","PHINNEY RIDGE","71XX BLOCK OF GREENWOOD AVE N","-122.355309065","47.680526950"
"2020-043988","12604995759","2020-02-04T19:58:00.000",,"2020-02-04T22:46:19.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","SW","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS","26XX BLOCK OF SW BARTON ST","-122.367311993","47.521027580"
"2020-043928","12604963106","2020-02-04T19:01:00.000",,"2020-02-04T21:59:07.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","N","L","L2","NORTHGATE","15TH AVE NE / NE 95TH ST","-122.312077769","47.697616170"
"2020-044065","12605008517","2020-02-04T21:00:00.000","2020-02-04T21:15:00.000","2020-02-04T21:47:32.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E2","CAPITOL HILL","15XX BLOCK OF 12TH AVE","-122.316845012","47.614683850"
"2020-044038","12604928711","2020-02-04T20:57:00.000",,"2020-02-04T21:20:35.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","E","E","E2","CAPITOL HILL","15XX BLOCK OF BROADWAY","-122.320789514","47.614655490"
"2020-043971","12604927228","2019-02-04T00:00:00.000","2020-02-04T08:00:00.000","2020-02-04T21:18:52.000","A","PROPERTY","FRAUD OFFENSES","Wire Fraud","26E","N","U","U2","UNIVERSITY","45XX BLOCK OF 7TH AVE NE","-122.320720106","47.662473360"
"2020-043805","12604929082","2020-01-30T19:30:00.000",,"2020-02-04T21:14:00.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","S","R","R3","COLUMBIA CITY",,"0.000000000","0.000000000"
"2020-043805","12605193820","2020-01-30T19:30:00.000",,"2020-02-04T21:14:00.000","A","PERSON","KIDNAPPING/ABDUCTION","Kidnapping/Abduction","100","S","R","R3","COLUMBIA CITY",,"0.000000000","0.000000000"
"2020-043518","12604909238","2020-02-04T07:30:00.000","2020-02-04T10:00:00.000","2020-02-04T20:59:01.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R1","NORTH BEACON HILL","19XX BLOCK OF 13TH AVE S","-122.315976829","47.585955900"
"2020-044000","12604889529","2020-02-04T20:10:00.000","2020-02-04T20:39:00.000","2020-02-04T20:30:24.000","A","PROPERTY","COUNTERFEITING/FORGERY","Counterfeiting/Forgery","250","E","E","E1","CAPITOL HILL","1XX BLOCK OF BROADWAY E","-122.320863694","47.619323640"
"2020-043979","12604874045","2020-02-04T19:30:00.000",,"2020-02-04T20:13:42.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E2","FIRST HILL","E SPRING ST / 12TH AVE","-122.316778894","47.611562670"
"2020-043804","12604760012","2020-01-31T11:00:00.000","2020-02-04T16:00:00.000","2020-02-04T18:04:43.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","O","O3","GEORGETOWN","67XX BLOCK OF CORSON AVE S","-122.322909032","47.542940560"
"2020-043679","12604768348","2020-02-04T15:28:00.000",,"2020-02-04T17:53:30.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","U","U2","UNIVERSITY","45XX BLOCK OF UNIVERSITY WAY NE","-122.313115709","47.662180580"
"2020-043813","12604748428","2020-02-03T08:00:00.000","2020-02-04T16:30:00.000","2020-02-04T17:51:43.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q3","QUEEN ANNE","5XX BLOCK OF 4TH AVE W","-122.361938917","47.623949540"
"2020-043790","12604733588","2020-02-04T16:40:00.000","2020-02-04T16:44:00.000","2020-02-04T17:24:12.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","O","O2","SODO","S SPOKANE ST / 2ND AVE S","-122.332006684","47.571406270"
"2020-043631","12604680236","2020-02-04T15:00:00.000",,"2020-02-04T16:48:31.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","W","K","K2","DOWNTOWN COMMERCIAL","4XX BLOCK OF 3RD AVE","-122.330510332","47.601885910"
"2020-043743","12604667448","2020-02-03T21:00:00.000","2020-02-04T07:45:00.000","2020-02-04T16:33:19.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","Q","Q3","QUEEN ANNE","1XX BLOCK OF DENNY WAY","-122.353751129","47.618595520"
"2020-043577","12604662310","2020-01-29T18:00:00.000","2020-01-30T06:00:00.000","2020-02-04T16:28:43.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","13XX BLOCK OF 4TH AVE W","-122.361804774","47.630894400"
"2020-043658","12604701795","2020-02-02T00:00:00.000","2020-02-04T00:00:00.000","2020-02-04T16:06:13.000","A","SOCIETY","PORNOGRAPHY/OBSCENE MATERIAL","Pornography/Obscene Material","370","E","C","C3","CENTRAL AREA/SQUIRE PARK","11XX BLOCK OF 18TH AVE","-122.308863594","47.612218990"
"2020-043658","12604629255","2020-01-04T00:00:00.000","2020-02-04T00:00:00.000","2020-02-04T16:06:13.000","A","PROPERTY","EXTORTION/BLACKMAIL","Extortion/Blackmail","210","E","C","C3","CENTRAL AREA/SQUIRE PARK","11XX BLOCK OF 18TH AVE","-122.308863594","47.612218990"
"2020-043283","12604504697","2020-02-04T11:20:00.000","2020-02-04T11:50:00.000","2020-02-04T14:33:37.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","N","N2","NORTHGATE","116XX BLOCK OF AURORA AVE N","-122.344834268","47.713547980"
"2020-043315","12604473206","2020-02-03T00:00:00.000","2020-02-04T11:40:00.000","2020-02-04T14:09:55.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R1","MID BEACON HILL","13XX BLOCK OF S PEARL ST","-122.314783435","47.556386510"
"2020-043280","12604458633","2020-02-03T22:00:00.000","2020-02-04T10:00:00.000","2020-02-04T13:54:37.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","S","R","R1","NORTH BEACON HILL","21XX BLOCK OF S WAITE ST","-122.304894598","47.579997340"
"2020-043356","12604336720","2020-02-04T12:11:00.000","2020-02-04T12:12:00.000","2020-02-04T13:26:06.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","U","U2","UNIVERSITY","45XX BLOCK OF UNIVERSITY WAY NE","-122.313115709","47.662180580"
"2020-043094","12604443489","2020-02-03T21:00:00.000","2020-02-04T07:00:00.000","2020-02-04T13:11:35.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","E","G","G2","CENTRAL AREA/SQUIRE PARK","5XX BLOCK OF 18TH AVE","-122.308936280","47.607098070"
"2020-043259","12604319004","2020-01-23T19:30:00.000",,"2020-02-04T13:07:35.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W2","ALASKA JUNCTION","50XX BLOCK OF FAUNTLEROY WAY SW","-122.381493999","47.556544700"
"2020-042098","12604232453","2020-02-03T09:00:00.000","2020-02-03T13:01:00.000","2020-02-04T11:59:02.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","S","O","O2","SODO","27XX BLOCK OF 3RD AVE S","-122.329988664","47.578767940"
"2020-043212","12604223543","2020-02-04T08:00:00.000","2020-02-04T10:20:00.000","2020-02-04T11:54:26.000","A","PROPERTY","ROBBERY","Robbery","120","W","K","K1","DOWNTOWN COMMERCIAL","COLUMBIA ST / 5TH AVE","-122.330493842","47.605126150"
"2020-043202","12604179190","2020-02-02T18:00:00.000","2020-02-03T07:30:00.000","2020-02-04T11:14:19.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","N","B","B3","FREMONT","42XX BLOCK OF WHITMAN AVE N","-122.345639390","47.659126030"
"2020-043142","12604173337","2020-02-04T09:05:00.000",,"2020-02-04T10:40:45.000","A","PROPERTY","COUNTERFEITING/FORGERY","Counterfeiting/Forgery","250","W","M","M3","DOWNTOWN COMMERCIAL","4XX BLOCK OF PIKE ST","-122.336128721","47.610445970"
"2020-043182","12604095457","2020-01-29T00:01:00.000","2020-02-04T00:00:00.000","2020-02-04T10:13:21.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W3","ROXHILL/WESTWOOD/ARBOR HEIGHTS","35XX BLOCK OF SW 97TH ST","-122.378095285","47.516549510"
"2020-043117","12604100395","2020-02-03T21:00:00.000","2020-02-04T08:00:00.000","2020-02-04T10:01:04.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W1","NORTH ADMIRAL","23XX BLOCK OF 41ST AVE SW","-122.383821146","47.583230110"
"2020-043001","12604082101","2020-02-03T22:00:00.000","2020-02-04T07:29:00.000","2020-02-04T09:52:03.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","K","K1","DOWNTOWN COMMERCIAL","7XX BLOCK OF 1ST AVE","-122.334607817","47.602911950"
"2020-043120","12604185842","2020-02-04T08:45:00.000",,"2020-02-04T09:46:13.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","W","D","D2","SLU/CASCADE","7TH AVE N / DENNY WAY","-122.343650126","47.618556600"
"2020-043035","12603996255","2020-02-03T21:30:00.000","2020-02-03T22:40:00.000","2020-02-04T08:57:36.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","K","K3","CHINATOWN/INTERNATIONAL DISTRICT","9XX BLOCK OF E YESLER WAY","-122.320159539","47.601699350"
"2020-043041","12603989151","2020-02-03T20:00:00.000","2020-02-04T07:45:00.000","2020-02-04T08:23:18.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B3","FREMONT","43XX BLOCK OF WHITMAN AVE N","-122.345628120","47.660072010"
"2020-042849","12603706656","2020-02-03T00:53:00.000","2020-02-03T00:53:00.000","2020-02-04T04:52:47.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","N","U","U3","SANDPOINT","71XX BLOCK OF 62ND AVE NE","-122.262228093","47.678890740"
"2020-042860","12603706291","2020-02-04T02:00:00.000","2020-02-04T02:30:00.000","2020-02-04T04:49:12.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","N","B","B2","BALLARD SOUTH","11XX BLOCK OF NW LEARY WAY","-122.372180160","47.663659810"
"2020-042811","12603681821","2020-02-04T00:53:00.000",,"2020-02-04T04:23:50.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","D","D3","SLU/CASCADE",,"0.000000000","0.000000000"
"2020-042811","12603688357","2020-02-04T00:53:00.000",,"2020-02-04T04:23:50.000","A","PERSON","SEX OFFENSES","Sodomy","11B","W","D","D3","SLU/CASCADE",,"0.000000000","0.000000000"
"2020-042846","12603653571","2020-02-04T00:00:00.000",,"2020-02-04T03:10:55.000","A","PROPERTY","ROBBERY","Robbery","120","E","E","E2","CAPITOL HILL","12XX BLOCK OF E HOWELL ST","-122.316238574","47.617605380"
"2020-042813","12603625989","2020-02-04T00:54:00.000",,"2020-02-04T01:36:24.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","R","R3","HILLMAN CITY","57XX BLOCK OF MARTIN LUTHER KING JR WAY S","-122.287586514","47.550498180"
"2020-042687","12603551807","2020-02-03T18:00:00.000","2020-02-03T20:45:00.000","2020-02-03T23:53:53.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","M","M3","DOWNTOWN COMMERCIAL","14XX BLOCK OF 5TH AVE","-122.335119802","47.610181670"
"2020-042701","12603505805","2020-02-03T00:00:00.000",,"2020-02-03T22:51:56.000","A","PROPERTY","EXTORTION/BLACKMAIL","Extortion/Blackmail","210","E","G","G1","FIRST HILL","3XX BLOCK OF 10TH AVE","-122.319411925","47.604780990"
"2020-042668","12603489906","2020-02-03T21:06:00.000","2020-02-03T21:06:00.000","2020-02-03T22:25:49.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","N","N2","NORTHGATE","132XX BLOCK OF AURORA AVE N","-122.344996828","47.725035550"
"2020-042668","12603492046","2020-02-03T21:06:00.000","2020-02-03T21:06:00.000","2020-02-03T22:25:49.000","A","PROPERTY","STOLEN PROPERTY OFFENSES","Stolen Property Offenses","280","N","N","N2","NORTHGATE","132XX BLOCK OF AURORA AVE N","-122.344996828","47.725035550"
"2020-042545","12603435446","2020-02-03T18:50:00.000","2020-02-03T19:06:00.000","2020-02-03T21:11:18.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","Q","Q1","MAGNOLIA","34XX BLOCK OF 24TH AVE W","-122.387558476","47.651372090"
"2020-042538","12603405539","2020-02-03T18:23:00.000","2020-02-03T18:24:00.000","2020-02-03T20:21:28.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","L","L2","NORTHGATE","4XX BLOCK OF NE NORTHGATE WAY","-122.324615158","47.708602800"
"2020-042509","12603393850","2020-02-03T16:30:00.000",,"2020-02-03T20:20:28.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","K","K3","CHINATOWN/INTERNATIONAL DISTRICT","6XX BLOCK OF S KING ST","-122.324731506","47.598351270"
"2020-031973","12603378761","2020-01-26T07:00:00.000","2020-01-26T20:00:00.000","2020-02-03T20:04:33.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","K","K3","CHINATOWN/INTERNATIONAL DISTRICT","8XX BLOCK OF S WELLER ST","-122.322052376","47.597507850"
"2020-042066","12603358305","2019-12-18T12:00:00.000",,"2020-02-03T19:38:23.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","N","J","J3","ROOSEVELT/RAVENNA","71XX BLOCK OF WOODLAWN AVE NE","-122.324611421","47.680155580"
"2020-042554","12603425679","2020-01-31T23:57:00.000","2020-02-01T00:00:00.000","2020-02-03T19:31:12.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","L","L2","NORTHGATE","10XX BLOCK OF NE 104TH ST","-122.316877599","47.704005930"
"2020-042356","12603342697","2020-02-01T10:00:00.000",,"2020-02-03T19:21:27.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W2","HIGH POINT","54XX BLOCK OF 31ST AVE SW","-122.372273693","47.552861880"
"2020-042339","12603327658","2020-02-02T20:00:00.000",,"2020-02-03T19:05:00.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","B","B2","BALLARD SOUTH","11XX BLOCK OF NW 50TH ST","-122.372178460","47.665044440"
"2020-042543","12603329430","2020-01-28T07:00:00.000","2020-01-28T17:00:00.000","2020-02-03T18:57:06.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","E","E","E1","CAPITOL HILL","17XX BLOCK OF BELMONT AVE","-122.324495896","47.617046940"
"2020-042393","12603300218","2020-02-02T12:30:00.000","2020-02-03T12:30:00.000","2020-02-03T18:34:38.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","R","R2","MOUNT BAKER","21XX BLOCK OF 26TH AVE S","-122.299022274","47.584358030"
"2020-042474","12603293203","2020-02-03T13:20:00.000","2020-02-03T13:40:00.000","2020-02-03T18:21:20.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","E","E3","FIRST HILL","8XX BLOCK OF SENECA ST","-122.329221110","47.609604040"
"2020-042265","12603278169","2020-01-31T12:00:00.000",,"2020-02-03T18:06:47.000","A","PROPERTY","FRAUD OFFENSES","Credit Card/Automated Teller Machine Fraud","26B","SW","F","F3","HIGHLAND PARK","87XX BLOCK OF 16TH AVE SW","-122.355080260","47.525163040"
"2020-042173","12603262460","2020-02-02T16:40:00.000",,"2020-02-03T17:52:31.000","A","PROPERTY","EMBEZZLEMENT","Embezzlement","270","S","R","R3","HILLMAN CITY","56XX BLOCK OF MARTIN LUTHER KING JR WAY S","-122.288111570","47.551610200"
"2020-041997","12603255555","2020-02-03T11:47:00.000","2020-02-03T12:12:00.000","2020-02-03T17:43:11.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","N","N","N1","BITTERLAKE","105XX BLOCK OF GREENWOOD AVE N","-122.355459683","47.705991170"
"2020-042425","12603243471","2020-02-03T16:45:00.000","2020-02-03T16:50:00.000","2020-02-03T17:34:52.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","B","B2","BALLARD SOUTH","11XX BLOCK OF NW LEARY WAY","-122.372180160","47.663659810"
"2020-041849","12603219787","2020-01-27T00:00:00.000","2020-02-03T17:00:00.000","2020-02-03T17:09:25.000","A","PROPERTY","FRAUD OFFENSES","Credit Card/Automated Teller Machine Fraud","26B","W","D","D1","BELLTOWN","1XX BLOCK OF CEDAR ST","-122.350186371","47.616134100"
"2020-042364","12603216269","2020-02-03T04:00:00.000","2020-02-03T05:00:00.000","2020-02-03T17:03:14.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS","90XX BLOCK OF 25TH AVE SW","-122.364542433","47.521938390"
"2020-042161","12603213007","2020-02-03T13:51:00.000",,"2020-02-03T17:01:33.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","O","O3","GEORGETOWN","6TH AVE S / S MICHIGAN ST","-122.326153215","47.546250000"
"2020-042310","12603179493","2020-02-02T18:12:00.000",,"2020-02-03T16:39:21.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","E","E","E2","CAPITOL HILL","15XX BLOCK OF BROADWAY","-122.320789514","47.614655490"
"2020-042117","12603181869","2020-02-03T12:00:00.000",,"2020-02-03T16:37:37.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","K","K2","PIONEER SQUARE","2XX BLOCK OF S KING ST","-122.330976342","47.598286970"
"2020-042182","12603172639","2020-02-03T12:07:00.000","2020-02-03T12:16:00.000","2020-02-03T16:31:53.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","W","Q","Q2","QUEEN ANNE","7TH AVE W / W HOWE ST","-122.366339921","47.635954280"
"2020-042269","12603140175","2020-02-02T17:00:00.000","2020-02-03T14:30:00.000","2020-02-03T16:02:33.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","W","Q","Q3","QUEEN ANNE","4XX BLOCK OF W MERCER ST","-122.362586854","47.624605160"
"2020-042195","12603125126","2020-02-01T02:00:00.000","2020-02-01T02:15:00.000","2020-02-03T15:49:24.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","B","B2","BALLARD SOUTH","47XX BLOCK OF 9TH AVE NW","-122.368605586","47.663296030"
"2020-042275","12603089566","2020-02-03T11:53:00.000",,"2020-02-03T15:35:22.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","U","U1","ROOSEVELT/RAVENNA","10XX BLOCK OF NE 64TH ST","-122.316510500","47.674979450"
"2020-042218","12603113756","2020-01-27T00:00:00.000","2020-02-03T15:00:00.000","2020-02-03T15:31:11.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","D","D1","BELLTOWN","28XX BLOCK OF WESTERN AVE","-122.352887455","47.615971090"
"2020-042240","12603070436","2020-02-03T14:35:00.000",,"2020-02-03T15:16:26.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","U","U1","ROOSEVELT/RAVENNA","10XX BLOCK OF NE 64TH ST","-122.316510500","47.674979450"
"2020-042083","12603013610","2020-02-03T12:51:00.000","2020-02-03T12:53:00.000","2020-02-03T14:38:29.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","Q","Q1","MAGNOLIA","25XX BLOCK OF 32ND AVE W","-122.398309451","47.642172880"
"2020-041919","12603005065","2020-01-31T00:00:00.000",,"2020-02-03T14:35:25.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D2","QUEEN ANNE","24XX BLOCK OF BIRCH AVE N","-122.346254958","47.641768790"
"2020-041934","12602993330","2020-01-17T21:18:00.000","2020-01-17T21:18:00.000","2020-02-03T14:29:26.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","SW","F","F1","HIGH POINT","73XX BLOCK OF DELRIDGE WAY SW","-122.361297662","47.536041400"
"2020-041971","12602957745","2020-02-03T11:20:00.000","2020-02-03T11:30:00.000","2020-02-03T14:04:57.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","D","D2","SLU/CASCADE","20XX BLOCK OF WESTLAKE AVE","-122.337879034","47.615886610"
"2020-901678","12602938497","2020-01-28T22:35:00.000","2020-01-28T23:35:00.000","2020-02-03T13:53:06.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","E","E3","CAPITOL HILL","E PIKE ST / MELROSE AVE","-122.327804574","47.613930230"
"2020-901676","12602937895","2020-02-03T01:25:00.000","2020-02-03T02:00:00.000","2020-02-03T13:52:25.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","G","G1","FIRST HILL","1XX BLOCK OF 12TH AVE","-122.316781855","47.602189640"
"2020-901675","12602937684","2020-02-01T22:00:00.000","2020-02-02T02:00:00.000","2020-02-03T13:52:17.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","E","E","E1","CAPITOL HILL","E THOMAS ST / BROADWAY E","-122.320891673","47.621075870"
"2020-041953","12602919317","2020-02-03T11:05:00.000",,"2020-02-03T13:30:58.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","D","D3","SLU/CASCADE","8XX BLOCK OF YALE AVE N","-122.330844102","47.626420660"
"2020-041856","12602913229","2020-01-02T00:00:00.000","2020-01-20T00:00:00.000","2020-02-03T13:21:54.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","K","K3","CHINATOWN/INTERNATIONAL DISTRICT","6XX BLOCK OF MAYNARD AVE S","-122.325063697","47.597093670"
"2020-041991","12603481782","2020-01-13T10:00:00.000","2020-02-03T11:00:00.000","2020-02-03T13:16:00.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W2","ALASKA JUNCTION","37XX BLOCK OF SW FINDLAY ST","-122.379318965","47.552003420"
"2020-041991","12602904965","2020-01-13T10:00:00.000","2020-02-03T11:00:00.000","2020-02-03T13:16:00.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","SW","W","W2","ALASKA JUNCTION","37XX BLOCK OF SW FINDLAY ST","-122.379318965","47.552003420"
"2020-041831","12602895526","2020-02-03T09:00:00.000","2020-02-03T09:30:00.000","2020-02-03T13:14:51.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","D","D3","SLU/CASCADE","10XX BLOCK OF MERCER ST","-122.336479326","47.624545240"
"2020-901673","12602889989","2020-01-31T03:30:00.000","2020-01-31T03:35:00.000","2020-02-03T13:12:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R2","MOUNT BAKER","37XX BLOCK OF 42ND AVE S","-122.280730889","47.570199130"
"2020-042036","12602890959","2020-02-03T12:15:00.000","2020-02-03T12:16:00.000","2020-02-03T13:09:57.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M3","DOWNTOWN COMMERCIAL","5XX BLOCK OF PIKE ST","-122.335017876","47.610909020"
"2020-041852","12602890297","2020-02-03T09:30:00.000","2020-02-03T09:35:00.000","2020-02-03T13:06:55.000","A","PROPERTY","ROBBERY","Robbery","120","W","K","K2","DOWNTOWN COMMERCIAL","5XX BLOCK OF 3RD AVE","-122.331082199","47.602412420"
"2020-901672","12602877558","2020-02-02T06:18:00.000","2020-02-03T06:30:00.000","2020-02-03T13:03:07.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W1","NORTH ADMIRAL","36XX BLOCK OF SW LANDER ST","-122.377542525","47.579274780"
"2020-901671","12602864315","2020-01-30T19:20:00.000","2020-01-30T22:45:00.000","2020-02-03T12:52:27.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B2","FREMONT","N CANAL ST / PHINNEY AVE N","-122.354483670","47.650469150"
"2020-041873","12602833182","2020-01-31T17:00:00.000","2020-02-02T12:00:00.000","2020-02-03T12:29:09.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","G","G3","JUDKINS PARK/NORTH BEACON HILL","16XX BLOCK OF S JACKSON ST","-122.310924822","47.599228200"
"2020-901670","12602800752","2020-02-02T16:45:00.000","2020-02-02T16:50:00.000","2020-02-03T12:12:25.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","M","M1","DOWNTOWN COMMERCIAL","15XX BLOCK OF PIKE PL","-122.340630935","47.608723520"
"2020-901669","12602800513","2019-11-15T20:00:00.000","2019-11-15T22:00:00.000","2020-02-03T12:12:18.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","K","K2","PIONEER SQUARE","8XX BLOCK OF OCCIDENTAL AVE S","-122.333268209","47.596783430"
