"month","year","potable_water_consumption"
"April","2012","577334"
"August","2012","520874"
"December","2012","482319"
"February","2012","505517"
"January","2012","515323"
"July","2012","545634"
"June","2012","584728"
"March","2012","483302"
"May","2012","604266"
"November","2012","537545"
"October","2012","503481"
"September","2012","520253"
"April","2013","502922"
"August","2013","489985"
"December","2013","481884"
"February","2013","502144"
"January","2013","496706"
"July","2013","481445"
"June","2013","557431"
"March","2013","453331"
"May","2013","529604"
"November","2013","538550"
"October","2013","509194"
"September","2013","561014"
"April","2014","472364"
"August","2014","459772"
"December","2014","412697"
"February","2014","439297"
"January","2014","475851"
"July","2014","460299"
"June","2014","488057"
"March","2014","391645"
"May","2014","482939"
"November","2014","462633"
"October","2014","441176"
"September","2014","503003"
"April","2015","509258"
"August","2015","474061"
"December","2015","491331"
"February","2015","459407"
"January","2015","474892"
"July","2015","544029"
"June","2015","498723"
"March","2015","431493"
"May","2015","519636"
"November","2015","471149"
"October","2015","492849"
"September","2015","444428"
"April","2016","514250"
"August","2016","546686"
"December","2016","580954"
"February","2016","441300"
"January","2016","474852"
"July","2016","634255"
"June","2016","567977"
"March","2016","423388"
"May","2016","526187"
"November","2016","600905"
"October","2016","593288"
"September","2016","647777"
"April","2017","583476"
"August","2017","434330"
"December","2017","509515"
"February","2017","479004"
"January","2017","586338"
"July","2017","521183"
"June","2017","544674"
"March","2017","466343"
"May","2017","582281"
"November","2017","517424"
"October","2017","490258"
"September","2017","577069"
"April","2018","532861"
"August","2018","493300"
"December","2018","484764"
"February","2018","466544"
"January","2018","462971"
"July","2018","525691"
"June","2018","509005"
"March","2018","482929"
"May","2018","528714"
"November","2018","535843"
"October","2018","572932"
"September","2018","502956"
"April","2019","526596"
"August","2019","526671"
"December","2019","530688"
"February","2019","487172"
"January","2019","470218"
"July","2019","530796"
"June","2019","617898"
"March","2019","461605"
"May","2019","544557"
"November","2019","544510"
"October","2019","541672"
"September","2019","564284"
"April","2020","548131"
"August","2020","528960"
"December","2020","499018"
"February","2020","455578"
"January","2020","504212"
"July","2020","558524"
"June","2020","541334"
"March","2020","517314"
"May","2020","533070"
"November","2020","495083"
"October","2020","494891"
"September","2020","515073"
"April","2021","527037"
"August","2021","492554"
"December","2021","497579"
"February","2021","447851"
"January","2021","498066"
"July","2021","526943"
"June","2021","586743"
"March","2021","460274"
"May","2021","542528"
"November","2021","489625"
"October","2021","546082"
"September","2021","558483"
"April","2022","537290"
"February","2022","461244"
"January","2022","580823"
"June","2022","555874"
"March","2022","488932"
"May","2022","553338"
