"stop_id","lastupdate","stop_name","latitude","longitude","street","crossroad","position_","direction","status","location"
"886","2017-08-08T00:00:00.000","Job Corps Center","29.70442309","-82.27406287","NE 54th PL","NE 54th AVE","Nearside","West","Active","POINT (-82.27406287 29.70442309)"
"1217","2021-03-10T00:00:00.000","Schiebler Childrens Medical Facility","29.63517394","-82.34565052","SW 16th AVE","Shealy DR","Nearside","West","Active","POINT (-82.34565052 29.63517394)"
"103","2021-06-11T00:00:00.000","SE 24th Street @ E University Avenue","29.65112827","-82.29320086","SE 24th ST","E University AVE","Nearside","North","Active","POINT (-82.29320086 29.65112827)"
"1462","2020-03-19T00:00:00.000","NE 18 ST @ NE 3 AVE","29.6533778","-82.3017928","NE 18 ST","NE 3 AVE","Nearside","North","Active","POINT (-82.3017928 29.6533778)"
"1100","2021-06-08T00:00:00.000","West Newberry Road @ NW 69th Ter","29.65976794","-82.41598699","Newberry RD","NW 69th TER","Nearside","West","Active","POINT (-82.41598699 29.65976794)"
"863","2017-08-08T00:00:00.000","Northbound NE 9th Street @ NE 10th Place","29.66137286","-82.31471379","NE 9th ST","NE 10th PL","Nearside","North","Active","POINT (-82.31471379 29.66137286)"
"1449","2021-06-02T00:00:00.000","Gator City Motors SB N Main St","29.66904445","-82.32428207","Main ST","NW 16th AVE","Nearside","South","Active","POINT (-82.32428207 29.66904445)"
"501","2019-11-19T00:00:00.000","NW 30th Terrace @ NW 16th Avenue","29.66686165","-82.36767463","NW 16th AVE","NW 30th TER","Farside","West","Active","POINT (-82.36767463 29.66686165)"
"197","2019-11-06T00:00:00.000","Ben Hill Griffin Stadium","29.6519746","-82.34904918","W University AVE","Gale Lemerand DR","Farside","East","Active","POINT (-82.34904918 29.6519746)"
"1038","2021-06-08T00:00:00.000","SW Archer Rd @ SW 63rd Blvd","29.60552727","-82.40896546","Archer RD","SW 63rd BLVD","Nearside","West","Active","POINT (-82.40896546 29.60552727)"
"150","2019-10-31T00:00:00.000","University Lutheran Church","29.6521822","-82.34769327","W University AVE","NW 19th ST","Nearside","West","Active","POINT (-82.34769327 29.6521822)"
"673","2021-05-10T00:00:00.000","Wyndham Garden Hotel","29.62440561","-82.33955502","SW 13th ST","SW 14th DR","Nearside","South","Active","POINT (-82.33955502 29.62440561)"
"1535","2020-09-02T00:00:00.000","Northbound NW 34th St @ NW 31st Ave","29.68127738","-82.37231474","NW 34th St","NW 31st Ave","Nearside","North","Active","POINT (-82.37231474 29.68127738)"
"477","2019-11-14T00:00:00.000","Cancer & Genetics Research Center","29.6389188","-82.3514088","Mowry RD","Gale Lemerand DR","Farside","West","Active","POINT (-82.3514088 29.6389188)"
"1146","2020-07-06T00:00:00.000","Beta Theta Pi across Springs","29.648522","-82.35645","Fraternity Row","Woodlawn DR","Nearside","East","Active","POINT (-82.35645 29.648522)"
"1253","2020-01-16T00:00:00.000","Graham Hall","29.64581027","-82.35025685","Gale Lemerand DR","Museum RD","Farside","North","Active","POINT (-82.35025685 29.64581027)"
"461","2020-08-17T00:00:00.000","University Club Apartments","29.62583078","-82.35633251","SW 23rd TER","SW 28th PL","Farside","North","Active","POINT (-82.35633251 29.62583078)"
"859","2020-08-17T00:00:00.000","Cabana Beach Apartments","29.63807828","-82.39798767","SW 52nd BLVD","SW 20th AVE","Nearside","West","Active","POINT (-82.39798767 29.63807828)"
"1456","2020-02-19T00:00:00.000","NE 49th AVE","29.69964419","-82.2782648","NE 49th AVE","Waldo RD","Farside","West","Active","POINT (-82.2782648 29.69964419)"
"366","2021-06-08T00:00:00.000","Alight Gainesville Apartments @ NW 13th St","29.658724","-82.33906869","NW 13th ST","NW 7th AVE","Farside","North","Active","POINT (-82.33906869 29.658724)"
"1219","2020-01-15T00:00:00.000","Webb Livestock Pavilion","29.63398861","-82.35110535","Shealy DR","SW 16th AVE","Nearside","North","Active","POINT (-82.35110535 29.63398861)"
"722","2020-08-17T00:00:00.000","Eden Park at Ironwood","29.68850943","-82.30882702","NE 39th AVE","NE 14th ST","Farside","West","Active","POINT (-82.30882702 29.68850943)"
"1513","2020-09-02T00:00:00.000","Westside Recreation Center","29.66059556","-82.37234847","NW 34th St","NW 8th Ave","Farside","North","Active","POINT (-82.37234847 29.66059556)"
"1324","2020-02-05T00:00:00.000","Sorority Row","29.64482141","-82.33570469","SW 11th ST","SW 8th AVE","Nearside","North","Active","POINT (-82.33570469 29.64482141)"
"661","2019-11-21T00:00:00.000","Regions Bank @ SW 37th Boulevard","29.61964","-82.379477","SW 37th BLVD","SW 38th ST","Nearside","South","Active","POINT (-82.379477 29.61964)"
