"date","fiscal_year","fiscal_quarter","center_rentals","rental_participants","programs_events","center_attendance"
"2012-10-31T00:00:00.000","FY2013","Q1","5","1000","105","3150"
"2012-11-30T00:00:00.000","FY2013","Q1","4","700","91","2730"
"2012-12-31T00:00:00.000","FY2013","Q1","14","1375","77","2310"
"2013-01-31T00:00:00.000","FY2013","Q2","10","750","107","3210"
"2013-02-28T00:00:00.000","FY2013","Q2","6","500","135","2000"
"2013-03-31T00:00:00.000","FY2013","Q2","7","1300","135","3000"
"2013-04-30T00:00:00.000","FY2013","Q3","15","1500","120","2500"
"2013-05-31T00:00:00.000","FY2013","Q3","20","2000","130","3000"
"2013-06-30T00:00:00.000","FY2013","Q3","10","1500","125","2500"
"2013-07-31T00:00:00.000","FY2013","Q4","15","1500","125","2000"
"2013-08-31T00:00:00.000","FY2013","Q4","18","1500","120","2000"
"2013-09-30T00:00:00.000","FY2013","Q4","20","1500","130","2500"
"2013-10-31T00:00:00.000","FY2014","Q1","8","1000","112","6000"
"2013-11-30T00:00:00.000","FY2014","Q1","7","900","140","6100"
"2013-12-31T00:00:00.000","FY2014","Q1","10","1500","132","6000"
"2014-01-31T00:00:00.000","FY2014","Q2","5","800","80","5000"
"2014-02-28T00:00:00.000","FY2014","Q2","6","1000","156","7000"
"2014-03-31T00:00:00.000","FY2014","Q2","9","1350","144","6500"
"2014-04-30T00:00:00.000","FY2014","Q3","12","1800","160","7500"
"2014-05-31T00:00:00.000","FY2014","Q3","17","2550","140","6500"
"2014-06-30T00:00:00.000","FY2014","Q3","9","1100","170","8000"
"2014-07-31T00:00:00.000","FY2014","Q4","5","900","193","6300"
"2014-08-31T00:00:00.000","FY2014","Q4","11","1645","159","6600"
"2014-09-30T00:00:00.000","FY2014","Q4","4","600","195","1700"
