"date","fiscal_year","fiscal_quarter","athletic_field_reservations","althletic_fields_est_attendance","athletic_fields_revenue","adult_softball_games","adult_softball_attendance","adult_softball_revenue","tennis_attendance_at_albert_ray_massey","tennis_attendance_at_tb_mcpherson","tennis_revenue"
"2012-10-31T00:00:00.000","FY2013","Q1","304","5940","120.00","122","2041","0.00","323",,"1667.67"
"2012-11-30T00:00:00.000","FY2013","Q1","231","3409","140.00","135","1551","0.00","262",,"1667.67"
"2012-12-31T00:00:00.000","FY2013","Q1","90","1375","100.00","0","0","0.00","163",,"1667.67"
"2013-01-31T00:00:00.000","FY2013","Q2","31","520","900.00","0","0","3993.75","272",,"1667.67"
"2013-02-28T00:00:00.000","FY2013","Q2","284","4525","220.00","0","0","1757.25","271",,"1666.67"
"2013-03-31T00:00:00.000","FY2013","Q2","389","6371","200.00","108","2729","0.00","295",,"1666.67"
"2013-04-30T00:00:00.000","FY2013","Q3","319","5450","120.00","144","2006","0.00","312",,"1666.66"
"2013-05-31T00:00:00.000","FY2013","Q3","259","4110","100.00","134","1568","0.00","347",,"1666.66"
"2013-06-30T00:00:00.000","FY2013","Q3","210","3610","80.00","51","632","3994.00","257",,"1666.66"
"2013-07-31T00:00:00.000","FY2013","Q4","76","1300","140.00","0","0","1757.00","217",,"1666.66"
"2013-08-31T00:00:00.000","FY2013","Q4","72","1210","0.00","0","0","0.00","237",,"1666.67"
"2013-09-30T00:00:00.000","FY2013","Q4","67","929","260.00","36","1803","0.00","311",,"1666.66"
"2013-10-31T00:00:00.000","FY2014","Q1","271","4495","207.00","156","2591","0.00","308","0","1666.66"
"2013-11-30T00:00:00.000","FY2014","Q1","222","3935","184.00","144","2404","0.00","262","0","1666.66"
"2013-12-31T00:00:00.000","FY2014","Q1","60","1100","161.00","66","1019","0.00","0","0","1666.66"
"2014-01-31T00:00:00.000","FY2014","Q2","85","1900","506.00","0","0","3136.50","269","0","1666.66"
"2014-02-28T00:00:00.000","FY2014","Q2","124","3250","184.00","0","0","3321.00","280","0","1666.66"
"2014-03-31T00:00:00.000","FY2014","Q2","225","5725","-46.00","53","1670","0.00","275","0","1666.66"
"2014-04-30T00:00:00.000","FY2014","Q3","205","5005","46.00","43","1468","0.00","330","217","1666.66"
"2014-05-31T00:00:00.000","FY2014","Q3","226","11204","69.00","42","1398","0.00","357","233","1666.66"
"2014-06-30T00:00:00.000","FY2014","Q3","180","9500","138.00","22","780","0.00","325","0","1666.66"
"2014-07-31T00:00:00.000","FY2014","Q4","68","2670","207.00","0","0","0.00","275","0","1666.66"
"2014-08-31T00:00:00.000","FY2014","Q4","55","2170","161.00","0","0","4428.00","333","33","1666.66"
"2014-09-30T00:00:00.000","FY2014","Q4","97","3410","529.00","25","781","2214.00","344","275","1666.66"
