"board","first_name","last_name","year_appointed"
"1","Rose Anne","Alafogiannis","2004"
"1","George","Alexiou","1997"
"1","Daniel","Aliberti","1998"
"1","Loren","Amor","2017"
"1","Avninder","Aujla","2017"
"1","Edward","Babor","2001"
"1","Jose","Batista","1994"
"1","Ann","Bruno","1997"
"1","Giselle Aida","Burgess","2017"
"1","Edwin","Cadiz","2016"
"1","Gerald","Caliendo","1977"
"1","Jean Marie","D'Alleva","1997"
"1","Antonella","DiSaverio","2011"
"1","Katerina","Duarte","2018"
"1","Katie","Ellman","2015"
"1","Elizabeth","Erion","1977"
"1","Mackenzi","Farquer","2014"
"1","Dean","Feratovic","2011"
"1","Evie","Hantzopoulos","2010"
"1","Amy","Hau","2014"
"1","Helen","Ho","2017"
"1","Pauline","Jannelli","2003"
"1","Vanessa","Jones-Hall","2014"
"1","George","Kalergios","2017"
"1","Richard","Khuzami","2000"
"1","Nancy","Konipol","2014"
"1","Jaroslaw","Kril","2008"
"1","Melanie","LaRocca","2015"
"1","Frances","Luhmann McDonald","2007"
"1","Hannah","Lupien","2018"
"1","Antonio","Meloni","1988"
"1","Prabir","Mitra","2009"
"1","Eric","Mouchette","2018"
"1","Stella","Nicolaou","1999"
"1","Norma","Nieves","1987"
"1","Mary","O'Hara","1990"
"1","Robert","Piazza","1989"
"1","Rose Marie","Poveromo","2002"
"1","Yawne","Robinson","2014"
"1","Thomas","Ryan","1990"
"1","Manuel","Salce","2017"
"1","Rodolfo","Sarchese","1999"
"1","Nancy","Silverman","2014"
"1","Dominic","Stiller","2015"
"1","Andre","Stith","2017"
"1","Danielle","Tharrington","2013"
"1","Marie","Torniali","2010"
"1","Rod","Townsend","2016"
"1","Judy","Trilivas","2008"
"1","Kathleen","Warnock","2018"
"2","Marie","Konecko","1986"
"2","Jordan","Levine","2014"
"2","Sheila","Lewandowski","2008"
"2","Dominick","Lippolis","2002"
"2","Donald","McCallian","2009"
"2","Elizabeth","McKenna","2018"
"2","Taina","McShane","2016"
"2","Thomas","Mituzas","2016"
"2","Dorothy","Morehead","1993"
"2","Patrick","Murray","1991"
"2","Patrick","O'Brien","2001"
"2","Clara","Oza","2018"
"2","Elliot","Park","2011"
"2","Steven","Raga","2016"
"2","Lakshmi","Reddy","2015"
"2","Jeremy","Rosenberg","2017"
"2","Norberto","Saldana","2010"
"2","Moitri","Savard","2009"
"2","Regina","Shanley","2004"
"2","Michael","Son","2012"
