"b","block","lot","e","init_year","qtr","ex_years","ab_pct","tax_year","exempt_amt","cost_of_alt","abate_grant","amt_remain","total_tax","abatement"
"1","7","23",,"1981","4","12","90","1981",,"707900","14747","622362","67125","14747"
"1","7","23",,"1981","4","12","90","1982",,"707900","53163","569199",,"53163"
"1","7","23",,"1982",,"12","90","1982","985000",,,,,
"1","7","23",,"1982","3","12","90","1982",,"113400",,"102060",,
"1","7","23",,"9999",,"0","0","1982","985000","821300","53163","671259","53163","53163"
"1","7","23",,"1981","4","12","90","1983",,"682600","56883","489545",,"56883"
"1","7","23",,"1982",,"12","90","1983","1350000",,,,,
"1","7","23",,"1982","3","12","90","1983",,"113400","9450","92610",,"9450"
"1","7","23",,"9999",,"0","0","1983","1350000","796000","66333","582155","76803","66333"
"1","7","23",,"1981","4","12","90","1984",,"682600","56883","432662",,"56883"
"1","7","23",,"1982",,"12","90","1984","1350000",,,,,
"1","7","23",,"1982","3","12","90","1984",,"130200","10850","96880",,"10850"
"1","7","23",,"9999",,"0","0","1984","1350000","812800","67733","529542","97630","67733"
"1","7","23",,"1981","4","12","90","1985",,"682600","56883","375779",,"56883"
"1","7","23",,"1982",,"12","90","1985","1350000",,,,,
"1","7","23",,"1982","3","12","90","1985",,"130200","10850","86030",,"10850"
"1","7","23",,"9999",,"0","0","1985","1350000","812800","67733","461809","121329","67733"
"1","7","23",,"1981","4","12","90","1986",,"682600","56883","318895",,"56883"
"1","7","23",,"1982",,"12","90","1986","1408896",,,,,
"1","7","23",,"1982","3","12","90","1986",,"130200","10850","75180",,"10850"
"1","7","23",,"9999",,"0","0","1986","1408896","812800","67733","394075","141468","67733"
"1","7","23",,"1981","4","12","90","1987",,"682600","56883","262012",,"56883"
"1","7","23",,"1982",,"12","90","1987","1467792",,,,,
"1","7","23",,"1982","3","12","90","1987",,"130200","10850","64330",,"10850"
"1","7","23",,"9999",,"0","0","1987","1467792","812800","67733","326342","154837","67733"
"1","7","23",,"1981","4","12","90","1988",,"682600","56883","211394",,"56883"
"1","7","23",,"1982",,"12","90","1988","1467792",,,,,
"1","7","23",,"1982","3","12","90","1988",,"130200","10850","53480",,"10850"
"1","7","23",,"9999",,"0","0","1988","1467792","812800","67733","264874","166173","67733"
"1","7","23",,"1981","4","12","90","1989",,"682600","56883","154510",,"56883"
"1","7","23",,"1982",,"12","90","1989","1467792",,,,,
"1","7","23",,"1982","3","12","90","1989",,"130200","10850","42630",,"10850"
"1","7","23",,"9999",,"0","0","1989","1467792","812800","67733","197140","183860","67733"
"1","7","23",,"1981","4","12","90","1990",,"682600","56883","97627",,"56883"
"1","7","23",,"1982",,"12","90","1990","1492823",,,,,
"1","7","23",,"1982","3","12","90","1990",,"130200","10850","31780",,"10850"
"1","7","23",,"9999",,"0","0","1990","1492823","812800","67733","129407","202201","67733"
"1","7","1002",,"1982",,"12","90","1991","973500",,,,"106955",
"1","7","1002",,"1981","4","12","90","1992",,"682600","29894",,,"29894"
"1","7","1002",,"1982",,"12","90","1992","885000",,,,,
