"jur_dist","bldg_id","building_name","building_address","no_of_tcus","enrollment","council_dist","borough","postcode","latitude","longitude","community_board","census_tract","bin","bbl","nta","data_as_of"
"3","M919","P.S. 163 TRANSPORTABLE - M","163 WEST 97 STREET","2","120","7","MANHATTAN","10025","40.794264","-73.968706","7","185","1055908","1018520099","Upper West Side                                                            ","2015-02-26T00:00:00.000"
"6","M902","P.S. 48 TRANSPORTABLE - MANHATTAN","4360 BROADWAY","2","100","10","MANHATTAN","10033","40.853466","-73.934048","12","271","1076752","1021670029","Washington Heights North                                                   ","2015-02-26T00:00:00.000"
"6","M921 **","P.S. 5 TRANSPORTABLE - M","3703 TENTH AVENUE","2","0","10","MANHATTAN","10034","40.85899","-73.922894","12","299","1084201","1021500030","Marble Hill-Inwood                                                         ","2015-02-26T00:00:00.000"
"6","M965","I.S. 349 - MANHATTAN","549 AUDOBON AVENUE","15","487","10","MANHATTAN","10040","40.855954","-73.927051","12","277","1076751","1021600018","Washington Heights North                                                   ","2015-02-26T00:00:00.000"
"8","X915","P.S. 119 TRANSPORTABLE - X","1075 PUGSLEY AVENUE","2","100","18","BRONX    ","10472","40.828518","-73.856569","9","4001","2025696","2037890021","Soundview-Bruckner                                                         ","2015-02-26T00:00:00.000"
"8","X938","P.S. 138 TRANSPORTABLE - X","2060 LAFAYETTE AVENUE","2","48","18","BRONX    ","10473","40.822665","-73.853366","9","74","2022289","2036090016","Soundview-Castle Hill-Clason Point-Harding Park                            ","2015-02-26T00:00:00.000"
"8","X947","P.S. 14 TRANSPORTABLE - X","3041 BRUCKNER BLVD.","2","100","13","BRONX    ","10461","40.835779","-73.825735","10","184","2072754","2053130092","Schuylerville-Throgs Neck-Edgewater Park                                   ","2015-02-26T00:00:00.000"
"8","X948","P.S. 71 TRANSPORTABLE - X","3040 ROBERTS AVENUE","2","137","13","BRONX    ","10461","40.845787","-73.829829","10","26602","2046140","2041710001","Pelham Bay-Country Club-City Island                                        ","2015-02-26T00:00:00.000"
"9","X924","P.S. 64 TRANSPORTABLE - X","1425 WALTON AVENUE","2","0","16","BRONX    ","10452","40.840096","-73.915569","4","223","2008098","2028430040","West Concourse                                                             ","2015-02-26T00:00:00.000"
"9","X928 **","P.S. 28 TRANSPORTABLE - X","1861 ANTHONY AVENUE","1","0","15","BRONX    ","10457","40.848057","-73.903522","5","23302","2007603","2028040031","Mount Hope                                                                 ","2015-02-26T00:00:00.000"
"9","X933","P.S. 163 TRANSPORTABLE - X","2075 WEBSTER AVE.","4","185","15","BRONX    ","10457","40.851741","-73.898493","5","379","2013297","2031420048","Mount Hope                                                                 ","2015-02-26T00:00:00.000"
"10","X910","I.S. 80/P.S. 280 TRANSPORTABLE-X","149 EAST MOSHOLU PKWY N","4","140","11","BRONX    ","10467","40.876299","-73.881532","7","419","2018046","2033360035","Norwood                                                                    ","2015-02-26T00:00:00.000"
"11","X906","P.S. 175 TRANSPORTABLE - X","200 CITY ISLAND AVENUE","2","57","13","BRONX    ","10464","40.843873","-73.785219","10","516","2082444","2056410280","Pelham Bay-Country Club-City Island                                        ","2015-02-26T00:00:00.000"
"11","X916","P.S. 16 TRANSPORTABLE1 - X","4550 CARPENTER AVE.","2","88","11","BRONX    ","10470","40.902205","-73.854829","12","414","2070894","2050760031","Woodlawn-Wakefield                                                         ","2015-02-26T00:00:00.000"
"11","X942","P.S. 16 TRANSPORTABLE2 - X","4550 CARPENTER AVENUE","2","93","11","BRONX    ","10470","40.902205","-73.854829","12","414","2070894","2050760031","Woodlawn-Wakefield                                                         ","2015-02-26T00:00:00.000"
"11","X945","P.S. 87 TRANSPORTABLE - X","1935 BUSSING AVENUE","4","200","12","BRONX    ","10466","40.895104","-73.845968","12","428","2069061","2050180001","Woodlawn-Wakefield                                                         ","2015-02-26T00:00:00.000"
"11","X946","P.S. 108 TRANSPORTABLE - X","1166 NEILL AVENUE","4","200","13","BRONX    ","10461","40.854726","-73.853227","11","288","2048608","2042750001","Pelham Parkway                                                             ","2015-02-26T00:00:00.000"
"11","X997","P.S. 97 TRANSPORTABLE - X","1375 MACE AVE.","4","150","13","BRONX    ","10469","40.862839","-73.846791","11","314","2052739","2044740001","Allerton-Pelham Gardens                                                    ","2015-02-26T00:00:00.000"
"12","X936","P.S. 6 TRANSPORTABLE - X","1000 E. TREMONT AVE.","6","0","17","BRONX    ","10460","40.840755","-73.881707","6","359","2010892","2030050010","East Tremont                                                               ","2015-02-26T00:00:00.000"
"12","X941","P.S. 234 TRANSPORTABLE - X","2055 MAPES AVE","2","85","15","BRONX    ","10460","40.845878","-73.886184","6","371","2012957","2031090001","East Tremont                                                               ","2015-02-26T00:00:00.000"
"12","X967","P.S. 67 TRANSPORTABLE - X","2024 MOHEGAN AVENUE","2","36","17","BRONX    ","10460","40.843945","-73.884788","6","363","2013142","2031230003","East Tremont                                                               ","2015-02-26T00:00:00.000"
"15","K979 **","P.S. 32 TRANSPORTABLE - K","317 HOYT STREET","7","226","39","BROOKLYN ","11231","40.680445","-73.991949","6","75","3395587","3004370001","Carroll Gardens-Columbia Street-Red Hook                                   ","2015-02-26T00:00:00.000"
"15","K982","P.S. 261 TRANSPORTABLE - K","314 PACIFIC STREET","1","36","33","BROOKLYN ","11201","40.687466","-73.988288","2","43","3001070","3001880014","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","2015-02-26T00:00:00.000"
