"_10_digit_bbl","automatic_water_benchmarking","borocode","block","lot","number_of_buildings","tax_class","street_number","street_address","postcode","borough","dof_square_footage","latitude","longitude","community_board","council_district","census_tract","bin","nta"
"1000010010","No","1","1","10","1","4","1","GOVERNORS ISLAND","10004","MANHATTAN","2725731","40.690096","-74.012866","101","1","5","1086389","park-cemetery-etc-Manhattan"
"1000030001","No","1","3","1","1","4","10","BATTERY PARK","10004","MANHATTAN","945425","40.70288","-74.015523","101","1","319","1000000","park-cemetery-etc-Manhattan"
"1000047501","No","1","4","7501","1","2","1","WATER STREET","10004","MANHATTAN","2542563","40.702444","-74.012742","101","1","9","1000005","Battery Park City-Lower Manhattan"
"1000050010","No","1","5","10","1","4","115","BROAD STREET","10004","MANHATTAN","1016406","40.702486","-74.011357","101","1","9","1000007","Battery Park City-Lower Manhattan"
"1000057501","No","1","5","7501","1","2","125","BROAD STREET","10004","MANHATTAN","1354691","40.702112","-74.011249","101","1","9","1000006","Battery Park City-Lower Manhattan"
"1000087501","No","1","8","7501","1","2","39","WHITEHALL STREET","10004","MANHATTAN","169061","40.703037","-74.012969","101","1","9","1087700","Battery Park City-Lower Manhattan"
"1000090001","No","1","9","1","1","4","34","WHITEHALL STREET","10004","MANHATTAN","845018","40.703034","-74.012991","101","1","9","1000018","Battery Park City-Lower Manhattan"
"1000090014","No","1","9","14","1","4","17","STATE STREET","10004","MANHATTAN","544015","40.702798","-74.014246","101","1","9","1000020","Battery Park City-Lower Manhattan"
"1000090029","No","1","9","29","1","4","24","WHITEHALL STREET","10004","MANHATTAN","896956","40.703446","-74.013092","101","1","9","1000021","Battery Park City-Lower Manhattan"
"1000100014","No","1","10","14","1","4","33","WHITEHALL STREET","10004","MANHATTAN","365792","40.703312","-74.013038","101","1","9","1000023","Battery Park City-Lower Manhattan"
"1000100016","No","1","10","16","1","4","90","BROAD STREET","10004","MANHATTAN","336025","40.703954","-74.011592","101","1","9","1000025","Battery Park City-Lower Manhattan"
"1000100023","No","1","10","23","1","4","1","WHITEHALL STREET","10004","MANHATTAN","321994","40.703973","-74.013164","101","1","9","1000027","Battery Park City-Lower Manhattan"
"1000110001","No","1","11","1","1","4","2","BROADWAY","10004","MANHATTAN","1529480","40.704119","-74.013186","101","1","9","1000029","Battery Park City-Lower Manhattan"
"1000110014","Yes","1","11","14","1","2","26","BEAVER STREET","10004","MANHATTAN","51387","40.704959","-74.011902","101","1","9","1085816","Battery Park City-Lower Manhattan"
"1000110021","No","1","11","21","1","4","80","BROAD STREET","10004","MANHATTAN","361710","40.704322","-74.011581","101","1","9","1000038","Battery Park City-Lower Manhattan"
"1000130001","Yes","1","13","1","1","4","1","BROADWAY","10004","MANHATTAN","180646","40.704785","-74.014099","101","1","13","1000043","Battery Park City-Lower Manhattan"
"1000130005","No","1","13","5","1","4","11","BROADWAY","10004","MANHATTAN","434220","40.705354","-74.013731","101","1","13","1000044","Battery Park City-Lower Manhattan"
"1000150022","Yes","1","15","22","1","2","21","WEST STREET","10006","MANHATTAN","335746","40.706451","-74.016119","101","1","13","1000047","Battery Park City-Lower Manhattan"
"1000157501","Yes","1","15","7501","1","2","17","BATTERY PLACE","10004","MANHATTAN","1402830","40.704884","-74.015927","101","1","13","1082634","Battery Park City-Lower Manhattan"
"1000157502","No","1","15","7502","1","2","20","WEST STREET","10004","MANHATTAN","259076","40.706358","-74.016151","101","1","13","1087243","Battery Park City-Lower Manhattan"
"1000160015","Yes","1","16","15","1","2","50","BATTERY PLACE","10280","MANHATTAN","239165","40.706284","-74.017904","101","1","31704","1085938","Battery Park City-Lower Manhattan"
"1000160020","Yes","1","16","20","1","2","70","BATTERY PLACE","10280","MANHATTAN","230766","40.707047","-74.017439","101","1","31704","1085778","Battery Park City-Lower Manhattan"
"1000160100","No","1","16","100","6","2","345","SOUTH END AVENUE","10280","MANHATTAN","1881621","40.710733","-74.016131","101","1","31704","1083378","Battery Park City-Lower Manhattan"
"1000160120","No","1","16","120","1","4","200","LIBERTY STREET","10281","MANHATTAN","1501878","40.711425","-74.015442","101","1","31704","1000057","Battery Park City-Lower Manhattan"
"1000160125","No","1","16","125","1","4","225","LIBERTY STREET","10280","MANHATTAN","2267925","40.711537","-74.015673","101","1","31703","1000058","Battery Park City-Lower Manhattan"
"1000160140","Yes","1","16","140","1","4","200","VESEY STREET","10281","MANHATTAN","2249866","40.714447","-74.015493","101","1","31703","1000059","Battery Park City-Lower Manhattan"
"1000160150","No","1","16","150","1","4","250","VESEY STREET","10281","MANHATTAN","2084079","40.714529","-74.015677","101","1","31703","1000060","Battery Park City-Lower Manhattan"
"1000160180","No","1","16","180","1","2","20","RIVER TERRACE","10282","MANHATTAN","356786","40.716942","-74.016298","101","1","31703","1086174","Battery Park City-Lower Manhattan"
"1000160185","No","1","16","185","1","2","211","NORTH END AVENUE","10282","MANHATTAN","278142","40.71622","-74.015075","101","1","31703","1086547","Battery Park City-Lower Manhattan"
"1000160190","Yes","1","16","190","1","2","22","RIVER TERRACE","10282","MANHATTAN","331500","40.717375","-74.016035","101","1","31703","1085929","Battery Park City-Lower Manhattan"
"1000160195","No","1","16","195","1","2","325","NORTH END AVENUE","10282","MANHATTAN","356483","40.716637","-74.014754","101","1","31703","1086507","Battery Park City-Lower Manhattan"
"1000160200","Yes","1","16","200","1","2","400","CHAMBERS STREET","10282","MANHATTAN","484000","40.717774","-74.014206","101","1","31703","1085774","Battery Park City-Lower Manhattan"
"1000160205","Yes","1","16","205","1","2","455","NORTH END AVENUE","10282","MANHATTAN","239185","40.717384","-74.014166","101","1","31703","1085815","Battery Park City-Lower Manhattan"
"1000160210","Yes","1","16","210","1","2","399","CHAMBERS STREET","10282","MANHATTAN","357000","40.718073","-74.014855","101","1","31703","1085486","Battery Park City-Lower Manhattan"
"1000160221","No","1","16","221","1","2","201","WARREN STREET","10282","MANHATTAN","244617","40.716668","-74.013542","101","1","31703","1085568","Battery Park City-Lower Manhattan"
"1000160225","No","1","16","225","1","4","1","NORTH END AVENUE","10281","MANHATTAN","502000","40.714082","-74.01673","101","1","31703","1085502","Battery Park City-Lower Manhattan"
"1000160260","No","1","16","260","1","4","200","WEST STREET","10282","MANHATTAN","2152863","40.713846","-74.013812","101","1","31703","1087239","Battery Park City-Lower Manhattan"
"3071550004","No","3","7155","4","1","2","2250","EAST    4 STREET","11223","BROOKLYN","125160","40.595235","-73.967344","315","47","388","3193853","Homecrest"
"3071580033","No","3","7158","33","1","2","2245","OCEAN PARKWAY","11223","BROOKLYN","67620","40.594885","-73.964903","315","47","392","3193999","Homecrest"
"3071580063","No","3","7158","63","1","2","2265","OCEAN PARKWAY","11223","BROOKLYN","64080","40.59427","-73.964796","315","47","392","3194014","Homecrest"
"3071590040","No","3","7159","40","1","2","735","AVENUE W","11223","BROOKLYN","91200","40.593559","-73.962603","315","47","392","3194054","Homecrest"
