"id","name","latitude","longitude","domain","asset_class","nta_code","responsible_agency","operated_by","owner","number","street","city","postcode","borough","bin","bbl","num_floors","connected_to_fiber","wireless_on_roof","fiber_pathways_in_building","landmarked","senior_center_flag","community_cornerstone_center_flag","franchise_agreement","community_board","council_district","census_tract","nta","target_neighborhood_id","target_neighborhood"
"NYPL-100001","Harry Belafonte - 115Th Street","40.802977","-73.95353","LIBRARIES","PUBLIC LIBRARIES","MN11","New York Public Library","NYPL","City Owned","203","West  115 Street","New York","10026","Manhattan","1055236","1018310026","3","Y","N","N","Y",,,,"110","9","21800","Central Harlem South","MN-2","Y"
"NYPL-100002","67Th Street","40.764912","-73.95955","LIBRARIES","PUBLIC LIBRARIES","MN31","New York Public Library","NYPL","City Owned","328","East   67 Street","New York","10065","Manhattan","1044749","1014410038","3","Y","N","N","N",,,,"108","5","11800","Lenox Hill-Roosevelt Island",,"N"
"NYPL-100003","96Th Street","40.785958","-73.951808","LIBRARIES","PUBLIC LIBRARIES","MN40","New York Public Library","NYPL","City Owned","112","East   96 Street","New York","10128","Manhattan","1048501","1015240064","3","Y","N","N","N",,,,"108","4","15801","Upper East Side-Carnegie Hill",,"N"
"NYPL-100004","Aguilar","40.79418","-73.943468","LIBRARIES","PUBLIC LIBRARIES","MN33","New York Public Library","NYPL","City Owned","174","East  110 Street","New York","10029","Manhattan","1052167","1016370141","4","Y","N","N","Y",,,,"111","8","17200","East Harlem South","MN-2","Y"
"NYPL-100005","Allerton","40.866802","-73.863224","LIBRARIES","PUBLIC LIBRARIES","BX07","New York Public Library","NYPL","City Owned","2740","Barnes Avenue","Bronx","10467","Bronx","2053752","2045130016","2","Y","N","N","N",,,,"211","13","34000","Bronxdale",,"N"
"NYPL-100006","Belmont Library-Enrico Fermi Cultural Center","40.854344","-73.887893","LIBRARIES","PUBLIC LIBRARIES","BX06","New York Public Library","NYPL","City Owned","610","East  186 Street","Bronx","10458","Bronx","2012129","2030730020","2","Y","N","N","N",,,,"206","15","39100","Belmont","BX-1","Y"
"NYPL-100007","Bloomingdale","40.795919","-73.967849","LIBRARIES","PUBLIC LIBRARIES","MN12","New York Public Library","NYCDOHMH;NYPL","City Owned","150","West  100 Street","New York","10025","Manhattan","1055906","1018520049","3","Y","N","N","N",,,,"107","7","18500","Upper West Side",,"N"
"NYPL-100008","Bronx Library Center","40.862995","-73.894508","LIBRARIES","PUBLIC LIBRARIES","BX05","New York Public Library","NYPL","City Owned","310","East Kingsbridge Road","Bronx","10458","Bronx","2116006","2031540083","5","Y","N","Partial","N",,,,"207","15","39901","Bedford Park-Fordham North",,"N"
"NYPL-100009","Chatham Square","40.7133289999999","-73.99649","LIBRARIES","PUBLIC LIBRARIES","MN27","New York Public Library","NYPL","City Owned","33","East Broadway","New York","10002","Manhattan","1003425","1002800044","4","Y","N","N","Y",,,,"103","1","800","Chinatown","MN-1","Y"
"NYPL-100010","Clason'S Point","40.829991","-73.875026","LIBRARIES","PUBLIC LIBRARIES","BX08","New York Public Library","NYPL","City Owned","1215","Morrison Avenue","Bronx","10472","Bronx","2025381","2037770062","1","Y","N","N","N",,,,"209","18","6200","West Farms-Bronx River","BX-1","Y"
