"type","community_education_council","first_name","last_name","appointee_or_representative","term_of_office","term_expiring","voting"
"Reapp","Community Education Council 13","Cynthia","McKnight","Appointee","2nd Term","2019-2021","Voting"
"New","Community Education Council 13","Aruna","Hekinian","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 14","Iris","Gutierrez","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 14","Christine","Petito","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 15","Francisca","Montana","Appointee","1st Term","2019-2021","Voting"
"Vacant","Community Education Council 15",,,,,,
"New","Community Education Council 16","Victor","Iroh","Appointee","1st Term","2019-2021","Voting"
"Reapp","Community Education Council 16","St. Julien","Tanya","Appointee","2nd Term","2019-2021","Voting"
"New","Community Education Council 17","Zulema","Blair","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 17","Pamela","Harmon","Appointee","1st Term","2019-2021","Voting"
"Vacant","Community Education Council 18",,,,,,
"New","Community Education Council 18","Patti-Ann","Williams","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 19","David","Best","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 19","Vernell","King","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 20","Inga","Smolyar","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 20","Simeon","Stolzberg","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 21","Ume-Kulsoom","Butt","Appointee","1st Term","2019-2021","Voting"
"Reapp","Community Education Council 21","Anna","Lembersky","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 22","Jennifer","Pazmino","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 22","Aaliyah","Thomas","Appointee","1st Term","2019-2021","Voting"
"New","Community Education Council 23","Neisha","Blair","Appointee","1st Term","2019-2021","Voting"
"Vacant","Community Education Council 23",,,,,,
"New","Community Education Council 32","Samuel","Olivares Bonilla","Appointee","1st Term","2019-2021","Voting"
"Reapp","Community Education Council 32","Renesha","Westbrooks","Appointee","2nd Term","2019-2021","Voting"
