"bble","bbl","borough","building_name","street_address","certification_class","of_carriers","coax_cable_connections","fiber_connection","satellite_fixed_wireless_connection","fiber_distribution","isps_1","multiple_points_of_entry","designated_telecom_utility_space","additional_telecom_space","riser_space_for_current_providers","riser_space_for_additional_providers","diverse_riser_locations","signed_poes","agreements","new_service_providers","isps_2","latitude","longitude","community_board","community_council","census_tract","bin","nta","postcode","council_district"
"1012681102","1-1268-1102","Manhattan","666 Fifth Avenue","666 5 AVENUE","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Zayo,Verizon FIOS,Verizon,Time Warner Cable,Rainbow Broadband,Lightpath,Lightower,Cogent","40.760549","-73.976421","5","4","104","1034520","Midtown-Midtown South                                                      ","10103","4"
"1000041010","1-4-1010","Manhattan","One New York Plaza","1 WATER STREET","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T","40.702444","-74.012742","1","1","9","1000005","Battery Park City-Lower Manhattan                                          ","10004","1"
"1000160150","1-16-150","Manhattan","250 Vesey Street","250 VESEY PLACE","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","No","Dedicated room","Yes","Yes","Yes","Yes","None available","Yes","Yes","Zayo,Verizon,Time Warner Cable,Lightower,AT&T",,,,,,,,,
"1000160125","1-16-125","Manhattan","225 Liberty Street","225 LIBERTY STREET","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T,Abovenet","40.711537","-74.015673","1","1","31703","1000058","Battery Park City-Lower Manhattan                                          ","10280","1"
"1000160120","1-16-120","Manhattan","200 Liberty Street","200 LIBERTY STREET","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,Time Warner Cable,Sidera,Level(3),Cogent,AT&T","40.711425","-74.015442","1","1","31704","1000057","Battery Park City-Lower Manhattan                                          ","10281","1"
"1000627501","1-62-7501","Manhattan","One Liberty Plaza","1 LIBERTY PLAZA","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,Time Warner Cable,Lightower,Cogent,AT&T","40.70943","-74.011102","1","1","13","1001068","Battery Park City-Lower Manhattan                                          ","10006","1"
"1012760058_1","1-1276-58","Manhattan","300 Madison Avenue","300 MADISON AVENUE","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Sprint,Lightpath,Lightower,AT&T","40.752236","-73.979712","5","4","82","1085972","Murray Hill-Kips Bay                                                       ","10017","4"
"1012580009_1","1-1258-9","Manhattan","Grace Building","1114 AVENUE OF THE AMERIC","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T,Abovenet",,,,,,,,,
"1013010001_2","1-1301-1","Manhattan","245 Park Avenue","245 PARK AVENUE","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Level(3),Cogent,Abovenet","40.754826","-73.975683","5","4","92","1036205","Turtle Bay-East Midtown                                                    ","10167","4"
"1010350017","1-1035-17","Manhattan","The Plant","321 WEST 44 STREET","Platinum","3","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Broadview,AT&T","40.75889","-73.989669","4","3","121","1080878","Clinton                                                                    ","10036","3"
"1012950058","1-1295-58","Manhattan","370 Lexington Avenue","370 LEXINGTON AVENUE","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Other,Verizon FIOS,Verizon,Time Warner Cable,Cogent,Broadview","40.750646","-73.976641","5","4","80","1036150","Murray Hill-Kips Bay                                                       ","10017","4"
"1000430001","1-43-1","Manhattan","44 Wall Street","44 WALL STREET","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Cogent,Broadview,Abovenet","40.70654","-74.009738","1","1","7","1001017","Battery Park City-Lower Manhattan                                          ","10005","1"
"1000460001","1-46-1","Manhattan","2 Wall Street","2 WALL STREET","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,SignalPoint,RCN,Cogent,Broadview,AT&T","40.707725","-74.011632","1","1","7","1001023","Battery Park City-Lower Manhattan                                          ","10005","1"
"1008570024_1","1-857-24","Manhattan","63 Madison Avenue","63 MADISON AVENUE","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Lightpath,Lexent,Broadview","40.743478","-73.98607","5","2","56","1016889","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","10016","2"
"1007620025_1","1-762-25","Manhattan","307 West 38th Street","307 WEST 38 STREET","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Rainbow Broadband,MegaPath,Broadview","40.754946","-73.992175","4","3","115","1013643","Clinton                                                                    ","10018","3"
