"first_name","last_name","organization_name"
"Chenda","Fruchter","311"
"Sara","Workman","Administration for Children's Services (ACS)"
"Steve","Jules","Board of Standards and Appeals (BSA)"
"Tonya","Cantlo-Cockfield","Brooklyn Borough President (BPBK)"
"Diana","Plunkett","Brooklyn Public Library"
"Paul","Sutherland","Business Integrity Commission (BIC)"
"Jaime","Anno","Campaign Finance Board (CFB)"
"Megan","Tackney","Children's Cabinet"
"Alisa","Fuentes","City Clerk's Office"
"Bradley","Reid","City Council (NYCC)"
"Francis","Urroz","Civic Engagement Commission"
"Griffin","Frank","Civil Service Commission"
"Sean","McMahon","Civilian Complaint Review Board (CCRB)"
"Damion K.L.","Stodola","Commission on Human Rights (CCHR)"
"Murad","Agi","Commission to Combat Police Corruption (CCPC)"
"Chris","Hammer","Conflicts of Interest Board (COIB)"
"Sal","Rullan","Department for the Aging (DFTA)"
"Mark","Chapman","Department of Buildings (DOB)"
"Matthew","Croswell","Department of City Planning (DCP)"
"Jodi","Bryon","Department of Citywide Administrative Services (DCAS)"
"Benajmin","Packer","Department of Consumer and Worker Protection (DCWP)"
"Lawton","Bourne","Department of Correction (DOC)"
"Danny","Contafio","Department of Cultural Affairs (DCLA)"
"Paul","Cho","Department of Design and Construction (DDC)"
"Vaughan","Coleman","Department of Education (DOE)"
"William","Morris","Department of Environmental Protection (DEP)"
"Maureen","Fyffe","Department of Finance (DOF)"
"Kemi","Eguaze","Department of Health and Mental Hygiene (DOHMH)"
"Serena","McIntosh","Department of Housing Preservation and Development (HPD)"
"Dominic","Mauro","Department of Information Technology & Telecommunications (DoITT)"
"Erin","Schultz","Department of Investigation (DOI)"
"Leigh","Tami","Department of Parks and Recreation (DPR)"
"John","Corrigan","Department of Probation (DOP)"
"Ridhdhi","Patel","Department of Records and Information Services (DORIS)"
"Arnab","Ghosh","Department of Sanitation (DSNY)"
"Dela","Harlley","Department of Small Business Services (SBS)"
"Karl","Snyder","Department of Social Services (DSS)"
"Lisa","Matthews","Department of Transportation (DOT)"
"Emily","Jagroop","Department of Veterans' Services (DVS)"
"Brian","Schroeder","Department of Youth and Community Development (DYCD)"
"Firoz","Shaikh","Environmental Control Board (ECB)"
"Michael","Pinckney","Equal Employment Practices Commission (EEPC)"
"Destyni","Williams","Financial Information Services Agency (FISA) & Office of Payroll Administration (OPA)"
"Pat","Modisette","Fire Department of New York City (FDNY)"
"Ana","Marengo","Health + Hospitals"
"Taina","Guarda","Independent Budget Office (IBO)"
"Melanie","Dieg","Landmarks Preservation Commission (LPC)"
"Jack","Hupper","Law Department (LAW)"
"Daniel","Alam","Manhattan Borough President (MBPO)"
"Paola","Ruiz","Mayor's Community Affairs Unit (CAU)"
"Todd","Ferrara","Mayor's Office Counsel"
"Sujin","Lee","Mayor's Office for Economic Opportunity"
"Aissata","Camara","Mayor's Office for International Affairs"
"Sara","Rawshanara","Mayor's Office for People with Disabilities (MOPD)"
"Matt","Everett","Mayor's Office for Strategic Partnerships"
"Rakesh","Chintalacheruvu","Mayor's Office of Citywide Event Coordination and Management (CECM)"
"Ross","MacWhinney","Mayor's Office of Climate and Sustainability"
"Eunice","Ko","Mayor's Office of Climate Resiliency (MOCR)"
"Tina","Chiu","Mayor's Office of Community Mental Health"
"Joshua","Bonilla","Mayor's Office of Contract Services (MOCS)"
"Colin","Reilly","Mayor's Office of Criminal Justice (MOCJ)"
"Zachary","Feder","Mayor's Office of Data Analytics (MODA)"
"Gregory","Chernomaz","Mayor's Office of Environmental Coordination (MOEC)"
"Lee","IIan","Mayor's Office of Environmental Remediation (OER)"
"Kate","MacKenzie","Mayor's Office of Food Policy (MOFP)"
"Charles","Carey","Mayor's Office of Housing Recovery Operations (HRO)"
"Jasniya","Sanchez","Mayor's Office of Immigrant Affairs (MOIA)"
"Lori","Barrett-Peterson","Mayor's Office of Media and Entertainment (MOME)"
"Kathy","Chung","Mayor's Office of Minority and Women Owned Businesses (MWBE)"
"Tessa","Leverone","Mayor's Office of Operations (OPS)"
"Mark","Ahearn","Mayor's Office of Special Enforcement"
"Arva","Anees","Mayor's Office of Special Projects and Community Events (MOSPCE)"
"Chad","Wilson","Mayor's Office of the Chief Technology Officer (MOCTO)"
"Edward","Hill","Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV)"
"Ricardo","Martinez-Campos","Mayor's Office to Protect Tenants (MOPT)"
"Chris","Neale","Mayor’s Office of Workforce Development (WKDEV)"
"Yuet-Sim","Cheung","New York City Housing Authority (NYCHA)"
"Daphna","Blatt","New York Public Library (NYPL)"
"Kerry","Chiu","NYC Advisory Committee on the Judiciary"
"Eileen","Johns","NYC Center for Innovation through Data Intelligence (CIDI)"
"Shelly","Bradshaw","NYC Emergency Management (NYCEM)"
"David","B. Goldin","NYC Office of the Administrative Justice Coordinator"
"Denishua","Gaviria","NYC Service"
"Amy","Cheng","Office of Administrative Tax Appeals (OATA) / (Tax Commission & Tax Appeals Tribunal)"
"Brian","Connell","Office of Administrative Trials and Hearings (OATH)"
"Naeem","Ullah","Office of Chief Medical Examiner (OCME)"
"Karine","Spencer","Office of Collective Bargaining (OCB)"
"Yutong","Li","Office of Management and Budget (OMB)"
"Marlene","Markoe-Boyd","Office of the Actuary"
"Brittania","Stewart","Office of the Comptroller (COMPTROLLER)"
"Doug","Williamson","Police Department (NYPD)"
"Julianna","Monjeau","Public Design Commission (PDC)"
"Aldo","Grillo","Queens Borough President (QBP)"
"Sahar","Oudah","Queens Public Library"
"Paulina","McKnight","School Construction Authority (SCA)"
"Anthony","Esposito","Staten Island Borough President's Office (SIBPO)"
"Melissa","Cintron Hernandez","Taxi and Limousine Commission (TLC)"
"Jahvaris","Fulton","Young Men's Initiative (YMI)"
