"date","fiscal_year","library_fac_collection_fee","fire_wild_land_facilities_fee","tc_law_enforcement_fac_fee","tc_fire_facilities_fee","street_bridge_signal_dev_fee","storm_drainage_development_fee","law_enforcement_dev_fee","fire_protection_dev_fee","community_meeeting_dev_fee","aquatic_center_dev_fee","parkland_acquisition_dev_fee","landscaping_facilities_fee","total_overall"
"2008-01-01T00:00:00.000","FY 2008","12643.52","2097.28","43028.40","50035.70","295789.70","155501.35","43454.62","38743.70","7431.00","4341.00","161851.82","68628.80","883546.89"
"2009-01-01T00:00:00.000","FY 2009
Actuals","17101.60","0.00","6505.60","34090.80","719964.26","232161.16","194898.45","164464.44","6322.00","3915.00","358528.39","179183.65","1917135.35"
"2010-01-01T00:00:00.000","FY 2010 
Actuals","17508.82","0.00","5510.00","31692.00","114754.70","29085.10","10946.55","14657.19","6873.00","4251.60","204426.11","6504.11","446209.18"
"2011-01-01T00:00:00.000","FY 2011 
Actuals","16311.36","19161.73","0.00","0.00","161654.16","15804.46","20357.70","40775.42","7766.40","4806.24","128988.99","46150.80","461777.26"
"2012-01-01T00:00:00.000","FY 2012 
Actuals","102236.06","675.24","5019.88","28449.09","819002.04","65667.06","86410.34","115185.25","60867.00","37666.56","2369802.98","4949.17","3695930.67"
"2013-01-01T00:00:00.000","FY 2013 
Actuals","15232.20","94.67","0.00","0.00","118078.70","11456.07","7211.60","11710.34","9889.80","6105.60","378694.29","6359.65","564832.92"
"2014-01-01T00:00:00.000","FY 2014 
Actuals","5302.93","1378.41","2528.36","14244.24","35085.02","27271.15","2118.59","2747.41","1492.80","921.60","76501.27","16280.26","185872.04"
"2015-01-01T00:00:00.000","FY 2015 
Actuals","152164.96","17156.34","90636.00","130104.00","1267737.92","192767.43","140280.08","449938.76","82553.80","50100.00","3292461.76","53358.76","5919259.81"
"2016-01-01T00:00:00.000","FY 2016 
Actuals","122865.83","7052.43","295267.00","364510.00","1127555.22","214942.78","83823.23","108102.06","51063.00","31614.60","2502091.13","5294.15","4914181.43"
"2017-01-01T00:00:00.000","FY 2017 Actuals","64525.36","6278.58","197100.96","282868.53","455668.76","590604.44","20221.09","21593.58","18151.40","11233.80","991675.34","88899.36","2750700.28"
"2018-01-01T00:00:00.000","FY 2018 YTD Actuals","34305.00","3947.79","4081.00","5852.00","458934.94","469914.00","40453.56","56571.12","21881.00","13533.00","666092.50","4960.59","1780526.50"
