"date","month","outreach_contacts","client_engagement","street_exits","societal_cost_savings"
"2018-12-01T00:00:00.000","December","25","8","5","43680"
"2019-03-01T00:00:00.000","January - March","222","42","9","78624"
"2019-06-01T00:00:00.000","April - June","221","76","7","61152"
"2019-07-01T00:00:00.000","July","43","78","8","69888"
"2019-08-01T00:00:00.000","August","56","68","3","26208"
"2019-09-01T00:00:00.000","September","35","64","4","34944"
"2019-10-01T00:00:00.000","October","41","61","4","34944"
"2019-11-01T00:00:00.000","November","70","60","7","61152"
"2019-12-01T00:00:00.000","December","41","58","2","17472"
"2020-01-01T00:00:00.000","January","82","58","13","113568"
"2020-02-01T00:00:00.000","February","140","52","13","113568"
"2020-03-01T00:00:00.000","March","104",,"5","43680"
"2020-06-01T00:00:00.000","June","199",,"22","192192"
"2020-09-01T00:00:00.000",,"176",,"29","253344"
"2020-12-01T00:00:00.000",,"145",,"16","139776"
"2021-01-01T00:00:00.000",,"46",,"11","96096"
"2021-02-01T00:00:00.000",,"89",,"5","43680"
"2021-03-01T00:00:00.000",,"111",,"18","157248"
"2021-04-01T00:00:00.000",,"169",,"14","122304"
"2021-05-01T00:00:00.000",,"111",,"8","69888"
"2021-06-01T00:00:00.000",,"84",,"4","34944"
"2021-07-01T00:00:00.000",,"132",,"17","148512"
