category_en,description_en,URL,image,order
Resource Conservation,Protecting natural resources and promoting renewables,https://data.sustainablesm.org/stories/s/rabu-422c,https://data.sustainablesm.org/views/8tce-ih9r/files/9febce51-231e-46c6-8708-b1d222e86f69,1
Environmental and Public Health,Minimizing or eliminating toxics ,https://data.sustainablesm.org/stories/s/gar6-kcif,https://data.sustainablesm.org/views/8tce-ih9r/files/f522bf61-3917-4137-a031-d5cd191d0b79,2
Transportation,"Moving people and things quickly, safely and cleanly ",https://data.sustainablesm.org/stories/s/9ryj-7idc,https://data.sustainablesm.org/views/8tce-ih9r/files/8baea77f-d51f-43fe-8c24-65675c23e7de,3
Sustainable Local Economy,Nurturing a diverse and equitable economy,https://data.sustainablesm.org/stories/s/8fcu-wkrs,https://data.sustainablesm.org/views/8tce-ih9r/files/9fc4b7f4-fd32-4cab-bc5c-ee78ccc71f6b,4
Open Space and Land Use,Promoting and protecting community and our environment,https://data.sustainablesm.org/stories/s/8932-y28u,https://data.sustainablesm.org/views/8tce-ih9r/files/a04f7d60-9a4e-4b9f-bca6-e7da78caf4d3,5
Housing,"Promoting affordable, livable and green housing",https://data.sustainablesm.org/stories/s/dby7-rb62,https://data.sustainablesm.org/views/8tce-ih9r/files/353bfca7-686d-4900-9ce4-50a40fce80a9,6
Civic Participation and Community Education,Activating an engaged public ,https://data.sustainablesm.org/stories/s/8m9p-s4uy,https://data.sustainablesm.org/views/8tce-ih9r/files/7a9f4c5c-6026-42f2-a743-9b47db80805f,7
Quality of Life,Meeting the needs of all community members,https://data.sustainablesm.org/stories/s/2xs3-u5p8,https://data.sustainablesm.org/views/8tce-ih9r/files/ac6159c1-5f97-428a-ba21-7eb2df2877a7,8
Arts and Culture,Nurturing and enhancing creative communities ,https://data.sustainablesm.org/stories/s/awma-2d82,https://data.sustainablesm.org/views/8tce-ih9r/files/442e66c2-bdd0-401b-8312-c3fa70201b57,9
Data Catalog,This site is currently under construction. The datasets are still accessible here,https://data.sustainablesm.org/browse,https://data.sustainablesm.org/views/8tce-ih9r/files/52bf0a62-7405-4864-ae73-8d5455091e52,10
