project_id,project_name,project_description,current_phase,current_phase_type,regions,latlon,Location 1,latitude,longitude,project_url,project_image
200061,CO WIDE MAP II SWR & WTR,Sanitary District Project,Ongoing,default,County-Wide,"39.045469,-76.066214","Eareckson Lane,
Stevensville, MD 21666
(39.045469, -76.066214)",39.045469,-76.066214,,
300007,B HERON GOLF - IRRIGATIO,Golf Course Project,Ongoing,default,Stevensville,"38.910712,-76.325715","Eareckson Lane,
Stevensville, MD 21666
(38.910712, -76.325715)",38.910712,-76.325715,,
320017,LPV APPROACH - AIP-18,Airport Project,Ongoing,default,Stevensville,"38.976165,-76.328391","Wallman Way
Stevensville, MD 21666
(38.976165, -76.328391)",38.976165,-76.328391,,
320023,NON-AIRPORT COMMERCL DEV,Airport Project,Ongoing,default,Stevensville,"38.976165,-76.328391","Wallman Way
Stevensville, MD 21666
(38.976165, -76.328391)",38.976165,-76.328391,,
320033,AIP22-ENVR ASSESSMNT/ALP,Airport Project,Ongoing,default,Stevensville,"38.976165,-76.328391","Wallman Way
Stevensville, MD 21666
(38.976165, -76.328391)",38.976165,-76.328391,,
320039,AIRPORT HANGERS,Airport Project,Ongoing,default,Stevensville,"38.976165,-76.328391","Wallman Way
Stevensville, MD 21666
(38.976165, -76.328391)",38.976165,-76.328391,,
320043,AIP23-LAND ACQUISITION,Airport Project,Ongoing,default,Stevensville,"38.976165,-76.328391","Wallman Way
Stevensville, MD 21666
(38.976165, -76.328391)",38.976165,-76.328391,,
320045,AIRPORT-CAPITAL EQUIPMEN,Airport Project,Ongoing,default,Stevensville,"38.976165,-76.328391","Wallman Way
Stevensville, MD 21666
(38.976165, -76.328391)",38.976165,-76.328391,,
320047,WEATHER REPORTING ST UPG,Airport Project,Ongoing,default,Stevensville,"38.976165,-76.328391","Wallman Way
Stevensville, MD 21666
(38.976165, -76.328391)",38.976165,-76.328391,,
330001,CORSICA RIVER DREDG,Landings & Marinas Project,Ongoing,default,Centreville,"39.059896,-76.078883","Quail Run Drive,
Centreville, MD 21617
(39.059896, -76.078883)",39.059896,-76.078883,,
330025,PELZCAR LITTLE CREEK,Landings & Marinas Project,Ongoing,default,Chester,"38.938397,-76.282171","Little Creek,
Chester, MD 21619
(38.938397, -76.282171)",38.938397,-76.282171,,
330055,CRUMPTON BULKHEAD,Landings & Marinas Project,Ongoing,default,Crumpton,"39.239172,-75.930662","Market Street,
Crumpton, MD 21628
(39.239172, -75.930662)",39.239172,-75.930662,,
330059,SOFT LAUNCH WATER ACCESS,Landings & Marinas Project,Ongoing,default,Kent Narrows,"38.968701,-76.246541","107 N Liberty St
Centreville, MD 21617
(38.968701, -76.246541)",38.968701,-76.246541,,
330061,CAP EQMT - PUB LANDINGS,Landings & Marinas Project,Ongoing,default,County-Wide,"39.045469,-76.066214","Kent Narrows Way South,
Grasonville, MD 21638
(39.045469, -76.066214)",39.045469,-76.066214,,
