"file_number","file_name","location_acres","decision_date","allocation_area","planning_area","location_description","use_type_1","number_of_houses_1","use_type_2","number_of_houses_2","use_type_3","number_of_houses_3","coordinates"
"SDP-10-074","ROSE MEADOWS","2.061","2010-04-21T00:00:00.000","Southeast","Southeast","TERMINUS OF ROSE LN","Single Family Detached","4",,,,,"(39.152, -76.8168)"
"SDP-05-100","WESLEY WOODS","4.175","2005-07-22T00:00:00.000","Elkridge","Elkridge","TERMINUS OF TOOMEY LN","Single Family Detached","20",,,,,"(39.2097, -76.7132)"
"SDP-02-015","SCOTT FARM","2.8","2002-04-16T00:00:00.000","Columbia","Columbia","E SIDE OF WALTER SCOTT WAY","Single Family Detached","7",,,,,"(39.1894, -76.9215)"
"SDP-06-025","STEDDING PROPERTY","2.56","2006-07-06T00:00:00.000","Elkridge","Elkridge","TERMINUS OF TALBOT'S LANDING","Single Family Detached","3",,,,,"(39.2232, -76.7662)"
"SDP-03-058","ROCKY GLEN","3.28","2003-10-16T00:00:00.000","Ellicott City","Ellicott City","S SIDE OF CHURCH LN 600' W OF CHESTNUT FARM RD","Single Family Detached","10",,,,,"(39.2945, -76.8049)"
"SDP-16-019","ESTATES AT PATAPSCO PARK","122.795","2016-01-28T00:00:00.000","Established Communities","Ellicott City","TERMINUS OF RT 29 AT RT 99","Single Family Detached","4",,,,,"(39.3047, -76.8231)"
"SDP-04-058","AUTUMN VIEW","14.85","2004-07-15T00:00:00.000","Ellicott City","Ellicott City","S SIDE OF COLLEGE AVE AT HIGH CASTLE RD","Single Family Detached","74",,,,,"(39.2525, -76.7845)"
"SDP-06-157","JAMESTOWN LANDING SECTION II","0.32","2006-09-20T00:00:00.000","Southeast","Southeast","W SIDE OLD COLUMBIA RD OPPOSITE JAMESTOWN CT","Single Family Detached","1",,,,,"(39.134, -76.9113)"
"SDP-02-118","HOLIDAY HILLS","1.99","2002-06-27T00:00:00.000","Southeast","Southeast","NE QUADRANT OF NEWBERRY RD & VISTA RD","Single Family Detached","4",,,,,"(39.18, -76.8842)"
"SDP-10-029","Centennial Meadows","2.36","2010-06-10T00:00:00.000","Ellicott City","Ellicott City","NE SIDE OLD ANNAPOLIS RD 500' N OF BRIARCLIFFE LN","Single Family Detached","4",,,,,"(39.2503, -76.849)"
"SDP-14-053","HOLIDAY HILLS LOTS 115 & 116","1.0031","2014-09-04T00:00:00.000","Established Communities","Southeast","S SIDE VISTA RD E OF NEWBERRY RD","Single Family Detached","2",,,,,"(39.1792, -76.8806)"
"SDP-00-053","THE LEGENDS AT TURF VALLEY","13.33","2000-03-03T00:00:00.000","Ellicott City","Ellicott City","LEGENDS WAY SOUTH OF RESORT ROAD","Single Family Attached","56",,,,,"(39.2981, -76.872)"
"SDP-05-066","MAPLE LAWN FARMS","1.06","2005-02-10T00:00:00.000","Southeast","Southeast","W SIDE OF LIBERTY ST","Single Family Detached","2",,,,,"(39.1618, -76.9072)"
"SDP-15-014","VILLAGES AT TURF VALLEY PH 2 SEC 2","8.11","2015-06-10T00:00:00.000","EC - Growth & Revitalization","Ellicott City","BOUNDED BY MARRIOTSVILLE RD ON WEST, I-70 ON NORTH, TURF VALLEY RD TO EAST,","Single Family Detached","48",,,,,"(39.304, -76.8827)"
"SDP-08-064","HARWOOD PARK","0.29","2008-05-05T00:00:00.000","Elkridge","Elkridge","NE SIDE LOUDON AVE N OF HIGHLAND AVE","Single Family Detached","4",,,,,"(39.1968, -76.7378)"
"SDP-01-104","ROCKY GLEN","0.321","2001-04-19T00:00:00.000","Ellicott City","Ellicott City","S SIDE CHURCH LN 600' W OF CHESTNUT FARM LN","Single Family Detached","1",,,,,"(39.2954, -76.8041)"
"SDP-10-039","BONNIE BRANCH WOODS","9.88","2010-11-08T00:00:00.000","Ellicott City","Ellicott City","BONNIE BRANCH 420' NE HURST ROAD","Single Family Detached","14",,,,,"(39.2332, -76.7845)"
"SDP-04-009","EMA'S MANOR","2.199","2004-03-15T00:00:00.000","Elkridge","Elkridge","N SIDE OF MAYFIELD AVE 300' E OF WATERLOO RD","Single Family Detached","8",,,,,"(39.1975, -76.792)"
"SDP-03-161","EMERSON","1.53","2003-08-29T00:00:00.000","Southeast","Southeast","W OF I-95, N OF RT 216 & SW OF GORMAN RD","Single Family Detached","10",,,,,"(39.1369, -76.8632)"
"SDP-10-085","THE GLENS AT GUILFORD","3.441","2011-01-03T00:00:00.000","Southeast","Southeast","N SIDE MARY LN 300' E OF GUILFORD RD","SFD-MIHU","10",,,,,"(39.1508, -76.8158)"
"SDP-06-125","FONT HILL VILLAGE","0.504","2006-09-21T00:00:00.000","Ellicott City","Ellicott City","W SIDE OF CRAGSMOOR RD S OF CRAGSMOOR CT","Single Family Detached","1",,,,,"(39.2695, -76.8545)"
"SDP-02-087","WARFIELDS RANGE II","4.35","2002-05-13T00:00:00.000","Southeast","Southeast","EAST SIDE OF HUNTERS WAY OPPOSITE PILLA TERRA CT","Single Family Detached","13",,,,,"(39.158, -76.8706)"
"SDP-12-076","WHITTINGHAM PROPERTY (11497 Harding Road)","12.832","2012-11-02T00:00:00.000","Southeast","Southeast","S SIDE HARDING RD OPPOSITE OLD COLUMBIA RD","Single Family Detached","1",,,,,"(39.1323, -76.9106)"
"SDP-04-010","EMERSON","3.941","2003-10-16T00:00:00.000","Southeast","Southeast","W OF I-95, N OF RT 216 & SW OF GORMAN RD","Single Family Detached","24",,,,,"(39.1354, -76.8613)"
"SDP-05-112","ELLICOTT SQUARE","8.607","2007-12-12T00:00:00.000","Ellicott City","Ellicott City","S OF RT. 40 N OF FREDERICK RD W OF CEMETERY LN","Single Family Attached","65","SFA-MIHU-Offsite","7",,,"(39.2836, -76.8786)"
"SDP-01-131","HART PROPERTY","0.322","2001-08-07T00:00:00.000","Elkridge","Elkridge","S SIDE OF MONTGOMERY RD 1000' E OF BELLANCA DR","Single Family Detached","1",,,,,"(39.2111, -76.7629)"
"SDP-03-032","BEECHWOOD OVERLOOK","1.49","2003-01-31T00:00:00.000","Elkridge","Elkridge","SW SIDE BEECHWOOD RD 500' SE OF BONNIE BRANCH RD___________________________","Single Family Detached","4",,,,,"(39.2442, -76.7744)"
"SDP-07-112","TYSON HILLS","1.918","2008-06-25T00:00:00.000","Ellicott City","Ellicott City","NORTH SIDE OF TYSON RD 200' NW OF US RT 40","Single Family Detached","2",,,,,"(39.2922, -76.7963)"
"SDP-13-011","TALBOT'S LAST SHIFT","1.41","2013-01-09T00:00:00.000","Elkridge","Elkridge","TERMINUS OF TALBOTS LANDING ROAD","Single Family Detached","1",,,,,"(39.2222, -76.7672)"
"SDP-03-105","NORTH LAUREL PARK","0.21","2003-04-21T00:00:00.000","Southeast","Southeast","SW OF FULTON AVE AT PARK AVE","Single Family Detached","1",,,,,"(39.1152, -76.8469)"
"SDP-17-054","NORRIS PROPERTY","1.03","2017-10-30T00:00:00.000","Established Communities","Elkridge","MONTGOMERY RD E OF BRANDONS WAY","Single Family Detached","1",,,,,"(39.214, -76.7734)"
"SDP-05-024","EMERSON","1.471","2004-11-12T00:00:00.000","Southeast","Southeast","W SIDE OF STEPHENS RD S OF GORMAN RD","Single Family Detached","8",,,,,"(39.1332, -76.8473)"
"SDP-07-001","HARWOOD PARK","0.117","2007-07-13T00:00:00.000","Elkridge","Elkridge","NE SIDE WOODBURN AVE NW OF MELROSE AVE","Single Family Detached","1",,,,,"(39.1931, -76.7396)"
"SDP-05-135","NORDAU SUBDIVISION","1.72","2006-03-28T00:00:00.000","Southeast","Southeast","E SIDE OF JONES RD OPPOSITE MARY LN","Single Family Detached","1",,,,,"(39.1519, -76.8108)"
"SDP-16-004","MAPLE LAWN FARMS","0.64","2015-09-08T00:00:00.000","SE - Growth & Revitalization","Southeast","EAST SIDE OF FEDERAL ST SOUTH OF DAIRY ST","Single Family Detached","4",,,,,"(39.1611, -76.9165)"
"SDP-01-036","GTW'S WAVERLY WOODS","1.683","2001-02-28T00:00:00.000","Ellicott City","Ellicott City","W SIDE OF DORCHESTER WAY S OF DICKENS WAY","Single Family Detached","9",,,,,"(39.3093, -76.8779)"
"SDP-07-110","THE HILLSIDE AT ROCKY GORGE VIII","0.86","2008-04-24T00:00:00.000","Southeast","Southeast","TERMINUS OF WOODS END DR","Single Family Detached","2",,,,,"(39.1334, -76.8762)"
"SDP-10-103","Mt. Hebron","4.86","2010-09-30T00:00:00.000","Ellicott City","Ellicott City","N SIDE FURROW AVE S OF CALVIN CIR","Single Family Detached","14",,,,,"(39.3045, -76.832)"
"SDP-09-043","EUCLID","0.133","2009-10-22T00:00:00.000","Elkridge","Elkridge","EUCLID AVE 150' EAST OF MELROSE AVE","Single Family Detached","2",,,,,"(39.1937, -76.7369)"
"SDP-03-020","LAUER PROPERTY","0.45","2002-12-18T00:00:00.000","Ellicott City","Ellicott City","EAST SIDE OF CENTENNIAL LN 400' SOUTH OF MAXINE ST_________________________","Single Family Detached","1",,,,,"(39.2447, -76.8663)"
"SDP-14-038","PATUXENT VIEW, LOT 10","0.906","2014-03-24T00:00:00.000","Established Communities","Ellicott City","S SIDE OLD FREDERICK RD W OF MARRIOTTSVILLE RD","Single Family Detached","1",,,,,"(39.3168, -76.9022)"
"SDP-07-134","NORDAU SUBDIVISION","0.631","2007-11-28T00:00:00.000","Southeast","Southeast","NE SIDE JONES RD N SIDE ROSE LN","Single Family Detached","1",,,,,"(39.1543, -76.8145)"
"SDP-00-077","SEWELL'S GLEN","2.3","2000-05-17T00:00:00.000","Columbia","Columbia","S SIDE OF OLD MONTGOMERY RD 400' E OF MAJOR'S LN","Single Family Detached","10",,,,,"(39.2004, -76.8232)"
"SDP-06-138","RED FOX ESTATE","1.37","2007-04-05T00:00:00.000","Ellicott City","Ellicott City","TERMINUS OF RED FOX CT","Single Family Detached","3",,,,,"(39.2566, -76.8527)"
"SDP-04-124","SCOTS GLEN NORTH","9.96","2005-02-01T00:00:00.000","Columbia","Columbia","SW QUADRANT OF CEDAR LN & HARMEL DR","SFD-Age Restricted","6","SFA-Age Restricted-MIHU-Offsite","8","SFA-Age Restricted","67","(39.1988, -76.8858)"
"SDP-02-145","EMERSON","1.037","2002-09-18T00:00:00.000","Southeast","Southeast","SW OF GORMAN RD WEST OF I-95","Single Family Detached","5",,,,,"(39.143, -76.8591)"
"SDP-14-006","HOLIDAY HILLS, SECTION 4, LOTS 110 & 111","2.002","2015-02-24T00:00:00.000","Established Communities","Southeast","NW QUADRANT HUNTING LN & NEWBERRY DR","Single Family Detached","2",,,,,"(39.1785, -76.8864)"
"SDP-06-012","MULROY PROPERTY","27.9","2006-02-06T00:00:00.000","Ellicott City","Ellicott City","W SIDE NEW CUT RD 2000' N OF HILLSBOROUGH RD","Single Family Detached","1",,,,,"(39.2543, -76.8001)"
"SDP-05-095","WHITETAIL WOODS II","6.174","2005-06-15T00:00:00.000","Elkridge","Elkridge","TERMINUS OF FLOREY RD","Single Family Detached","18",,,,,"(39.2017, -76.7183)"
"SDP-08-032","VANTAGE CONDOMINIUMS AT TURF VALLEY","9.9","2013-04-16T00:00:00.000","Ellicott City","Ellicott City","NORTH & SOUTH OF RESORT RD EAST OF GOLF ISLAND RD","APT","60",,,,,"(39.3, -76.8729)"
"SDP-12-011","2nd Addition to Holiday Hills Subdivision Lot 107","0.6","2012-05-03T00:00:00.000","Southeast","Southeast","VISTA RD EAST OF NEWBERRY DR","Single Family Detached","1",,,,,"(39.1797, -76.8823)"
"SDP-01-148","NORTH LAUREL PARK","2.79","2001-12-14T00:00:00.000","Southeast","Southeast","MARYLAND AVE EAST OF SEWALL AVE","Single Family Detached","15",,,,,"(39.1129, -76.848)"
"SDP-03-002","MEADOWLARK","0.56","2002-10-17T00:00:00.000","Columbia","Columbia","N SIDE LARK BROWN RD 150' W OF PAINTED ROCK RD","Single Family Detached","2",,,,,"(39.1884, -76.8021)"
