"week_ending","influenza_season","mmwr_year","mmwr_week","mmwr_day","mmwrweek_display_order","race_ethnicity","point_estimate","current_through","current_season_week_ending_label"
"2021-09-18T00:00:00.000","2021-2022","2021","37","7","6","Black, Non-Hispanic","4.58","2022-02-18T00:00:00.000","2021-09-18T00:00:00.000"
"2021-09-25T00:00:00.000","2021-2022","2021","38","7","7","Black, Non-Hispanic","7.37","2022-02-18T00:00:00.000","2021-09-25T00:00:00.000"
"2021-10-02T00:00:00.000","2021-2022","2021","39","7","8","Black, Non-Hispanic","10.94","2022-02-18T00:00:00.000","2021-10-02T00:00:00.000"
"2021-04-03T00:00:00.000","2020-2021","2021","13","7","35","Other, Non-Hispanic","53.54","2022-02-18T00:00:00.000","2022-04-02T00:00:00.000"
"2021-04-10T00:00:00.000","2020-2021","2021","14","7","36","Other, Non-Hispanic","53.56","2022-02-18T00:00:00.000","2022-04-09T00:00:00.000"
"2021-04-17T00:00:00.000","2020-2021","2021","15","7","37","Other, Non-Hispanic","53.58","2022-02-18T00:00:00.000","2022-04-16T00:00:00.000"
"2021-04-24T00:00:00.000","2020-2021","2021","16","7","38","Other, Non-Hispanic","53.59","2022-02-18T00:00:00.000","2022-04-23T00:00:00.000"
"2021-05-01T00:00:00.000","2020-2021","2021","17","7","39","Other, Non-Hispanic","53.61","2022-02-18T00:00:00.000","2022-04-30T00:00:00.000"
"2021-05-08T00:00:00.000","2020-2021","2021","18","7","40","Other, Non-Hispanic","53.62","2022-02-18T00:00:00.000","2022-05-07T00:00:00.000"
"2021-05-15T00:00:00.000","2020-2021","2021","19","7","41","Other, Non-Hispanic","53.64","2022-02-18T00:00:00.000","2022-05-14T00:00:00.000"
"2021-05-22T00:00:00.000","2020-2021","2021","20","7","42","Other, Non-Hispanic","53.65","2022-02-18T00:00:00.000","2022-05-21T00:00:00.000"
"2021-05-29T00:00:00.000","2020-2021","2021","21","7","43","Other, Non-Hispanic","53.66","2022-02-18T00:00:00.000","2022-05-28T00:00:00.000"
"2021-08-07T00:00:00.000","2021-2022","2021","31","7","53","Other, Non-Hispanic","0.0794","2022-02-18T00:00:00.000","2021-08-07T00:00:00.000"
"2021-08-14T00:00:00.000","2021-2022","2021","32","7","1","Other, Non-Hispanic","0.244","2022-02-18T00:00:00.000","2021-08-14T00:00:00.000"
"2021-08-21T00:00:00.000","2021-2022","2021","33","7","2","Other, Non-Hispanic","0.674","2022-02-18T00:00:00.000","2021-08-21T00:00:00.000"
"2021-08-28T00:00:00.000","2021-2022","2021","34","7","3","Other, Non-Hispanic","1.34","2022-02-18T00:00:00.000","2021-08-28T00:00:00.000"
"2021-09-04T00:00:00.000","2021-2022","2021","35","7","4","Other, Non-Hispanic","2.71","2022-02-18T00:00:00.000","2021-09-04T00:00:00.000"
"2021-09-11T00:00:00.000","2021-2022","2021","36","7","5","Other, Non-Hispanic","4.77","2022-02-18T00:00:00.000","2021-09-11T00:00:00.000"
"2021-09-18T00:00:00.000","2021-2022","2021","37","7","6","Other, Non-Hispanic","8.08","2022-02-18T00:00:00.000","2021-09-18T00:00:00.000"
"2021-09-25T00:00:00.000","2021-2022","2021","38","7","7","Other, Non-Hispanic","12.44","2022-02-18T00:00:00.000","2021-09-25T00:00:00.000"
"2021-10-02T00:00:00.000","2021-2022","2021","39","7","8","Other, Non-Hispanic","17.79","2022-02-18T00:00:00.000","2021-10-02T00:00:00.000"
"2021-04-03T00:00:00.000","2020-2021","2021","13","7","35","Asian, Non-Hispanic","56.95","2022-02-18T00:00:00.000","2022-04-02T00:00:00.000"
"2021-04-10T00:00:00.000","2020-2021","2021","14","7","36","Asian, Non-Hispanic","56.97","2022-02-18T00:00:00.000","2022-04-09T00:00:00.000"
"2021-04-17T00:00:00.000","2020-2021","2021","15","7","37","Asian, Non-Hispanic","56.98","2022-02-18T00:00:00.000","2022-04-16T00:00:00.000"
"2021-04-24T00:00:00.000","2020-2021","2021","16","7","38","Asian, Non-Hispanic","57","2022-02-18T00:00:00.000","2022-04-23T00:00:00.000"
"2021-05-01T00:00:00.000","2020-2021","2021","17","7","39","Asian, Non-Hispanic","57.01","2022-02-18T00:00:00.000","2022-04-30T00:00:00.000"
"2021-05-08T00:00:00.000","2020-2021","2021","18","7","40","Asian, Non-Hispanic","57.02","2022-02-18T00:00:00.000","2022-05-07T00:00:00.000"
"2021-05-15T00:00:00.000","2020-2021","2021","19","7","41","Asian, Non-Hispanic","57.03","2022-02-18T00:00:00.000","2022-05-14T00:00:00.000"
"2021-05-22T00:00:00.000","2020-2021","2021","20","7","42","Asian, Non-Hispanic","57.03","2022-02-18T00:00:00.000","2022-05-21T00:00:00.000"
"2021-05-29T00:00:00.000","2020-2021","2021","21","7","43","Asian, Non-Hispanic","57.04","2022-02-18T00:00:00.000","2022-05-28T00:00:00.000"
"2021-08-07T00:00:00.000","2021-2022","2021","31","7","53","Asian, Non-Hispanic","0.0823","2022-02-18T00:00:00.000","2021-08-07T00:00:00.000"
"2021-08-14T00:00:00.000","2021-2022","2021","32","7","1","Asian, Non-Hispanic","0.272","2022-02-18T00:00:00.000","2021-08-14T00:00:00.000"
"2021-08-21T00:00:00.000","2021-2022","2021","33","7","2","Asian, Non-Hispanic","0.732","2022-02-18T00:00:00.000","2021-08-21T00:00:00.000"
"2021-08-28T00:00:00.000","2021-2022","2021","34","7","3","Asian, Non-Hispanic","1.52","2022-02-18T00:00:00.000","2021-08-28T00:00:00.000"
"2021-09-04T00:00:00.000","2021-2022","2021","35","7","4","Asian, Non-Hispanic","3.11","2022-02-18T00:00:00.000","2021-09-04T00:00:00.000"
"2021-09-11T00:00:00.000","2021-2022","2021","36","7","5","Asian, Non-Hispanic","5.65","2022-02-18T00:00:00.000","2021-09-11T00:00:00.000"
"2021-09-18T00:00:00.000","2021-2022","2021","37","7","6","Asian, Non-Hispanic","9.67","2022-02-18T00:00:00.000","2021-09-18T00:00:00.000"
"2021-09-25T00:00:00.000","2021-2022","2021","38","7","7","Asian, Non-Hispanic","14.47","2022-02-18T00:00:00.000","2021-09-25T00:00:00.000"
"2021-10-02T00:00:00.000","2021-2022","2021","39","7","8","Asian, Non-Hispanic","20.13","2022-02-18T00:00:00.000","2021-10-02T00:00:00.000"
"2021-04-03T00:00:00.000","2020-2021","2021","13","7","35","Hispanic","37.1","2022-02-18T00:00:00.000","2022-04-02T00:00:00.000"
"2021-04-10T00:00:00.000","2020-2021","2021","14","7","36","Hispanic","37.12","2022-02-18T00:00:00.000","2022-04-09T00:00:00.000"
"2021-04-17T00:00:00.000","2020-2021","2021","15","7","37","Hispanic","37.14","2022-02-18T00:00:00.000","2022-04-16T00:00:00.000"
"2021-04-24T00:00:00.000","2020-2021","2021","16","7","38","Hispanic","37.16","2022-02-18T00:00:00.000","2022-04-23T00:00:00.000"
"2021-05-01T00:00:00.000","2020-2021","2021","17","7","39","Hispanic","37.17","2022-02-18T00:00:00.000","2022-04-30T00:00:00.000"
"2021-05-08T00:00:00.000","2020-2021","2021","18","7","40","Hispanic","37.19","2022-02-18T00:00:00.000","2022-05-07T00:00:00.000"
"2021-05-15T00:00:00.000","2020-2021","2021","19","7","41","Hispanic","37.2","2022-02-18T00:00:00.000","2022-05-14T00:00:00.000"
