"year","age_group","birth_rate"
"1960","15-19 years","89.1"
"1961","15-19 years","88.6"
"1962","15-19 years","81.4"
"1963","15-19 years","76.7"
"1964","15-19 years","73.1"
"1965","15-19 years","70.5"
"1966","15-19 years","70.3"
"1967","15-19 years","67.5"
"1968","15-19 years","65.6"
"1969","15-19 years","65.5"
"1970","15-19 years","68.3"
"1971","15-19 years","64.5"
"1972","15-19 years","61.7"
"1973","15-19 years","59.3"
"1974","15-19 years","57.5"
"1975","15-19 years","55.6"
"1976","15-19 years","52.8"
"1977","15-19 years","52.8"
"1978","15-19 years","51.5"
"1979","15-19 years","52.3"
"1980","15-19 years","53"
"1981","15-19 years","52.2"
"1982","15-19 years","52.4"
"1983","15-19 years","51.4"
"1984","15-19 years","50.6"
"1985","15-19 years","51"
"1986","15-19 years","50.2"
"1987","15-19 years","50.6"
"1988","15-19 years","53"
"1989","15-19 years","57.3"
"1990","15-19 years","59.9"
"1991","15-19 years","61.8"
"1992","15-19 years","60.3"
"1993","15-19 years","59"
"1994","15-19 years","58.2"
"1995","15-19 years","56"
"1996","15-19 years","53.5"
"1997","15-19 years","51.3"
"1998","15-19 years","50.3"
"1999","15-19 years","48.8"
"2000","15-19 years","47.7"
"2001","15-19 years","45"
"2002","15-19 years","42.6"
"2003","15-19 years","41.1"
"2004","15-19 years","40.5"
"2005","15-19 years","39.7"
"2006","15-19 years","41.1"
"2007","15-19 years","41.5"
"2008","15-19 years","40.2"
"2009","15-19 years","37.9"
"2010","15-19 years","34.2"
"2011","15-19 years","31.3"
"2012","15-19 years","29.4"
"2013","15-19 years","26.5"
"1968","18-19 years","113.5"
"1961","18-19 years","155.2"
"2008","15-17 years","21.1"
"2014","15-17 years","10.9"
"1972","15-17 years","39"
"2015","18-19 years","40.7"
"1996","15-17 years","33.3"
"2012","18-19 years","51.4"
"2007","15-17 years","21.7"
"2015","15-17 years","9.9"
"1969","15-17 years","35.7"
"1986","15-17 years","30.5"
"2001","18-19 years","75.5"
"1961","15-17 years","43.8"
"2003","15-17 years","22.2"
"1978","15-17 years","32.2"
"2011","15-17 years","15.4"
"2010","18-19 years","58.2"
"1984","18-19 years","77.4"
"2000","18-19 years","78.1"
"1972","18-19 years","96.9"
"1981","18-19 years","80"
"1990","18-19 years","88.6"
"1960","18-19 years","166.7"
"1989","18-19 years","84.2"
"1982","18-19 years","79.4"
"1977","18-19 years","80.9"
"1986","18-19 years","79.6"
"1963","15-17 years","36.9"
"1973","15-17 years","38.5"
"1980","18-19 years","82.1"
"2015","15-19 years","22.3"
"1979","18-19 years","81.3"
"1981","15-17 years","32"
"1964","15-17 years","37.2"
"2013","18-19 years","47.1"
"2005","18-19 years","68.4"
"1973","18-19 years","91.2"
"1975","15-17 years","36.1"
"1992","15-17 years","37.5"
"1970","15-17 years","38.8"
"1962","15-17 years","38.1"
"1989","15-17 years","36.4"
"2007","18-19 years","71.7"
"2014","15-19 years","24.2"
"1967","18-19 years","116.7"
"1987","18-19 years","78.5"
"1971","18-19 years","105.3"
"1966","15-17 years","35.7"
"1976","18-19 years","80.5"
"1988","18-19 years","79.9"
"1982","15-17 years","32.3"
"1994","15-17 years","37.2"
"1967","15-17 years","35.3"
"2011","18-19 years","54.1"
"2002","15-17 years","23.1"
"1988","15-17 years","33.6"
"1995","15-17 years","35.5"
"1968","15-17 years","35.1"
"1994","18-19 years","90.3"
"1976","15-17 years","34.1"
"1998","18-19 years","80.9"
"1980","15-17 years","32.5"
"2010","15-17 years","17.3"
"2008","18-19 years","68.2"
"1987","15-17 years","31.7"
"1974","15-17 years","37.3"
"2004","18-19 years","68.7"
"1963","18-19 years","147.6"
"1990","15-17 years","37.5"
"1970","18-19 years","114.7"
"1983","15-17 years","31.8"
"2014","18-19 years","43.8"
"2003","18-19 years","69.6"
"2001","15-17 years","24.5"
"1993","15-17 years","37.4"
"1985","15-17 years","31"
"1965","15-17 years","36.6"
"1991","18-19 years","94"
"1971","15-17 years","38.2"
"1999","15-17 years","28.2"
"1995","18-19 years","87.7"
"2009","15-17 years","19.6"
"1996","18-19 years","84.7"
"1977","15-17 years","33.9"
"1974","18-19 years","88.7"
"2009","18-19 years","64"
"1997","18-19 years","82.1"
"2006","18-19 years","71.2"
"1965","18-19 years","124.5"
"1984","15-17 years","31"
"2012","15-17 years","14.1"
"1966","18-19 years","120.3"
"1991","15-17 years","38.5"
"2002","18-19 years","72.2"
"1999","18-19 years","79"
"2005","15-17 years","21.1"
"1983","18-19 years","77.4"
"1960","15-17 years","43.9"
"2013","15-17 years","12.3"
"1962","18-19 years","150.8"
"2006","15-17 years","21.6"
"1979","15-17 years","32.3"
"1998","15-17 years","29.9"
"2004","15-17 years","21.8"
"1985","18-19 years","79.6"
"1969","18-19 years","112.4"
"2000","15-17 years","26.9"
"1978","18-19 years","79.8"
"1964","18-19 years","142.8"
"1997","15-17 years","31.4"
"1993","18-19 years","91.1"
"1975","18-19 years","85"
"1992","18-19 years","93.7"
