"year","state","county","state_fips_code","county_fips_code","combined_fips_code","birth_rate","lower_confidence_limit","upper_confidence_limit"
"2003","Alabama","Autauga","01","001","1001","48.414993","42.2","55.2"
"2004","Alabama","Autauga","01","001","1001","46.393639","41.7","51.5"
"2005","Alabama","Autauga","01","001","1001","44.109168","40.3","48.1"
"2006","Alabama","Autauga","01","001","1001","44.302419","40.8","48.0"
"2007","Alabama","Autauga","01","001","1001","43.651776","40.3","47.2"
"2008","Alabama","Autauga","01","001","1001","41.592236","38.4","45.0"
"2009","Alabama","Autauga","01","001","1001","38.674873","35.6","41.9"
"2010","Alabama","Autauga","01","001","1001","34.684776","31.8","37.7"
"2011","Alabama","Autauga","01","001","1001","31.902238","29.2","34.8"
"2012","Alabama","Autauga","01","001","1001","30.300622","27.6","33.1"
"2013","Alabama","Autauga","01","001","1001","27.836397","25.3","30.5"
"2014","Alabama","Autauga","01","001","1001","26.072926","23.7","28.7"
"2015","Alabama","Autauga","01","001","1001","24.698437","22.3","27.2"
"2016","Alabama","Autauga","01","001","1001","23.276658","21.0","25.8"
"2017","Alabama","Autauga","01","001","1001","22.353661","20.0","24.9"
"2018","Alabama","Autauga","01","001","1001","21.48156","18.9","24.3"
"2019","Alabama","Autauga","01","001","1001","21.351974","18.3","24.8"
"2020","Alabama","Autauga","01","001","1001","20.554714","17.0","24.7"
"2003","Alabama","Baldwin","01","003","1003","47.300228","43.3","51.6"
"2004","Alabama","Baldwin","01","003","1003","47.626887","44.6","50.8"
"2005","Alabama","Baldwin","01","003","1003","47.597503","45.0","50.3"
"2006","Alabama","Baldwin","01","003","1003","49.986192","47.4","52.6"
"2007","Alabama","Baldwin","01","003","1003","50.911223","48.4","53.6"
"2008","Alabama","Baldwin","01","003","1003","49.448918","47.0","52.0"
"2009","Alabama","Baldwin","01","003","1003","46.282939","43.9","48.7"
"2010","Alabama","Baldwin","01","003","1003","41.400753","39.2","43.7"
"2011","Alabama","Baldwin","01","003","1003","37.745302","35.7","39.9"
"2012","Alabama","Baldwin","01","003","1003","35.454994","33.5","37.5"
"2013","Alabama","Baldwin","01","003","1003","32.144813","30.3","34.1"
"2014","Alabama","Baldwin","01","003","1003","29.653019","27.9","31.5"
"2015","Alabama","Baldwin","01","003","1003","27.521532","25.9","29.3"
"2016","Alabama","Baldwin","01","003","1003","25.204953","23.6","26.8"
"2017","Alabama","Baldwin","01","003","1003","23.297143","21.8","24.9"
"2018","Alabama","Baldwin","01","003","1003","21.326187","19.8","22.9"
"2019","Alabama","Baldwin","01","003","1003","19.99537","18.3","21.8"
"2020","Alabama","Baldwin","01","003","1003","18.024055","16.0","20.2"
"2003","Alabama","Barbour","01","005","1005","69.810233","60.2","80.4"
"2004","Alabama","Barbour","01","005","1005","70.766051","63.0","79.2"
"2005","Alabama","Barbour","01","005","1005","71.180109","64.6","78.3"
"2006","Alabama","Barbour","01","005","1005","75.142089","68.7","81.9"
"2007","Alabama","Barbour","01","005","1005","76.991551","70.6","83.8"
"2008","Alabama","Barbour","01","005","1005","75.390942","69.0","82.2"
"2009","Alabama","Barbour","01","005","1005","71.366966","65.1","78.1"
"2010","Alabama","Barbour","01","005","1005","64.590767","58.6","71.0"
"2011","Alabama","Barbour","01","005","1005","59.271871","53.6","65.4"
"2012","Alabama","Barbour","01","005","1005","55.528369","50.0","61.5"
"2013","Alabama","Barbour","01","005","1005","49.918403","44.7","55.5"
"2014","Alabama","Barbour","01","005","1005","45.514077","40.6","50.8"
"2015","Alabama","Barbour","01","005","1005","41.873048","37.1","47.0"
"2016","Alabama","Barbour","01","005","1005","38.35379","33.7","43.4"
"2017","Alabama","Barbour","01","005","1005","35.815767","31.0","41.1"
"2018","Alabama","Barbour","01","005","1005","33.497685","28.4","39.2"
"2019","Alabama","Barbour","01","005","1005","32.373148","26.6","39.0"
"2020","Alabama","Barbour","01","005","1005","30.264031","23.8","37.9"
"2003","Alabama","Bibb","01","007","1007","51.24009","42.2","61.6"
"2004","Alabama","Bibb","01","007","1007","51.036029","43.6","59.3"
"2005","Alabama","Bibb","01","007","1007","50.66519","44.4","57.5"
"2006","Alabama","Bibb","01","007","1007","53.264669","47.4","59.6"
"2007","Alabama","Bibb","01","007","1007","54.859885","49.1","61.0"
"2008","Alabama","Bibb","01","007","1007","54.661172","49.0","60.8"
"2009","Alabama","Bibb","01","007","1007","53.160406","47.6","59.2"
"2010","Alabama","Bibb","01","007","1007","49.762068","44.4","55.5"
"2011","Alabama","Bibb","01","007","1007","47.530532","42.3","53.2"
"2012","Alabama","Bibb","01","007","1007","46.417933","41.2","52.1"
"2013","Alabama","Bibb","01","007","1007","43.376321","38.3","48.9"
"2014","Alabama","Bibb","01","007","1007","40.863725","35.9","46.2"
"2015","Alabama","Bibb","01","007","1007","38.520967","33.7","43.8"
"2016","Alabama","Bibb","01","007","1007","35.813523","31.0","41.1"
"2017","Alabama","Bibb","01","007","1007","33.702472","28.7","39.3"
"2018","Alabama","Bibb","01","007","1007","31.642044","26.3","37.7"
"2019","Alabama","Bibb","01","007","1007","30.634145","24.6","37.6"
"2020","Alabama","Bibb","01","007","1007","28.674602","22.0","36.6"
"2003","Alabama","Blount","01","009","1009","51.097141","44.7","58.2"
"2004","Alabama","Blount","01","009","1009","50.169463","45.2","55.5"
"2005","Alabama","Blount","01","009","1009","49.046183","44.9","53.4"
"2006","Alabama","Blount","01","009","1009","50.859195","47.0","55.0"
"2007","Alabama","Blount","01","009","1009","51.834482","48.0","55.9"
"2008","Alabama","Blount","01","009","1009","51.157811","47.4","55.2"
"2009","Alabama","Blount","01","009","1009","49.351155","45.6","53.3"
"2010","Alabama","Blount","01","009","1009","45.674657","42.1","49.4"
"2011","Alabama","Blount","01","009","1009","42.981747","39.6","46.6"
"2012","Alabama","Blount","01","009","1009","41.343842","38.0","44.9"
"2013","Alabama","Blount","01","009","1009","38.104823","34.9","41.5"
"2014","Alabama","Blount","01","009","1009","35.506324","32.5","38.7"
"2015","Alabama","Blount","01","009","1009","33.147763","30.2","36.3"
"2016","Alabama","Blount","01","009","1009","30.54206","27.7","33.5"
"2017","Alabama","Blount","01","009","1009","28.552563","25.7","31.6"
"2018","Alabama","Blount","01","009","1009","26.676859","23.7","29.9"
"2019","Alabama","Blount","01","009","1009","25.70255","22.3","29.5"
"2020","Alabama","Blount","01","009","1009","23.930662","20.0","28.4"
"2003","Alabama","Bullock","01","011","1011","78.593297","64.4","94.8"
"2004","Alabama","Bullock","01","011","1011","79.73766","67.8","93.0"
"2005","Alabama","Bullock","01","011","1011","80.336442","70.1","91.6"
"2006","Alabama","Bullock","01","011","1011","85.155942","75.4","95.7"
"2007","Alabama","Bullock","01","011","1011","88.133634","78.5","98.5"
"2008","Alabama","Bullock","01","011","1011","87.704432","78.1","98.1"
"2009","Alabama","Bullock","01","011","1011","84.518776","75.0","94.8"
