"week_ending","current_season_week_ending","influenza_season","data_collection_period","geography","geographic_level","parent_geography","age_group","age_group_sort_order","race","race_ethnicity_sort_order","point_estimate","standard_error","upper_ci","lower_ci","ci_range","weighted_sample_size","unweighted_sample_size","suppression_flag","current_through","binrangetext","binrangeorder"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","18-49 yrs","2","American Indian/Alaskan Native, Non-Hispanic","2","29.4","4.1","38.1","22","22.0-38.1","1239962.6","351","false","2022-01-29T00:00:00.000","29.4","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","50-64 yrs","3","American Indian/Alaskan Native, Non-Hispanic","2","34.1","5.1","44.8","24.9","24.9-44.8","526725.96","215","false","2022-01-29T00:00:00.000","34.1","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","65+ yrs","4","American Indian/Alaskan Native, Non-Hispanic","2","53.8","8.8","69.9","36.8","36.8-69.9","370136.56","124","false","2022-01-29T00:00:00.000","53.8","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","All Adults (18+)","1","American Indian/Alaskan Native, Non-Hispanic","2","34.8","3.2","41.3","28.8","28.8-41.3","2136825.1","690","false","2022-01-29T00:00:00.000","34.8","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","18-49 yrs","2","Asian, Non-Hispanic","3","45.1","2","49.1","41.2","41.2-49.1","8838899.9","2380","false","2022-01-29T00:00:00.000","45.1","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","50-64 yrs","3","Asian, Non-Hispanic","3","60","4.6","68.6","50.6","50.6-68.6","1723546.2","543","false","2022-01-29T00:00:00.000","60.0","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","65+ yrs","4","Asian, Non-Hispanic","3","66.4","6.6","77.9","52.6","52.6-77.9","830851.8","306","false","2022-01-29T00:00:00.000","66.4","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","National","National","National","All Adults (18+)","1","Asian, Non-Hispanic","3","48.9","1.8","52.5","45.4","45.4-52.5","11393298","3229","false","2022-01-29T00:00:00.000","48.9","1"
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","Maine","State","National","18-49 yrs","2","Black, Non-Hispanic","4",,,,,,,,"true","2022-01-29T00:00:00.000",,
"2022-01-29T00:00:00.000","2022-01-29T00:00:00.000","2021-2022","01/02/2022 - 01/29/2022","Oklahoma","State","National","18-49 yrs","2","Black, Non-Hispanic","4",,,,,,,,"true","2022-01-29T00:00:00.000",,
