"geoid","region","state","age","season","mmwr_year_week","deaths_from_influenza","deaths_from_pneumonia","deaths_from_pneumonia_and_influenza","all_deaths","pecent_of_deaths_due_to_pneumonia_or_influenza","pecent_complete"
"State",,"Maryland","All","2017-18","201831",,,"64","949","6.7439409905","113.91902681"
"State",,"Texas","All","2017-18","201819",,,"242","3664","6.6048034934","114.08514493"
"State",,"Pennsylvania","All","2017-18","201802",,,"282","3185","8.8540031397","132.19363205"
"State",,"Colorado","All","2017-18","201818",,,"41","702","5.8404558405","114.5518426"
"State",,"Maryland","All","2017-18","201807",,,"87","1060","8.2075471698","127.24359158"
"State",,"Virginia","All","2017-18","201802",,,"125","1555","8.038585209","135.82432003"
"State",,"District of Columbia","All","2018-19","201842",,,"8","96","8.3333333333","107.49531208"
"State",,"Massachusetts","All","2017-18","201828",,,"67","1062","6.3088512241","105.17492193"
"National",,,"65 years and older","2017-18","201744","27","2588","2615","39463","6.6264602286","112.81959668"
"State",,"Colorado","All","2017-18","201836",,,"27","670","4.0298507463","109.33010618"
"National",,,"All","2017-18","201744","36","3214","3250","53679","6.0545092122","112.81959668"
"State",,"California","All","2017-18","201808",,,"546","5656","9.6534653465","124.73872596"
"State",,"Wyoming","All","2018-19","201842",,,"5","116","4.3103448276","138.14245014"
"State",,"Pennsylvania","All","2017-18","201805",,,"278","2901","9.5829024474","120.40619359"
"State",,"South Carolina","All","2017-18","201831",,,"51","948","5.3797468354","118.9167777"
"State",,"Montana","All","2018-19","201842",,,"13","192","6.7708333333","114.26618828"
"State",,"Rhode Island","All","2018-19","201841",,,"11","177","6.2146892655","97.802982234"
"State",,"Ohio","All","2017-18","201820",,,"108","2164","4.9907578558","105.14109833"
"State",,"New Hampshire","All","2018-19","201844",,,"14","247","5.6680161943","123.73978283"
"State",,"New Jersey","All","2017-18","201806",,,"151","1685","8.9614243323","126.52695342"
"State",,"Ohio","All","2017-18","201825",,,"98","2230","4.3946188341","108.34780466"
"National",,,"18-64 years","2017-18","201747","11","569","580","13460","4.309063893","113.74646644"
"State",,"District of Columbia","All","2017-18","201833",,,"0","90","0","100.77685508"
"Region","1",,"All","2017-18","201817","8","209","217","2648","8.1948640483","115.66581326"
"State",,"North Dakota","All","2017-18","201837",,,"5","127","3.937007874","111.57677918"
"State",,"Maryland","All","2017-18","201803",,,"103","1097","9.3892433911","131.68511318"
"Region","7",,"All","2017-18","201744","3","161","164","2681","6.1171204774","113.95332284"
"State",,"Nevada","All","2017-18","201826",,,"30","498","6.0240963855","130.38935658"
"National",,,"18-64 years","2015-16","201615","80","766","846","13641","6.2018913569","112.42236678"
"State",,"Iowa","All","2017-18","201827",,,"29","503","5.7654075547","94.236130409"
"State",,"Wyoming","All","2018-19","201845",,,"9","96","9.375","114.32478632"
"State",,"Massachusetts","All","2017-18","201835",,,"66","1018","6.4833005894","100.81739221"
"State",,"Texas","All","2017-18","201808",,,"421","4079","10.321157146","127.0069067"
"State",,"Colorado","All","2017-18","201802",,,"88","861","10.220673635","140.49734541"
"State",,"Oklahoma","All","2017-18","201813",,,"70","718","9.7493036212","103.11909458"
"State",,"Colorado","All","2017-18","201821",,,"27","714","3.781512605","116.50999375"
"State",,"Texas","All","2017-18","201832",,,"202","3599","5.6126701862","112.06125453"
"State",,"Colorado","All","2017-18","201805",,,"83","842","9.8574821853","137.39693941"
"State",,"Texas","All","2017-18","201812",,,"290","3794","7.6436478651","118.13292572"
"State",,"Missouri","All","2017-18","201818",,,"63","1212","5.198019802","114.83360307"
"State",,"Arkansas","All","2017-18","201826",,,"35","575","6.0869565217","102.76637592"
"State",,"Minnesota","All","2017-18","201816",,,"47","838","5.6085918854","112.16841081"
"State",,"Arizona","All","2017-18","201838",,,"56","1045","5.3588516746","115.21256337"
"State",,"Texas","All","2017-18","201817",,,"214","3699","5.7853473912","115.17493207"
"State",,"New Hampshire","All","2015-16","201615",,,"19","232","8.1896551724","116.22522112"
"State",,"Kansas","All","2017-18","201744",,,"42","567","7.4074074074","120.25267644"
"State",,"Nevada","All","2017-18","201814",,,"54","482","11.203319502","126.20014031"
"National",,,"18-64 years","2017-18","201744","6","609","615","13508","4.5528575659","112.81959668"
"State",,"Virginia","All","2017-18","201823",,,"56","1259","4.447974583","109.96965847"
"State",,"Kentucky","All","2017-18","201820",,,"82","931","8.8077336198","114.9111203"
"State",,"Florida","All","2017-18","201815",,,"240","3896","6.160164271","117.41031261"
"State",,"South Dakota","All","2017-18","201834",,,"10","113","8.8495575221","82.52786805"
"State",,"Colorado","All","2017-18","201804",,,"96","839","11.442193087","136.90740162"
"State",,"Colorado","All","2017-18","201801",,,"89","851","10.458284371","138.86555278"
"State",,"Maine","All","2018-19","201843",,,"16","269","5.9479553903","110.01506761"
"State",,"Maryland","All","2017-18","201825",,,"53","867","6.1130334487","104.07565463"
"National",,,"All","2017-18","201747","48","3201","3249","54120","6.0033259424","113.74646644"
"State",,"Illinois","All","2017-18","201832",,,"118","1892","6.2367864693","98.016022527"
"State",,"Delaware","All","2018-19","201842",,,"13","180","7.2222222222","121.8974791"
"State",,"Utah","All","2017-18","201837",,,"12","308","3.8961038961","107.84928041"
"State",,"Tennessee","All","2017-18","201819",,,"81","1313","6.1690784463","114.77896797"
"National",,,"All","2015-16","201615","196","3891","4087","53490","7.640680501","112.42236678"
"State",,"Colorado","All","2017-18","201806",,,"70","809","8.652657602","132.01202374"
"Region","1",,"All","2017-18","201815","20","180","200","2660","7.5187969925","116.18997858"
"State",,"Colorado","All","2017-18","201827",,,"32","674","4.7477744807","109.98282324"
"State",,"South Dakota","All","2018-19","201840",,,"13","151","8.6092715232","110.28060244"
"State",,"Maine","All","2018-19","201841",,,"22","303","7.2607260726","123.92031779"
"Region","9",,"All","2017-18","201818","6","459","465","6763","6.8756469023","112.47190126"
"State",,"New York City","All","2017-18","201802",,,"114","1334","8.5457271364","133.97435897"
"State",,"South Dakota","All","2018-19","201846",,,"14","124","11.290322581","90.561554321"
"State",,"Delaware","All","2017-18","201830",,,"9","163","5.5214723926","110.38493941"
"State",,"Texas","All","2017-18","201824",,,"236","3642","6.4799560681","113.40013587"
"State",,"Wyoming","All","2018-19","201841",,,"5","88","5.6818181818","104.7977208"
"State",,"Ohio","All","2017-18","201828",,,"110","2249","4.8910626945","109.27094739"
"Region","1",,"All","2017-18","201827","0","147","147","2491","5.9012444801","108.8079837"
"State",,"Utah","All","2017-18","201816",,,"28","379","7.3878627968","132.71064051"
"State",,"West Virginia","All","2017-18","201830",,,"19","411","4.6228710462","99.701703886"
"State",,"Oklahoma","All","2014-15","201539",,,"48","743","6.4602960969","106.7095923"
"State",,"North Carolina","All","2016-17","201739",,,"106","1705","6.2170087977","112.41450888"
"State",,"Wyoming","All","2015-16","201628",,,"5","86","5.8139534884","102.41595442"
"State",,"Nevada","All","2017-18","201802",,,"88","596","14.765100671","156.04830627"
"State",,"Kentucky","All","2017-18","201818",,,"78","930","8.3870967742","114.78769267"
"State",,"District of Columbia","All","2017-18","201835",,,"0","77","0","86.220198232"
"State",,"Virginia","All","2017-18","201837",,,"53","1252","4.2332268371","109.35823066"
"State",,"Oregon","All","2017-18","201809",,,"47","712","6.6011235955","115.56915526"
"State",,"Arkansas","All","2017-18","201812",,,"50","582","8.5910652921","104.01744484"
"Region","7",,"All","2017-18","201827","1","132","133","2450","5.4285714286","104.13489032"
"State",,"Connecticut","All","2017-18","201804",,,"83","665","12.481203008","119.9977552"
"State",,"Louisiana","All","2017-18","201822",,,"35","830","4.2168674699","106.1036999"
"Region","8",,"All","2017-18","201816","5","106","111","1686","6.5836298932","120.32946206"
"State",,"Michigan","All","2017-18","201829",,,"105","1796","5.846325167","106.37217395"
"State",,"Massachusetts","All","2017-18","201822",,,"68","1119","6.0768543342","110.81990362"
"State",,"Kansas","All","2017-18","201747",,,"31","525","5.9047619048","111.34507078"
"State",,"Texas","All","2017-18","201806",,,"463","4392","10.541894353","136.75271739"
"State",,"New Mexico","All","2017-18","201807",,,"37","387","9.5607235142","125.17100498"
