"year","age_group","percentage_of_birth"
"1933","Less than 15 Years","0.001296914078959067"
"1933","15-19 Years","0.12134699313080084"
"1933","20-24 Years","0.29978719785381014"
"1933","25-29 Years","0.26073868051072513"
"1933","30-34 Years","0.17080947926290438"
"1933","35-39 Years","0.1055366247762775"
"1933","40-44 Years","0.03684946519206312"
"1933","45+ Years","0.0036346451944597995"
"1934","Less than 15 Years","0.0013495239140918927"
"1934","15-19 Years","0.12332369255315748"
"1934","20-24 Years","0.3041441456466619"
"1934","25-29 Years","0.261675142306903"
"1934","30-34 Years","0.1709322833638864"
"1934","35-39 Years","0.09983095047159213"
"1934","40-44 Years","0.03530165542526681"
"1934","45+ Years","0.0034426063184403895"
"1935","Less than 15 Years","0.00146650548904679"
"1935","15-19 Years","0.12571482258911473"
"1935","20-24 Years","0.3071526677330188"
"1935","25-29 Years","0.26252215688399444"
"1935","30-34 Years","0.16626628074580152"
"1935","35-39 Years","0.09965865259168682"
"1935","40-44 Years","0.03387055589069627"
"1935","45+ Years","0.0033483580766406093"
"1936","Less than 15 Years","0.0013727926330844894"
"1936","15-19 Years","0.12579555856259547"
"1936","20-24 Years","0.311667382344242"
"1936","25-29 Years","0.264386404213137"
"1936","30-34 Years","0.16533039773138775"
"1936","35-39 Years","0.09627023736042535"
"1936","40-44 Years","0.031999431818978276"
"1936","45+ Years","0.0031777953361496296"
"1937","Less than 15 Years","0.00142847205773173"
"1937","15-19 Years","0.12965043351990155"
"1937","20-24 Years","0.31472440082143965"
"1937","25-29 Years","0.2653184533402923"
"1937","30-34 Years","0.16472210490040476"
"1937","35-39 Years","0.0915672411621816"
"1937","40-44 Years","0.029631020484616646"
"1937","45+ Years","0.0029578737134317743"
"1938","Less than 15 Years","0.0014394349112231693"
"1938","15-19 Years","0.13054584230151936"
"1938","20-24 Years","0.3154683418471799"
"1938","25-29 Years","0.26762672785834246"
"1938","30-34 Years","0.16526963676930723"
"1938","35-39 Years","0.0887098292778521"
"1938","40-44 Years","0.02817386201656642"
"1938","45+ Years","0.0027663250180093584"
"1939","Less than 15 Years","0.0014822929431715498"
"1939","15-19 Years","0.13064911433770285"
"1939","20-24 Years","0.31127753934950636"
"1939","25-29 Years","0.27083211761439696"
"1939","30-34 Years","0.16829263548413906"
"1939","35-39 Years","0.08828860371806638"
"1939","40-44 Years","0.026484989628812274"
"1939","45+ Years","0.002692706924204566"
"1940","Less than 15 Years","0.0013823562616876377"
"1940","15-19 Years","0.12764491821730795"
"1940","20-24 Years","0.31341161450892613"
"1940","25-29 Years","0.27412290195499217"
"1940","30-34 Years","0.16986599165917554"
"1940","35-39 Years","0.08536060526577147"
"1940","40-44 Years","0.025853924372337255"
"1940","45+ Years","0.0023576877598019117"
"1941","Less than 15 Years","0.0013679721576025062"
"1941","15-19 Years","0.1261917456249198"
"1941","20-24 Years","0.32061513719170814"
"1941","25-29 Years","0.2758984265730086"
"1941","30-34 Years","0.1673659941168829"
"1941","35-39 Years","0.08241982439907648"
"1941","40-44 Years","0.024037737382817823"
"1941","45+ Years","0.0021031625539836957"
"1942","Less than 15 Years","0.0012714848311431775"
"1942","15-19 Years","0.1216984983571603"
"1942","20-24 Years","0.3307646915151742"
"1942","25-29 Years","0.27907737124255017"
"1942","30-34 Years","0.16486515878406685"
"1942","35-39 Years","0.07879889966287468"
"1942","40-44 Years","0.021702598770945537"
"1942","45+ Years","0.0018212968360850675"
"1943","Less than 15 Years","0.0012753134534136902"
"1943","15-19 Years","0.11724215598615823"
"1943","20-24 Years","0.3173830991106591"
"1943","25-29 Years","0.2806061578153474"
"1943","30-34 Years","0.1741869322176189"
"1943","35-39 Years","0.08493103001098878"
"1943","40-44 Years","0.02266215284650509"
"1943","45+ Years","0.0017131585593087302"
"1944","Less than 15 Years","0.001277317668725065"
"1944","15-19 Years","0.10789303494619322"
"1944","20-24 Years","0.31062144281361015"
"1944","25-29 Years","0.2755333652214883"
"1944","30-34 Years","0.18339952812696503"
"1944","35-39 Years","0.09438965533920576"
"1944","40-44 Years","0.025106726788379097"
"1944","45+ Years","0.0017789290954333655"
"1945","Less than 15 Years","0.0013091911594970771"
"1945","15-19 Years","0.10296075797514699"
"1945","20-24 Years","0.2919752774290754"
"1945","25-29 Years","0.27677502944122856"
"1945","30-34 Years","0.1950189178672166"
"1945","35-39 Years","0.1028303151951915"
"1945","40-44 Years","0.027011914995276946"
"1945","45+ Years","0.0021185959373669467"
