"year","age","race","birth_rate"
"1970","15-17","All Races","17.1"
"1970","15-19","All Races","22.4"
"1970","15-44","All Races","26.4"
"1970","18-19","All Races","32.9"
"1970","20-24","All Races","38.4"
"1970","25-29","All Races","37.0"
"1970","30-34","All Races","27.1"
"1970","35-39","All Races","13.6"
"1970","40-44","All Races","3.5"
"1975","15-17","All Races","19.3"
"1975","15-19","All Races","23.9"
"1975","15-44","All Races","24.5"
"1975","18-19","All Races","32.5"
"1975","20-24","All Races","31.2"
"1975","25-29","All Races","27.5"
"1975","30-34","All Races","17.9"
"1975","35-39","All Races","9.1"
"1975","40-44","All Races","2.6"
"1980","15-17","All Races","20.6"
"1980","15-17","Black","68.8"
"1980","15-17","White","12.0"
"1980","15-19","All Races","27.6"
"1980","15-19","Black","87.9"
"1980","15-19","White","16.5"
"1980","15-44","All Races","29.4"
"1980","15-44","Black","81.1"
"1980","15-44","White","18.1"
"1980","18-19","All Races","39.0"
"1980","18-19","Black","118.2"
"1980","18-19","White","24.1"
"1980","20-24","All Races","40.9"
"1980","20-24","Black","112.3"
"1980","20-24","White","25.1"
"1980","25-29","All Races","34.0"
"1980","25-29","Black","81.4"
"1980","25-29","White","21.5"
"1980","30-34","All Races","21.1"
"1980","30-34","Black","46.7"
"1980","30-34","White","14.1"
"1980","35-39","All Races","9.7"
"1980","35-39","Black","19.0"
"1980","35-39","White","7.1"
"1980","40-44","All Races","2.6"
"1980","40-44","Black","5.5"
"1980","40-44","White","1.8"
"1981","15-17","All Races","20.9"
"1981","15-17","Black","65.9"
"1981","15-17","White","12.6"
"1981","15-19","All Races","27.9"
"1981","15-19","Black","85.0"
"1981","15-19","White","17.2"
"1981","15-44","All Races","29.5"
"1981","15-44","Black","79.4"
"1981","15-44","White","18.6"
"1981","18-19","All Races","39.0"
"1981","18-19","Black","114.2"
"1981","18-19","White","24.6"
"1981","20-24","All Races","41.1"
"1981","20-24","Black","110.7"
"1981","20-24","White","25.8"
"1981","25-29","All Races","34.5"
"1981","25-29","Black","83.1"
"1981","25-29","White","22.3"
"1981","30-34","All Races","20.8"
"1981","30-34","Black","45.5"
"1981","30-34","White","14.2"
"1981","35-39","All Races","9.8"
"1981","35-39","Black","19.6"
"1981","35-39","White","7.2"
"1981","40-44","All Races","2.6"
"1981","40-44","Black","5.6"
"1981","40-44","White","1.9"
"1982","15-17","All Races","21.5"
"1982","15-17","Black","66.3"
"1982","15-17","White","13.1"
