"location","month","plocaltransmissionave","plocaltransmissionmin","plocaltransmissionmax","localcases"
"Atlantic City","2013-12-01T00:00:00.000","0","0","0","0"
"Buenos Aires","2013-12-01T00:00:00.000","0","0","0.01","0"
"Atlanta","2013-12-01T00:00:00.000","0","0","0","0"
"Austin","2013-12-01T00:00:00.000","0","0","0","0"
"Phoenix","2013-12-01T00:00:00.000","0","0","0","0"
"Barranquilla","2013-12-01T00:00:00.000","0","0","0","0"
"Hartford","2013-12-01T00:00:00.000","0","0","0","0"
"Belem","2013-12-01T00:00:00.000","0","0","0","0"
"Birmingham, US","2013-12-01T00:00:00.000","0","0","0","0"
"Nashville","2013-12-01T00:00:00.000","0","0","0","0"
"Bogota","2013-12-01T00:00:00.000","0","0","0.01","0"
"Boston","2013-12-01T00:00:00.000","0","0","0","0"
"Buffalo","2013-12-01T00:00:00.000","0","0","0","0"
"Baltimore","2013-12-01T00:00:00.000","0","0","0","0"
"Belize","2013-12-01T00:00:00.000","0","0","0","0"
"Akron","2013-12-01T00:00:00.000","0","0","0","0"
"Sao Paulo","2013-12-01T00:00:00.000","0","0","0.02","0"
"Charleston, SC, US","2013-12-01T00:00:00.000","0","0","0","0"
"Cleveland","2013-12-01T00:00:00.000","0","0","0","0"
"Cali","2013-12-01T00:00:00.000","0","0","0.01","0"
"Charlotte","2013-12-01T00:00:00.000","0","0","0","0"
"Columbus, OH, US","2013-12-01T00:00:00.000","0","0","0","0"
"Belo Horizonte","2013-12-01T00:00:00.000","0","0","0","0"
"Cordoba, AR","2013-12-01T00:00:00.000","0","0","0","0"
"Cartagena","2013-12-01T00:00:00.000","0","0","0","0"
"Cumana","2013-12-01T00:00:00.000","0","0","0","0"
"Cancun","2013-12-01T00:00:00.000","0","0","0.01","0"
"Cincinnati","2013-12-01T00:00:00.000","0","0","0","0"
"Cayman Islands","2013-12-01T00:00:00.000","0","0","0.01","0"
"Dallas","2013-12-01T00:00:00.000","0","0","0","0"
"Dayton","2013-12-01T00:00:00.000","0","0","0","0"
"Washington DC","2013-12-01T00:00:00.000","0","0","0","0"
"Denver","2013-12-01T00:00:00.000","0","0","0","0"
"Des Moines","2013-12-01T00:00:00.000","0","0","0","0"
"Detroit","2013-12-01T00:00:00.000","0","0","0","0"
"El Paso","2013-12-01T00:00:00.000","0","0","0","0"
"New York","2013-12-01T00:00:00.000","0","0","0","0"
"Fortaleza","2013-12-01T00:00:00.000","0","0","0","0"
"Turks & Caicos","2013-12-01T00:00:00.000","0","0","0","0"
"Grenada","2013-12-01T00:00:00.000","0","0","0.01","0"
"Grand Rapids","2013-12-01T00:00:00.000","0","0","0","0"
"Greensboro","2013-12-01T00:00:00.000","0","0","0","0"
"Greenville, SC, US","2013-12-01T00:00:00.000","0","0","0","0"
"Guatemala City","2013-12-01T00:00:00.000","0","0","0","0"
"Guayaquil","2013-12-01T00:00:00.000","0","0","0","0"
"Goiania","2013-12-01T00:00:00.000","0","0","0","0"
"Huntsville","2013-12-01T00:00:00.000","0","0","0","0"
"Wichita","2013-12-01T00:00:00.000","0","0","0","0"
"Indianapolis","2013-12-01T00:00:00.000","0","0","0","0"
"Jackson","2013-12-01T00:00:00.000","0","0","0","0"
"Jacksonville, FL, US","2013-12-01T00:00:00.000","0","0","0","0"
"Las Vegas","2013-12-01T00:00:00.000","0","0","0","0"
"Lubbock","2013-12-01T00:00:00.000","0","0","0","0"
"Lexington","2013-12-01T00:00:00.000","0","0","0","0"
"Lima","2013-12-01T00:00:00.000","0","0","0","0"
"Little Rock","2013-12-01T00:00:00.000","0","0","0","0"
"Odessa","2013-12-01T00:00:00.000","0","0","0","0"
"Manaus","2013-12-01T00:00:00.000","0","0","0","0"
"Maracaibo","2013-12-01T00:00:00.000","0","0","0","0"
"Kansas City","2013-12-01T00:00:00.000","0","0","0","0"
"Chicago","2013-12-01T00:00:00.000","0","0","0","0"
"Memphis","2013-12-01T00:00:00.000","0","0","0","0"
"Mexico City","2013-12-01T00:00:00.000","0","0","0","0"
"Managua","2013-12-01T00:00:00.000","0","0","0.01","0"
"Milwaukee","2013-12-01T00:00:00.000","0","0","0","0"
"Monroe","2013-12-01T00:00:00.000","0","0","0","0"
"Montserrat","2013-12-01T00:00:00.000","0","0","0","0"
"Minneapolis","2013-12-01T00:00:00.000","0","0","0","0"
"New Orleans","2013-12-01T00:00:00.000","0","0","0.01","0"
"Maturin","2013-12-01T00:00:00.000","0","0","0","0"
"Myrtle Beach","2013-12-01T00:00:00.000","0","0","0","0"
"Oklahoma City","2013-12-01T00:00:00.000","0","0","0","0"
"Omaha","2013-12-01T00:00:00.000","0","0","0","0"
"Norfolk","2013-12-01T00:00:00.000","0","0","0","0"
"Philadelphia","2013-12-01T00:00:00.000","0","0","0","0"
"Pittsburgh","2013-12-01T00:00:00.000","0","0","0","0"
"Porlamar","2013-12-01T00:00:00.000","0","0","0","0"
"Pensacola","2013-12-01T00:00:00.000","0","0","0","0"
"Porto Alegre","2013-12-01T00:00:00.000","0","0","0","0"
"Providence","2013-12-01T00:00:00.000","0","0","0","0"
"Raleigh","2013-12-01T00:00:00.000","0","0","0","0"
"Recife","2013-12-01T00:00:00.000","0","0","0","0"
"Richmond","2013-12-01T00:00:00.000","0","0","0","0"
"Rochester, NY, US","2013-12-01T00:00:00.000","0","0","0","0"
"San Salvador","2013-12-01T00:00:00.000","0","0","0.01","0"
"San Diego","2013-12-01T00:00:00.000","0","0","0","0"
"San Pedro Sula","2013-12-01T00:00:00.000","0","0","0","0"
"San Antonio, US","2013-12-01T00:00:00.000","0","0","0","0"
"Savannah","2013-12-01T00:00:00.000","0","0","0","0"
"Louisville","2013-12-01T00:00:00.000","0","0","0","0"
"Seattle","2013-12-01T00:00:00.000","0","0","0","0"
"San Francisco","2013-12-01T00:00:00.000","0","0","0","0"
"Salt Lake City","2013-12-01T00:00:00.000","0","0","0","0"
"Salvador","2013-12-01T00:00:00.000","0","0","0","0"
"St. Louis","2013-12-01T00:00:00.000","0","0","0","0"
"Syracuse","2013-12-01T00:00:00.000","0","0","0","0"
"Tegucigalpa","2013-12-01T00:00:00.000","0","0","0","0"
"Tallahassee","2013-12-01T00:00:00.000","0","0","0","0"
"Tulsa","2013-12-01T00:00:00.000","0","0","0","0"
"Knoxville","2013-12-01T00:00:00.000","0","0","0","0"
"Quito","2013-12-01T00:00:00.000","0","0","0","0"
"Valencia, VE","2013-12-01T00:00:00.000","0","0","0.01","0"
"Springdale","2013-12-01T00:00:00.000","0","0","0","0"
"Ottawa","2013-12-01T00:00:00.000","0","0","0","0"
"Quebec City","2013-12-01T00:00:00.000","0","0","0","0"
"Toronto","2013-12-01T00:00:00.000","0","0","0","0"
