"county","county_fips","state","county_population","health_service_area_number","health_service_area","health_service_area_population","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid_19_community_level","date_updated"
"Las Marías Muni","72083","Puerto Rico","7927","904","Puerto Rico","3193694","1.6","2.4","100.92","Low","2022-02-24T00:00:00.000"
"Las Piedras Muni","72085","Puerto Rico","37007","904","Puerto Rico","3193694","1.6","2.4","40.53","Low","2022-02-24T00:00:00.000"
"Loíza Muni","72087","Puerto Rico","24553","904","Puerto Rico","3193694","1.6","2.4","24.44","Low","2022-02-24T00:00:00.000"
"Luquillo Muni","72089","Puerto Rico","17665","904","Puerto Rico","3193694","1.6","2.4","56.61","Low","2022-02-24T00:00:00.000"
"Manatí Muni","72091","Puerto Rico","37287","904","Puerto Rico","3193694","1.6","2.4","80.46","Low","2022-02-24T00:00:00.000"
"Maricao Muni","72093","Puerto Rico","5430","904","Puerto Rico","3193694","1.6","2.4","147.33","Low","2022-02-24T00:00:00.000"
"Maunabo Muni","72095","Puerto Rico","10321","904","Puerto Rico","3193694","1.6","2.4","58.13","Low","2022-02-24T00:00:00.000"
"Mayagüez Muni","72097","Puerto Rico","71530","904","Puerto Rico","3193694","1.6","2.4","88.07","Low","2022-02-24T00:00:00.000"
"Moca Muni","72099","Puerto Rico","34891","904","Puerto Rico","3193694","1.6","2.4","106.04","Low","2022-02-24T00:00:00.000"
"Morovis Muni","72101","Puerto Rico","30335","904","Puerto Rico","3193694","1.6","2.4","65.93","Low","2022-02-24T00:00:00.000"
"Naguabo Muni","72103","Puerto Rico","25761","904","Puerto Rico","3193694","1.6","2.4","73.75","Low","2022-02-24T00:00:00.000"
"Naranjito Muni","72105","Puerto Rico","27349","904","Puerto Rico","3193694","1.6","2.4","47.53","Low","2022-02-24T00:00:00.000"
"Orocovis Muni","72107","Puerto Rico","20220","904","Puerto Rico","3193694","1.6","2.4","89.02","Low","2022-02-24T00:00:00.000"
"Patillas Muni","72109","Puerto Rico","16211","904","Puerto Rico","3193694","1.6","2.4","43.18","Low","2022-02-24T00:00:00.000"
"Peñuelas Muni","72111","Puerto Rico","19249","904","Puerto Rico","3193694","1.6","2.4","31.17","Low","2022-02-24T00:00:00.000"
"Ponce Muni","72113","Puerto Rico","131881","904","Puerto Rico","3193694","1.6","2.4","101.61","Low","2022-02-24T00:00:00.000"
"Quebradillas Muni","72115","Puerto Rico","22918","904","Puerto Rico","3193694","1.6","2.4","95.99","Low","2022-02-24T00:00:00.000"
"Oconto County","55083","Wisconsin","37930","278","Brown (Green Bay), WI - Oconto, WI","350574","11","14","113.37","Medium","2022-02-24T00:00:00.000"
"Oneida County","55085","Wisconsin","35595","284","Oneida, WI - Vilas, WI","92176","5.1","7.6","162.94","Low","2022-02-24T00:00:00.000"
"Outagamie County","55087","Wisconsin","187885","344","Outagamie (Appleton), WI - Waupaca, WI","238875","9.7","6.7","176.7","Low","2022-02-24T00:00:00.000"
"Ozaukee County","55089","Wisconsin","89221","280","Milwaukee (Milwaukee), WI - Waukesha, WI","1575179","6.3","10.5","147.95","Medium","2022-02-24T00:00:00.000"
"Pepin County","55091","Wisconsin","7287","298","Eau Claire (Eau Claire), WI - Chippewa, WI","234990","8.5","12.3","137.23","Medium","2022-02-24T00:00:00.000"
