"location","month","pinfectedtravelerave","infectedtravelermin","infectedtravelermax","localcases"
"Nassau","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Annaba","2013-12-01T00:00:00.000","0","0","0","0"
"Anapa","2013-12-01T00:00:00.000","0","0","0","0"
"Allentown","2013-12-01T00:00:00.000","0","0","0","0"
"Albuquerque","2013-12-01T00:00:00.000","0","0","0.01","0"
"Aberdeen","2013-12-01T00:00:00.000","0","0","0","0"
"Atlantic City","2013-12-01T00:00:00.000","0","0","0.01","0"
"Izmir","2013-12-01T00:00:00.000","0","0","0","0"
"Buenos Aires","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Sochi","2013-12-01T00:00:00.000","0","0","0","0"
"Agen","2013-12-01T00:00:00.000","0","0","0","0"
"Malaga","2013-12-01T00:00:00.000","0","0","0","0"
"Ajaccio","2013-12-01T00:00:00.000","0","0","0.01","0"
"Albany","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Alicante","2013-12-01T00:00:00.000","0","0","0","0"
"Algiers","2013-12-01T00:00:00.000","0","0","0.01","0"
"Amarillo","2013-12-01T00:00:00.000","0","0","0","0"
"Amsterdam","2013-12-01T00:00:00.000","0.2","0.08","0.35","0"
"Anchorage","2013-12-01T00:00:00.000","0","0","0","0"
"Antigua","2013-12-01T00:00:00.000","0.16","0.07","0.29","0"
"Stockholm","2013-12-01T00:00:00.000","0.01","0.01","0.02","0"
"Aspen","2013-12-01T00:00:00.000","0","0","0","0"
"Asuncion","2013-12-01T00:00:00.000","0","0","0","0"
"Athens","2013-12-01T00:00:00.000","0","0","0","0"
"Atlanta","2013-12-01T00:00:00.000","0.14","0.06","0.26","0"
"Aruba","2013-12-01T00:00:00.000","0.09","0.04","0.17","0"
"Abu Dhabi","2013-12-01T00:00:00.000","0","0","0","0"
"Aurillac","2013-12-01T00:00:00.000","0","0","0","0"
"Austin","2013-12-01T00:00:00.000","0","0","0.01","0"
"Asheville","2013-12-01T00:00:00.000","0","0","0","0"
"Scranton","2013-12-01T00:00:00.000","0","0","0","0"
"Anguilla","2013-12-01T00:00:00.000","0.1","0.04","0.19","0"
"Antalya","2013-12-01T00:00:00.000","0","0","0","0"
"Phoenix","2013-12-01T00:00:00.000","0.06","0.02","0.1","0"
"Barranquilla","2013-12-01T00:00:00.000","0","0","0","0"
"Barcelona","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Bermuda","2013-12-01T00:00:00.000","0","0","0","0"
"Hartford","2013-12-01T00:00:00.000","0.07","0.03","0.12","0"
"Belem","2013-12-01T00:00:00.000","0","0","0","0"
"Berlin","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Brest","2013-12-01T00:00:00.000","0","0","0.01","0"
"Beirut","2013-12-01T00:00:00.000","0","0","0.01","0"
"Bucaramanga","2013-12-01T00:00:00.000","0","0","0","0"
"Barbados","2013-12-01T00:00:00.000","0.09","0.03","0.16","0"
"Bergen","2013-12-01T00:00:00.000","0","0","0","0"
"Milan","2013-12-01T00:00:00.000","0.02","0.01","0.03","0"
"Birmingham, US","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Birmingham, UK","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Bastia","2013-12-01T00:00:00.000","0","0","0.01","0"
"Bilbao","2013-12-01T00:00:00.000","0","0","0","0"
"Biarritz","2013-12-01T00:00:00.000","0","0","0.01","0"
"Bejaia","2013-12-01T00:00:00.000","0","0","0","0"
"Bodrum","2013-12-01T00:00:00.000","0","0","0","0"
"Badajoz","2013-12-01T00:00:00.000","0","0","0","0"
"Bangkok","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Batna","2013-12-01T00:00:00.000","0","0","0","0"
"Billund","2013-12-01T00:00:00.000","0","0","0","0"
"Bologna","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Nashville","2013-12-01T00:00:00.000","0.02","0.01","0.03","0"
"Bordeaux","2013-12-01T00:00:00.000","0.03","0.01","0.06","0"
"Bogota","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Mumbai","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Bonaire","2013-12-01T00:00:00.000","0.14","0.05","0.24","0"
"Boston","2013-12-01T00:00:00.000","0.26","0.11","0.45","0"
"Porto Seguro","2013-12-01T00:00:00.000","0","0","0","0"
"Blagoveshchensk","2013-12-01T00:00:00.000","0","0","0","0"
"Bremen","2013-12-01T00:00:00.000","0","0","0","0"
"Bari","2013-12-01T00:00:00.000","0","0","0","0"
"Berne","2013-12-01T00:00:00.000","0","0","0","0"
"Bristol","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Brussels","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Biskra","2013-12-01T00:00:00.000","0","0","0","0"
"Basel","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Baton Rouge","2013-12-01T00:00:00.000","0","0","0","0"
"Burlington, VT, US","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Budapest","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Buffalo","2013-12-01T00:00:00.000","0.04","0.02","0.08","0"
"Brive-La-Gaillarde","2013-12-01T00:00:00.000","0","0","0","0"
"Baltimore","2013-12-01T00:00:00.000","0.08","0.03","0.15","0"
"Belize","2013-12-01T00:00:00.000","0","0","0","0"
"Columbia, SC< US","2013-12-01T00:00:00.000","0","0","0","0"
"Akron","2013-12-01T00:00:00.000","0","0","0","0"
"Guangzhou","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Haiti","2013-12-01T00:00:00.000","0.13","0.05","0.23","0"
"Cayenne","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Caracas","2013-12-01T00:00:00.000","0.04","0.02","0.07","0"
"Paris","2013-12-01T00:00:00.000","0.87","0.59","0.99","0"
"Clermont-Ferrand","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Sao Paulo","2013-12-01T00:00:00.000","0.02","0.01","0.03","0"
"Jakarta","2013-12-01T00:00:00.000","0","0","0","0"
"Cologne","2013-12-01T00:00:00.000","0","0","0","0"
"Campo Grande","2013-12-01T00:00:00.000","0","0","0","0"
"Charlottesville","2013-12-01T00:00:00.000","0","0","0","0"
"Chania","2013-12-01T00:00:00.000","0","0","0","0"
"Charleston, SC, US","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Cedar Rapids","2013-12-01T00:00:00.000","0","0","0.01","0"
"St. Vincent & Grenadines","2013-12-01T00:00:00.000","0.02","0.01","0.03","0"
"Cleveland","2013-12-01T00:00:00.000","0.02","0.01","0.04","0"
"Cali","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Charlotte","2013-12-01T00:00:00.000","0.11","0.04","0.2","0"
"Calvi","2013-12-01T00:00:00.000","0","0","0","0"
"Columbus, OH, US","2013-12-01T00:00:00.000","0.02","0.01","0.04","0"
"Belo Horizonte","2013-12-01T00:00:00.000","0","0","0","0"
"Cordoba, AR","2013-12-01T00:00:00.000","0","0","0","0"
"Colorado Springs","2013-12-01T00:00:00.000","0","0","0","0"
"Copenhagen","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Campinas","2013-12-01T00:00:00.000","0","0","0","0"
"Corpus Christi","2013-12-01T00:00:00.000","0","0","0","0"
"Charleston, WV, US","2013-12-01T00:00:00.000","0","0","0","0"
"Catania","2013-12-01T00:00:00.000","0","0","0","0"
"Cartagena","2013-12-01T00:00:00.000","0","0","0","0"
"Cumana","2013-12-01T00:00:00.000","0","0","0","0"
"Cancun","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Curacao","2013-12-01T00:00:00.000","0.33","0.15","0.54","0"
"Cincinnati","2013-12-01T00:00:00.000","0.03","0.01","0.05","0"
"Curitiba","2013-12-01T00:00:00.000","0","0","0","0"
"Cayman Islands","2013-12-01T00:00:00.000","0.01","0","0.01","0"
"Cuba","2013-12-01T00:00:00.000","0.02","0.01","0.04","0"
"Constantine","2013-12-01T00:00:00.000","0","0","0","0"
"Dallas","2013-12-01T00:00:00.000","0.06","0.02","0.1","0"
"Dayton","2013-12-01T00:00:00.000","0","0","0","0"
"Washington DC","2013-12-01T00:00:00.000","0.37","0.17","0.59","0"
"Castres","2013-12-01T00:00:00.000","0","0","0","0"
"Delhi","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Denver","2013-12-01T00:00:00.000","0.06","0.02","0.1","0"
"Djerba","2013-12-01T00:00:00.000","0","0","0","0"
"Dalaman","2013-12-01T00:00:00.000","0","0","0","0"
"Moscow","2013-12-01T00:00:00.000","0.02","0.01","0.03","0"
"Dominica","2013-12-01T00:00:00.000","0.1","0.04","0.18","0"
"Dresden","2013-12-01T00:00:00.000","0","0","0","0"
"Des Moines","2013-12-01T00:00:00.000","0","0","0.01","0"
"Detroit","2013-12-01T00:00:00.000","0.09","0.04","0.17","0"
"Dublin","2013-12-01T00:00:00.000","0","0","0","0"
"Dusseldorf","2013-12-01T00:00:00.000","0.02","0.01","0.04","0"
"Dubai","2013-12-01T00:00:00.000","0","0","0","0"
"Dzaoudzi","2013-12-01T00:00:00.000","0","0","0","0"
"Edinburgh","2013-12-01T00:00:00.000","0","0","0.01","0"
"Vail","2013-12-01T00:00:00.000","0","0","0","0"
"BVI","2013-12-01T00:00:00.000","0.63","0.34","0.87","0"
"El Paso","2013-12-01T00:00:00.000","0","0","0","0"
"Medellin","2013-12-01T00:00:00.000","0.01","0.01","0.03","0"
"Metz","2013-12-01T00:00:00.000","0","0","0","0"
"St. Eustatius","2013-12-01T00:00:00.000","0.31","0.14","0.51","0"
"Evansville","2013-12-01T00:00:00.000","0","0","0","0"
"New York","2013-12-01T00:00:00.000","0.98","0.9","1","0"
"Fargo","2013-12-01T00:00:00.000","0","0","0","0"
"Fresno","2013-12-01T00:00:00.000","0","0","0.01","0"
"Fayetteville","2013-12-01T00:00:00.000","0","0","0","0"
"Rome","2013-12-01T00:00:00.000","0.01","0","0.02","0"
"Martinique","2013-12-01T00:00:00.000","1","1","1","1"
"Fort Lauderdale","2013-12-01T00:00:00.000","0.1","0.04","0.18","0"
"Florianopolis","2013-12-01T00:00:00.000","0","0","0","0"
"Florence","2013-12-01T00:00:00.000","0","0","0.01","0"
"Madeira","2013-12-01T00:00:00.000","0","0","0","0"
"Flint","2013-12-01T00:00:00.000","0","0","0","0"
"Fortaleza","2013-12-01T00:00:00.000","0","0","0","0"
