"year","age","race","birth_rate"
"2012","35-39 years","Black total","29.7"
"2002","40-44 years","Hispanic","12.8"
"2004","20-24 years","All Races","72.3"
"1984","40-44 years","White total","2"
"1975","40-44 years","All Races","2.6"
"2001","20-24 years","All Races","70.8"
"2002","20-24 years","Asian or Pacific Islander total","24.4"
"2013","15-19 years","Non-Hispanic white","16.2"
"1990","35-39 years","White total","14.5"
"2000","25-29 years","White total","52.9"
"1993","35-39 years","Black total","25.7"
"2010","35-39 years","White total","30.7"
"1982","15-19 years","White total","18"
"2015","25-29 years","Non-Hispanic white","48.8"
"2000","40-44 years","White total","4.5"
"1986","25-29 years","White total","30.5"
"2005","35-39 years","White total","23.9"
"2003","15-19 years","Hispanic","63.5"
"2010","20-24 years","White total","63.4"
"2014","40-44 years","White total","7.6"
"2012","15-19 years","Asian or Pacific Islander total","8.1"
"1997","25-29 years","All Races","53.4"
"2006","20-24 years","Black total","125.5"
"1992","35-39 years","All Races","18.8"
"1990","40-44 years","Black total","5.1"
"2008","30-34 years","Asian or Pacific Islander total","37.9"
"1997","35-39 years","All Races","18.7"
"2006","35-39 years","White total","26.6"
"2014","35-39 years","Non-Hispanic white","24.2"
"2001","35-39 years","All Races","20.4"
"2009","25-29 years","Asian or Pacific Islander total","36.2"
"2000","25-29 years","Asian or Pacific Islander total","25.4"
"1993","40-44 years","Black total","5.8"
"1998","25-29 years","Black total","86.5"
"2007","30-34 years","Asian or Pacific Islander total","36.9"
"2012","35-39 years","Hispanic","57.6"
"2011","40-44 years","Black total","7.8"
"1996","15-19 years","Non-Hispanic white","27"
"2006","40-44 years","Hispanic","14.8"
"1985","20-24 years","Black total","113.1"
"2007","15-19 years","Non-Hispanic white","22.6"
"1991","35-39 years","Hispanic","47.6"
"2009","35-39 years","Black total","28.4"
"1986","40-44 years","Black total","4.4"
"2010","25-29 years","Non-Hispanic white","48"
"2014","30-34 years","Black total","67"
"2013","35-39 years","All Races","31.8"
"1998","35-39 years","Hispanic","38.8"
"2006","30-34 years","White total","55.5"
"2012","40-44 years","White total","8.5"
"1996","20-24 years","White total","57.9"
"1998","15-19 years","White total","33.6"
"1999","30-34 years","Black total","49"
"1996","15-19 years","White total","34"
"2003","30-34 years","Black total","51.2"
"1986","20-24 years","All Races","49.3"
"1999","15-19 years","All Races","39.7"
"1987","35-39 years","All Races","13.5"
"1983","35-39 years","Black total","19.4"
"1998","25-29 years","Hispanic","115.9"
"1991","35-39 years","All Races","17.9"
"2003","40-44 years","White total","5.5"
"1997","40-44 years","All Races","4.6"
"1997","25-29 years","White total","47"
"1999","20-24 years","Hispanic","126.1"
"1988","15-19 years","All Races","36.4"
"1975","15-19 years","All Races","23.9"
"2000","35-39 years","Hispanic","46.1"
"2014","25-29 years","White total","63.5"
"1982","25-29 years","White total","23.1"
"1998","30-34 years","Black total","50.5"
"1992","35-39 years","Non-Hispanic white",
"2003","30-34 years","Hispanic","98.7"
"1987","35-39 years","Black total","22.4"
"1996","35-39 years","Hispanic","41.2"
"2001","15-19 years","All Races","36.8"
"2014","40-44 years","All Races","8.5"
"2002","35-39 years","All Races","20.9"
"1999","40-44 years","Black total","5.8"
"1999","40-44 years","Non-Hispanic white","3.1"
"2005","40-44 years","Non-Hispanic white","4.3"
"1985","25-29 years","All Races","39.9"
"2004","40-44 years","All Races","6"
"1988","35-39 years","Black total","24.1"
"2011","35-39 years","White total","30.6"
"1991","40-44 years","Black total","5.4"
"2000","15-19 years","Asian or Pacific Islander total","15.2"
"2014","30-34 years","All Races","58.1"
"1984","15-19 years","Black total","86.1"
"1991","25-29 years","Hispanic","135.1"
"2011","15-19 years","Hispanic","44.7"
"1989","35-39 years","White total","13.1"
"1991","25-29 years","Black total","100"
"2000","30-34 years","Non-Hispanic white","24.8"
"1995","35-39 years","All Races","19.3"
"2001","30-34 years","All Races","40.3"
"1999","25-29 years","White total","50.8"
"2004","30-34 years","Black total","52"
"2004","40-44 years","Non-Hispanic white","4.2"
"1987","35-39 years","White total","10.7"
"1990","30-34 years","Non-Hispanic white","20.5"
"2003","30-34 years","All Races","44.2"
"2010","25-29 years","Asian or Pacific Islander total","35"
"1999","20-24 years","All Races","70.8"
"1990","40-44 years","Non-Hispanic white",
"2014","25-29 years","Hispanic","111.2"
"2001","40-44 years","Non-Hispanic white","3.6"
"2010","40-44 years","Asian or Pacific Islander total","9.9"
"2013","20-24 years","Non-Hispanic white","45.6"
"2003","20-24 years","Black total","117.8"
"2015","30-34 years","Black total","63.9"
"2013","15-19 years","White total","21.9"
"2010","30-34 years","White total","56.8"
"1990","15-19 years","Black total","106"
"1980","15-19 years","All Races","27.6"
"1999","25-29 years","Hispanic","119.6"
"1989","20-24 years","All Races","61.2"
"2010","20-24 years","Black total","112.6"
"1986","30-34 years","White total","20.1"
"1995","15-19 years","Hispanic","73.2"
"1993","15-19 years","Black total","101.2"
"2011","40-44 years","Hispanic","16.2"
"1997","15-19 years","All Races","41.4"
"1998","15-19 years","All Races","40.9"
"2009","25-29 years","Non-Hispanic white","49.3"
"1998","40-44 years","Black total","6"
"2009","35-39 years","Non-Hispanic white","20"
"1988","40-44 years","White total","2.7"
"1990","25-29 years","White total","43"
"1980","25-29 years","Black total","81.4"
"2012","30-34 years","All Races","56.3"
"2002","30-34 years","Black total","50.2"
"2004","40-44 years","White total","5.6"
"2013","40-44 years","Asian or Pacific Islander total","12.6"
"1989","30-34 years","White total","26.8"
"2005","40-44 years","Asian or Pacific Islander total","9.3"
"2007","30-34 years","All Races","58"
"1980","30-34 years","White total","14.1"
"1996","30-34 years","Black total","53.4"
"1989","20-24 years","White total","43.8"
"1996","25-29 years","All Races","54.5"
"1995","20-24 years","Hispanic","135.8"
"2015","25-29 years","Hispanic","109.1"
"2012","20-24 years","White total","58.3"
"1994","40-44 years","Black total","5.9"
"1982","40-44 years","All Races","2.7"
"2004","20-24 years","Hispanic","133.4"
"2000","15-19 years","White total","32.7"
"1990","40-44 years","White total","3.2"
"1990","20-24 years","Non-Hispanic white","36.4"
"2012","30-34 years","White total","56.3"
"2005","15-19 years","White total","29.7"
"2010","35-39 years","All Races","29.6"
"2000","20-24 years","Asian or Pacific Islander total","24.2"
"2014","15-19 years","Asian or Pacific Islander total","6.2"
"2015","40-44 years","Asian or Pacific Islander total","11.2"
"2005","30-34 years","Asian or Pacific Islander total","36.8"
"2011","15-19 years","Non-Hispanic white","18.8"
"1984","25-29 years","All Races","37.1"
"2014","15-19 years","Non-Hispanic white","15"
"1995","30-34 years","Hispanic","84.1"
"2004","25-29 years","White total","65"
"2014","15-19 years","White total","20.3"
"1985","30-34 years","All Races","25.2"
"1993","35-39 years","White total","16.3"
"2015","40-44 years","All Races","9"
"2013","25-29 years","All Races","66.7"
"2005","25-29 years","Black total","94.7"
"2001","30-34 years","Non-Hispanic white","25.4"
"2009","40-44 years","Asian or Pacific Islander total","9.9"
"2014","30-34 years","Non-Hispanic white","43.1"
"2003","35-39 years","White total","21.3"
"1993","30-34 years","All Races","38"
"2012","15-19 years","Black total","43.4"
"2001","20-24 years","White total","61.5"
"2011","35-39 years","Black total","28.9"
"1994","30-34 years","Non-Hispanic white","24.6"
"1988","25-29 years","All Races","48.5"
"2008","40-44 years","Non-Hispanic white","5.2"
"1999","15-19 years","Hispanic","68.6"
"1985","30-34 years","White total","18.4"
"2014","35-39 years","Asian or Pacific Islander total","36"
"2003","40-44 years","Black total","6.5"
"1985","40-44 years","White total","2"
"1989","25-29 years","Black total","102.9"
"1999","15-19 years","Non-Hispanic white","25.6"
"1998","15-19 years","Non-Hispanic white","26.2"
"1995","25-29 years","All Races","54.3"
"1992","40-44 years","Hispanic","14.6"
"1996","30-34 years","Hispanic","84.6"
"2006","25-29 years","Asian or Pacific Islander total","30.5"
"2005","20-24 years","White total","67"
"1991","30-34 years","Black total","59.8"
"1992","25-29 years","All Races","55.6"
"1990","25-29 years","Hispanic","131.7"
"2004","30-34 years","Hispanic","108.8"
"1980","20-24 years","Black total","112.3"
"2008","35-39 years","Non-Hispanic white","20.4"
"2006","15-19 years","Hispanic","65.9"
"2014","40-44 years","Hispanic","16.8"
"1994","15-19 years","All Races","45.8"
"2002","40-44 years","Asian or Pacific Islander total","6.9"
"2012","15-19 years","Non-Hispanic white","17.8"
"1984","40-44 years","Black total","4.3"
"2011","35-39 years","Asian or Pacific Islander total","27"
"2000","35-39 years","All Races","19.7"
"1983","25-29 years","Black total","79.7"
"1991","15-19 years","Hispanic","71"
