"date_time","fiscal_year","cost_of_living_index","best_cities_for_start_up_businesses_in_usa","tourists_visits_to_franklin_sites","revenue_generated_by_hotel_motel_tax","franklin_collections_in_millions","franklin_collection_increase","state_collections_in_billions","state_collection_increase","revenue_generated_from_conference_center","jobs_in_franklin","franklin_unemp_rate","will_co_unemp_rate","tenn_unemp_rate","new_business_licenses","total_business_license","of_businesses_with_over_100_emp","of_small_businesses_in_franklin_under_100","of_people_employed_by_fortune_1000_companies_in_franklin","franklin_comm_vac_rate","nashville_comm_vac_rate"
"2010-06-30T00:00:00.000","2010",,,,"1676282","20969821","-0.900","6156776293","3.800","-360670","32350","7.500","7.100","9.700",,,"82","3138",,,
"2011-06-30T00:00:00.000","2011",,,,"1905708","22720666","8.300","6446937988","4.700","154476","33540","7.200","7.200","10.200",,,"83","3119",,,
"2012-06-30T00:00:00.000","2012",,,"1050000","2149324","24197413","6.500","6880356598","7.00","501072","34350","5.900","6.100","8.700","427","5302","92","3130","11971",,"0"
"2013-06-30T00:00:00.000","2013",,"43","1140000","2403775","25995733","7.400","7005012029","1.800","208181","35800","5.500","5.900","8.500","410","5334","125","3155",,"3.8","9.4"
"2014-06-30T00:00:00.000","2014","90","43","1220000","2764802","27254742","4.800","7254033641","3.600","-156381","36050","4.800","5.700","7.400","406","5711","109","3377",,"3.3","7.6"
"2015-06-30T00:00:00.000","2015","95.5","43","1310000","3291019","28943994","6.200","7678148394","5.900","-114223","37400","4.200","4.600","6.200","404","6182",,,,"1.1","6.9"
"2016-06-30T00:00:00.000","2016","95.7",,"1430000","3557971","31309367","8.200","8269944000","7.0700","72835","39150","3.500","3.800","5.00","493","6617",,,,"0.9","4.7"
"2017-06-30T00:00:00.000","2017","96",,"1510000","3710589","32694269","4.400","8549774000","3.4700","-115916","41490","1.900","3.100","4.200","464","7041",,,,"5","6.9"
"2018-06-30T00:00:00.000","2018","98",,"1720000","4097695","34151972","4.500","8835187100","3.3400","378387","44360","2.700","2.800","3.500",,,,,,"11.5","9.8"
"2019-06-30T00:00:00.000","2019","99",,"1810000","4103235","36168178","5.900","9337800000","5.6900","527710","47307","2.700","2.900","3.400",,,,,,"16.8","10.1"
"2020-06-30T00:00:00.000","2020","99",,,"3138814","35453379","-2.00","9434000000","2.900",,"41070","6.500","6.400","9.500",,,,,,,
