"date_time","fiscal_year","property_maintenance_cases","days_to_respond_and_clear","percent_cleared_within_10_days","permits_issued","tn_perm_avg","construction_plans_reviewed","tn_const_plan_avg","certificates_of_occupancy_issued","tn_co_avg","building_inspections_performed","tn_build_insp_avg"
"2010-06-30T00:00:00.000","2010","665","61",,"5863","1013","618","900",,,,
"2011-06-30T00:00:00.000","2011","991","14",,"8078","1039","1216","642",,,,
"2012-06-30T00:00:00.000","2012","272","21","7040.0","9046","2135","1296","560","799","227","21101","10287"
"2013-06-30T00:00:00.000","2013","499","21",,"5896","2322","904","486","912","313","27966","9816"
"2014-06-30T00:00:00.000","2014","566","21",,"8472","2402","896","483","428","220","23991","9367"
"2015-06-30T00:00:00.000","2015","473","17.54",,"7658","2454","1384","533","777","362","28687","10221"
"2016-06-30T00:00:00.000","2016","653","17.49",,"8804","3278","3820","867.69","1304","372","24202","12211"
"2017-06-30T00:00:00.000","2017","1310","10",,"8221","2234","1695","753","1297","382","36678","14791"
"2018-06-30T00:00:00.000","2018","1267","13",,"6848","1841","1319","879","1122","462","25715","12288"
"2019-06-30T00:00:00.000","2019","1544","8",,"6132","1595","1219",,"1132",,"23798",
"2020-06-30T00:00:00.000","2020","1694","14",,"6100",,"1250",,"1150",,"22762",
