"date_time","fiscal_year","citizens_responding_to_community_survey_identified_unprompted_parks_recreation_and_amenities_as_excellent_good","acres_per_1000_residents","tenn_avg_ac_1000","healthy_city_rank_in_tn","years_as_tree_city_usa"
"2012-06-30T00:00:00.000","2012","9","11.28",,"1","7"
"2016-06-30T00:00:00.000","2016","65","10.61","17.16",,"11"
"2019-06-30T00:00:00.000","2019","93","11.96",,,"14"
