"fiscal_year","cof_response_time","tn_response_time_avg","tn_top_quartile","fire_loss_per_1m","calls_for_service","fiscal_year_2"
"2020","5.25",,,,"8695","2019-07-01T00:00:00.000"
"2019","5.6","6.47","4.23","20.55","8879","2018-07-01T00:00:00.000"
"2018","5.36","5.48","5.15","93.91","9058","2017-07-01T00:00:00.000"
"2017","6.28","5.42","5.05","163.35","7856","2016-07-01T00:00:00.000"
"2016","6.26","6.08","5.3","99.36","7038","2015-07-01T00:00:00.000"
"2015","7.3","5.6","4.43","8720.01","6670","2014-07-01T00:00:00.000"
"2014","6.04","5.63","4.76","63.39","6501","2013-07-01T00:00:00.000"
"2013","5.53","5.54","5.18","43.97","6117","2012-07-01T00:00:00.000"
"2012","5.49","5.98","5.49","87.26","5769","2011-07-01T00:00:00.000"
"2011","5.59","5.21","4.48","652.44","5746","2010-07-01T00:00:00.000"
"2010","5.58","5.22","5.06","137","5865","2009-07-01T00:00:00.000"
"2009","5.47","5.43","5.07","138.29","5540","2008-07-01T00:00:00.000"
"2008","5.44","5.31","5.11","477.61","5436","2007-07-01T00:00:00.000"
"2007","6.17","5.12","5.05","61.88","5078","2006-07-01T00:00:00.000"
"2006","6.22","5.06","4.47","289.34","4870","2005-07-01T00:00:00.000"
"2005","6.02","5.16","4.52","519.53","4613","2004-07-01T00:00:00.000"
