"date_time","fiscal_year","_90_or_better_of_citizens_who_consider_franklin_s_quality_of_life_to_be_excellent_good","franklin_will_seek_to_improve_housing_diversity_as_identified_through_the_2013_housing_analysis","franklin_ranking_100_best_places_to_live_in_u_s","franklin_rating_top_business_friendly_cities_in_tn","aarc_seal_of_approval","_80_or_better_of_citizens_reporting_satisfaction_with_the_managed_growth_of_the_community","_90_citizen_satisfaction_rated_excellent_good_for_services"
"2012-06-30T00:00:00.000","2012","94",,"52","3",,,
"2016-06-30T00:00:00.000","2016","97",,"4",,,"84","93"
"2019-06-30T00:00:00.000","2019","97",,"6",,,"80","93"
