"year","fiscal_year","total_revenues","total_rev","local_sales_tax","state_shared","property_tax","alcohol_tax","building_permits_licenses","franchise_fees","grants","court_fines_fees","in_lieu_of_tax","interest_income","other","governance_management","public_safety","finance_administration","community_economic_development","public_works","other_operating_expenses","personnel","operations","capital"
"2014-06-30T00:00:00.000","Actual 2014","56918504","53094170","27254742","10677057","6266420","3373143","2449724","2088774","520921","657229","325018","189013","3116463","3714650.00","27097691.00","5585864.00","8044512.00","5572648.00","3078805.00","36957341.00","14688938.00","1447891.00"
"2015-06-30T00:00:00.000","Actual 2015","57489269","54734271","28943994","12796277","5546050","3630037","2462903","2208560","289382","586479","326887","145098","553601","2751980.00","27515333.00","6578104.00","5226485.00","8903716.00","3758653.00","38017541.00","16288930.00","427800.00"
"2016-06-30T00:00:00.000","Actual 2016","63539872","59759734","31309367","14984293","4973334","3926711","2850548","2255565","1612487","475060","326438","191631","634439","2895391.00","29181019.00","6259679.00","5489508.00","9671460.00","6262677.00","41638101.00","17943694.00","177939.00"
"2017-06-30T00:00:00.000","Actual 2017","66540349","62506792","32694269","12988735","9695390","4021089","2933744","2230782","263231","518823","298347","108152","787787","2970433.00","32261879.00","6864420.00","6207011.00","10481168.00","3721881.00","43983566.00","18334440.00","188787.00"
"2017-07-01T00:00:00.000","Budget 2018","69377662","69377662","34722480","12175044","6791113","4147690","3393896","2323232","1949098","602908","211630","321877","2738695","3549389.00","34051558.00","7662025.00","9180796.00","12118233.00","2815661.00","48121929.00","17130356.00","4125377.00"
"2018-06-30T00:00:00.000","Estimate 2018","68734500","67355298","34189851","12175044","8453526","4147690","3393896","2323232","269098","482326","211630","349513","2738695","3631199.00","34659173.00","7291169.00","7293008.00","11904879.00","2575871.00","48432049.00","16861087.00","2062162.00"
"2018-07-01T00:00:00.000","Budget 2019","70550059","70550059","35557339","11788310","7651612","4321823","3527354","2392929","1829190","542617","217979","384464","2336442","3536628.00","33856562.00","7395136.00","9664033.00","12031583.00","4066116.00","51265305.00","15409838.00","3874916.00"
