"date_time","fiscal_year","webpage_visits","facebook_followers","facebook_impressions","facebook_reach","facebook_engagement","twitter_followers","twitter_impressions","instagram_followers","instagram_impressions","instagram_reach","youtube_uploads","of_online_services","special_event_permits_granted","film_permits_issued"
"2011-06-30T00:00:00.000","2011","47315","4720",,,,"2366",,,,,"10903",,"47","0"
"2012-06-30T00:00:00.000","2012","32662","6969",,,,"3798",,,,,"27142","100","53","14"
"2013-06-30T00:00:00.000","2013","13718","8589",,,,"6081",,,,,"102200","100","50","20"
"2014-06-30T00:00:00.000","2014","149882","14244",,,,"10300",,,,,"198377","100","55","25"
"2015-06-30T00:00:00.000","2015","160000","18076",,,,"11330",,,,,"217225","100","55","22"
"2016-06-30T00:00:00.000","2016","176538","27661",,,,"22100",,,,,"259420","100","47","12"
"2017-06-30T00:00:00.000","2017","190000","34073","11982621",,"634670","26200","1165000","5000",,,"524078","105","55","22"
"2018-06-30T00:00:00.000","2018","203462","35779","5290993","6875911","246271","27400","1239000","9000",,,"788736","110","63","32"
"2019-06-30T00:00:00.000","2019","216924","37480","6694773","3483854","314297","28400","2147600","15924","1389190","1029943","1053394","115","71","42"
"2020-06-30T00:00:00.000","2020","230386","41117","7109594","5061265","461839","28900","2554000","21000","2217431","1922919","1318052","120","79","52"
