"date_time","fiscal_year","reduce_percent_of_citizens_reporting_improvement_in_transportation_reduction_of_traffic_and_lane_improvements_as_the_most_important_needs_for_franklin","increase_inventory_of_transit_hubs_park_and_ride_sites_and_alternative_services_in_franklin","of_riders_using_the_fta","of_todd_riders_fta"
"2015-06-30T00:00:00.000","2015",,"72","56360","25895"
"2016-06-30T00:00:00.000","2016","41","74","46468","26219"
