"date_time","fiscal_year","city_bond_rating","of_rating_agencies_affirming","consecutive_months_retaining_aaa_rating","revenues_from_sales_tax","revenues_intergov_t","revenues_from_prop_tax","other_taxes","other_fees_license_permits"
"2011-06-30T00:00:00.000","2011","Aaa","2","150","43.2","16.1","12.3","5.5","23"
"2012-06-30T00:00:00.000","2012","Aaa","2","162","46.7","17.1","12.4","6","17.9"
"2013-06-30T00:00:00.000","2013","Aaa","2","174","49.3","18.8","12.3","6.3","13.3"
"2014-06-30T00:00:00.000","2014","Aaa","2","186","47.9","18.8","11","5.9","16.4"
"2015-06-30T00:00:00.000","2015","Aaa","2","198","50.3","22.3","9.6","6.4","11.4"
"2016-06-30T00:00:00.000","2016","Aaa","2","210","49.3","23.6","7.8","6.2","13.1"
"2017-06-30T00:00:00.000","2017","Aaa","2","222","49.1","19.6","14.6","6.1","10.6"
"2018-06-30T00:00:00.000","2018","Aaa","2","234","49.5","20.9","13.2","6.6","9.8"
"2019-06-30T00:00:00.000","2019","Aaa","2","246","50.4","19.3","10.8","6.1","13.4"
"2020-06-30T00:00:00.000","2020","Aaa","2","258","50.3","19.7","10.5","6.1","13.4"
