"zipnew","n","pct","popu","age","popu_no_vacc"
"94022","17849",">95%","16825","12 and older","0"
"94024","20134",">95%","19991","12 and older","0"
"94040","30290",">95%","30478","12 and older","0"
"94041","12343",">95%","12885","12 and older","0"
"94043","25346","94.9","26705","12 and older","0"
"94085","19528",">95%","19707","12 and older","0"
"94086","40117","94.2","42604","12 and older","0"
"94087","46639",">95%","47031","12 and older","0"
"94089","18837","94.2","20007","12 and older","0"
"94301","14538",">95%","14632","12 and older","0"
"94303","15761","39.9","39532","12 and older","22693"
"94304","3517",">95%","3274","12 and older","0"
"94305","8414","53.7","15672","12 and older","5739"
"94306","23492",">95%","23708","12 and older","0"
"94550","1","0","43025","12 and older","43024"
"95002","1623","84.9","1912","12 and older","188"
"95008","37786","95","39756","12 and older","124"
"95014","52032",">95%","52354","12 and older","0"
"95020","49613","92.5","53659","12 and older","1427"
"95023","4","0","44608","12 and older","44603"
"95030","11093","94","11802","12 and older","38"
"95032","22726",">95%","22790","12 and older","0"
"95033","6751","79.2","8526","12 and older","1397"
"95035","66569",">95%","67021","12 and older","0"
"95037","40330","92.2","43720","12 and older","1430"
"95046","5016",">95%","5065","12 and older","0"
"95050","30334","91.5","33169","12 and older","810"
"95051","50988",">95%","50955","12 and older","0"
"95053","376","9.7","3862","12 and older","3297"
"95054","21030",">95%","20824","12 and older","0"
"95070","29049",">95%","27910","12 and older","0"
"95110","16380",">95%","17045","12 and older","0"
"95111","48155","93.2","51644","12 and older","681"
"95112","42329","77.1","54907","12 and older","9381"
"95113","3120",">95%","2068","12 and older","0"
"95116","39203","85.6","45789","12 and older","3915"
"95117","22518","88.1","25557","12 and older","1638"
"95118","25301",">95%","26503","12 and older","9"
"95119","8714",">95%","8558","12 and older","0"
"95120","32627",">95%","32814","12 and older","0"
"95121","32289",">95%","32781","12 and older","0"
"95122","46297",">95%","47305","12 and older","0"
"95123","53331","92","57960","12 and older","2041"
"95124","39238","92","42643","12 and older","1619"
"95125","42716",">95%","44801","12 and older","0"
"95126","29591","94","31488","12 and older","0"
"95127","49713","88.7","56030","12 and older","3262"
"95128","27260","86.1","31657","12 and older","2681"
"95129","33715",">95%","33947","12 and older","0"
"95130","10690","91.6","11668","12 and older","488"
"95131","25680","94.1","27291","12 and older","132"
"95132","34681","94.5","36685","12 and older","333"
"95133","24327",">95%","24822","12 and older","0"
"95134","24680",">95%","25843","12 and older","0"
"95135","18599",">95%","19417","12 and older","0"
"95136","36668","92.2","39749","12 and older","1084"
"95138","16217","92.2","17596","12 and older","610"
