"sex","n","pct","popu","age","popu_no_vacc"
"Female","123091","58.9","208834","0 - 17","85743"
"Male","126491","57.6","219548","0 - 17","93057"
"Unknown/Other","35",,,"0 - 17",
"Female","720644","96.8","744214","18 and older","23570"
"Male","707095","93.7","754874","18 and older","47779"
"Unknown/Other","526",,,"18 and older",
"Female","143122","101.4","141084","65 and older","0"
"Male","116695","103.2","113090","65 and older","0"
"Unknown/Other","37",,,"65 and older",
"Female","843735","88.5","953048","All ages","109313"
"Male","833586","85.5","974422","All ages","140836"
"Unknown/Other","561",,,"All ages",
