"race_ethnicity_8cat","n","pct","popu","age","popu_no_vacc"
"American Indian/Alaskan Native","389","47.2","825","0 - 17","436"
"African American","3611","39","9259","0 - 17","5648"
"Asian","99582","71.5","139228","0 - 17","39646"
"Hispanic/Latino","62303","41.8","149155","0 - 17","86852"
"Native Hawaiian or Other Pacific Islander","924","72.9","1268","0 - 17","344"
"White","50860","52.5","96917","0 - 17","46057"
"Multi-race","9587","29.8","32218","0 - 17","22631"
"Other","13872","872.5","1590","0 - 17","0"
"Unknown","6775",,,"0 - 17",
"American Indian/Alaskan Native","2197","86.5","2541","18 and older","344"
"African American","28581","79.4","36000","18 and older","7419"
"Asian","564394","100.8","560062","18 and older","0"
"Hispanic/Latino","310505","90.8","341823","18 and older","31318"
"Native Hawaiian or Other Pacific Islander","6031","121.6","4961","18 and older","0"
"White","403609","79","510986","18 and older","107377"
"Multi-race","42192","114.9","36722","18 and older","0"
"Other","45466","1161.3","3915","18 and older","0"
"Unknown","24866",,,"18 and older",
"American Indian/Alaskan Native","302","72.9","414","65 and older","112"
"African American","4469","93.1","4800","65 and older","331"
"Asian","88315","104.6","84450","65 and older","0"
"Hispanic/Latino","36677","105.5","34761","65 and older","0"
"Native Hawaiian or Other Pacific Islander","655","97.6","671","65 and older","16"
"White","112512","90.2","124754","65 and older","12242"
"Multi-race","7837","247.8","3162","65 and older","0"
"Other","6392","2016.4","317","65 and older","0"
"Unknown","2656",,,"65 and older",
"American Indian/Alaskan Native","2586","76.8","3366","All ages","780"
"African American","32192","71.1","45259","All ages","13067"
"Asian","663976","95","699290","All ages","35314"
"Hispanic/Latino","372808","75.9","490978","All ages","118170"
"Native Hawaiian or Other Pacific Islander","6955","111.7","6229","All ages","0"
"White","454469","74.8","607903","All ages","153434"
"Multi-race","51779","75.1","68940","All ages","17161"
"Other","59338","1077.9","5505","All ages","0"
"Unknown","31641",,,"All ages",
