"city_rc","n","pct","popu","age","popu_no_vacc"
"CAMPBELL","38371",">95%","36069","12 and older","0"
"CUPERTINO","52558",">95%","51026","12 and older","0"
"GILROY","50628",">95%","46456","12 and older","0"
"LOS ALTOS","31124",">95%","25733","12 and older","0"
"LOS ALTOS HILLS","7262",">95%","7603","12 and older","0"
"LOS GATOS","38358",">95%","27103","12 and older","0"
"MILPITAS","66932",">95%","66883","12 and older","0"
"MONTE SERENO","2886",">95%","2882","12 and older","0"
"MORGAN HILL","41045",">95%","37398","12 and older","0"
"MOUNTAIN VIEW","68643",">95%","69887","12 and older","0"
"PALO ALTO","58467",">95%","57475","12 and older","0"
"SAN JOSE","835531",">95%","874852","12 and older","0"
"SAN MARTIN","5034","86.1","5845","12 and older","570"
"SANTA CLARA","103615","94.6","109535","12 and older","0"
"SARATOGA","29115",">95%","27464","12 and older","0"
"STANFORD","8421","54","15601","12 and older","5669"
"SUNNYVALE","125458",">95%","128956","12 and older","0"
"CAMPBELL","41246",">95%","42221","All ages","0"
"CUPERTINO","57444",">95%","60257","All ages","0"
"GILROY","53996",">95%","56766","All ages","0"
"LOS ALTOS","34244",">95%","30504","All ages","0"
"LOS ALTOS HILLS","7796","91.7","8505","All ages","267"
"LOS GATOS","41461",">95%","30729","All ages","0"
"MILPITAS","72640","91.4","79517","All ages","1411"
"MONTE SERENO","3118","89.6","3479","All ages","175"
"MORGAN HILL","43828",">95%","44686","All ages","0"
"MOUNTAIN VIEW","74178","90.8","81656","All ages","1395"
"PALO ALTO","63338",">95%","66573","All ages","0"
"SAN JOSE","891208","86.7","1027690","All ages","77569"
"SAN MARTIN","5274","77.5","6803","All ages","1243"
"SANTA CLARA","110645","86.6","127721","All ages","8014"
"SARATOGA","31236",">95%","30697","All ages","0"
"STANFORD","8758","53.6","16326","All ages","5983"
"SUNNYVALE","135334","88.6","152770","All ages","6776"
"CAMPBELL","2646","75.6","3499","05 - 11","703"
"CUPERTINO","4654","70.5","6603","05 - 11","1699"
"GILROY","3268","49.8","6564","05 - 11","2982"
"LOS ALTOS","2868","82.6","3474","05 - 11","507"
"LOS ALTOS HILLS","479","72.2","663","05 - 11","165"
"LOS GATOS","2866",">95%","2352","05 - 11","0"
"MILPITAS","5417","75.4","7188","05 - 11","1441"
"MONTE SERENO","212","44.8","473","05 - 11","244"
"MORGAN HILL","2625","60.9","4309","05 - 11","1516"
"MOUNTAIN VIEW","4835","72.4","6678","05 - 11","1583"
"PALO ALTO","4450","77.2","5761","05 - 11","1057"
"SAN JOSE","52805","58.8","89783","05 - 11","32849"
"SAN MARTIN","230","31.5","731","05 - 11","475"
"SANTA CLARA","6524","69","9456","05 - 11","2493"
"SARATOGA","1975","79.2","2495","05 - 11","423"
"STANFORD","295","86","343","05 - 11","24"
"SUNNYVALE","8942","70.5","12684","05 - 11","3161"
