"age","case_count","population","case_rate"
"< 3","11576","67801","17073.49"
"12 - 14","15493","73838","20982.42"
"15 - 17","16638","70294","23669.16"
"3 - 4","7975","48705","16374.09"
"5","4204","22505","18680.29"
"6 - 8","13982","70900","19720.73"
"9 - 11","15814","74264","21294.3"
