"business_name","entity_type","registry_date","nonprofit_type","address","city","state","zip_code"
"160TH AVENUE CHURCH OF CHRIST","DOMESTIC NONPROFIT CORPORATION","1979-04-03 00:00:00","RELIGIOUS WITH MEMBERS","5512 NE 40TH AVE","PORTLAND","OR","97211"
"160TH AVENUE CHURCH OF CHRIST","DOMESTIC NONPROFIT CORPORATION","1979-04-03 00:00:00","RELIGIOUS WITH MEMBERS","130 NE 160TH AVE","PORTLAND","OR","97230"
"2NDA PORTLAND IGLESIA APOSTOLICA DE LA FE EN CRISTO JESUS IN THE UNITED STATES, WASHINGTON DISTRICT","DOMESTIC NONPROFIT CORPORATION","2020-10-01 13:41:18","RELIGIOUS WITH MEMBERS","7840 SE STEPHANIE CT","PORTLAND","OR","97222"
"2NDA PORTLAND IGLESIA APOSTOLICA DE LA FE EN CRISTO JESUS IN THE UNITED STATES, WASHINGTON DISTRICT","DOMESTIC NONPROFIT CORPORATION","2020-10-01 13:41:18","RELIGIOUS WITH MEMBERS","7840 SE STEPHANIE CT","PORTLAND","OR","97222"
"2NDA PORTLAND IGLESIA APOSTOLICA DE LA FE EN CRISTO JESUS IN THE UNITED STATES, WASHINGTON DISTRICT","DOMESTIC NONPROFIT CORPORATION","2020-10-01 13:41:18","RELIGIOUS WITH MEMBERS","7606 SE THOMSON RD","PORTLAND","OR","97222"
"2NDA PORTLAND IGLESIA APOSTOLICA DE LA FE EN CRISTO JESUS IN THE UNITED STATES, WASHINGTON DISTRICT","DOMESTIC NONPROFIT CORPORATION","2020-10-01 13:41:18","RELIGIOUS WITH MEMBERS","7840 SE STEPHANIE CT","PORTLAND","OR","97222"
"2NDA PORTLAND IGLESIA APOSTOLICA DE LA FE EN CRISTO JESUS IN THE UNITED STATES, WASHINGTON DISTRICT","DOMESTIC NONPROFIT CORPORATION","2020-10-01 13:41:18","RELIGIOUS WITH MEMBERS","7840 SE STEPHANIE CT","PORTLAND","OR","97222"
"ABUNDANT LIFE CHURCH, UNITED PENTECOSTAL","DOMESTIC NONPROFIT CORPORATION","1972-04-04 00:00:00","RELIGIOUS WITH MEMBERS","PO BOX 83956","PORTLAND","OR","97283"
"ABUNDANT LIFE CHURCH, UNITED PENTECOSTAL","DOMESTIC NONPROFIT CORPORATION","1972-04-04 00:00:00","RELIGIOUS WITH MEMBERS","9630 N LOMBARD","PORTLAND","OR","97203"
"ABUNDANT LIFE CHURCH, UNITED PENTECOSTAL","DOMESTIC NONPROFIT CORPORATION","1972-04-04 00:00:00","RELIGIOUS WITH MEMBERS","9630 N LOMBARD","PORTLAND","OR","97203"
