Title,Description,Link,Order,Show,Image
Clear Gasoline Locator,"Build an app that helps motorists find ""clear"" gasoline locations throughout the state of Oregon.",/Recreation/-Clear-Gasoline-locations/qwux-prpy,2,true,https://data.oregon.gov/views/bgs4-pj98/files/ePwbmftyGBpdWWnE0_7OuA9yN47YvyxXkmcX0fBz9PU
Have a great idea?,"If you have an idea for a great app that needs a specific dataset from an Oregon agency or entity, please suggest a dataset!",/nominate,3,true,https://data.oregon.gov/views/bgs4-pj98/files/e7SEPmRhA-El3hDsdoeeGE5hZcCZCMMC5lGKxcArTfs
Bills signed by Governor,Use this dataset and others for previous years to build an for an app that tracks Oregon bills signed by the Governor ,https://data.oregon.gov/dataset/Bills-Signed-By-Governor-Brown-2015/kiyy-dbi3,1,true,https://data.oregon.gov/views/bgs4-pj98/files/UpskuviYy6H-IJY2cqeVmwaMQsaqcnLxFcjbibedPS0
