"operator_id","operator_name","op_strcity","op_strzip","url","op_country","ticket_revenue","private_contract_revenue","advertising_revenue","public_contract_revenue","federal_funding_revenue","state_funding_revenue","local_funding_revenue","federal_state_local","pub_fund_type_1","pub_fund_source_1","pub_fund_prog_1","pub_fund_type_2","pub_fund_source_2","pub_fund_prog_2","pub_fund_type_3","pub_fund_source_3","pub_fund_prog_3","pub_fund_type_4","pub_fund_source_4","pub_fund_prog_4","pub_fund_type_5","pub_fund_source_5","pub_fund_prog_5","pub_fund_type_6","pub_fund_source_6","pub_fund_prog_6","pub_fund_type_7","pub_fund_source_7","pub_fund_prog_7","pub_fund_type_8","pub_fund_source_8","pub_fund_prog_8","vessel_id","vessel_name","uscg_number","in_service","carries_passengers","carries_vehicles","carries_freight","passenger_capacity","vehicle_capacity","fuel_type","fuel_other","typical_speed","year_built","mainhorsepowerahead","mainhorsepowerastern","hullmaterial","hullshape","propulsiontype","selfpropindicator","registered_breadth","registered_depth","registered_length","registered_net_tons","registered_gross_tons","vessel_ownership","vessel_owned_by","vessel_operation","vessel_operated_by","fuel_mileage","ada_accessible","engine_lifespan","census_year_miles","terminal_id","terminal_name","term_city","term_state","term_country","terminal_coordinates","terminal_coordinates_address","terminal_coordinates_city","terminal_coordinates_state","terminal_coordinates_zip","parking","local_bus","intercity_bus","local_rail","intercity_rail","terminal_ownership","terminal_owned_by","terminal_operation","terminal_operated_by","segment_id","seg_length","average_trip_time","season_start_month","season_start_day","season_end_month","season_end_day","route_rates_regulated","route_rate_regulator","passengers","vehicles","avg_daily_brd_pax","avg_daily_brd_veh","vessel1_id","vessel1_name","vessel2_id","vessel2_name","vessel3_id","vessel3_name","segment_name","seg_terminal1_id","seg_terminal2_id","seg_type","serves_nps","terminal_name1","term_city1","term_state1","term_country1","terminal_coordinates1","terminal_coordinates1_address","terminal_coordinates1_city","terminal_coordinates1_state","terminal_coordinates1_zip","parking1","local_bus1","intercity_bus1","local_rail1","intercity_rail1","terminal_ownership1","terminal_owned_by1","terminal_operation1","terminal_operated_by1","terminal_name2","term_city2","term_state2","term_country2","terminal_coordinates2","terminal_coordinates2_address","terminal_coordinates2_city","terminal_coordinates2_state","terminal_coordinates2_zip","parking2","local_bus2","intercity_bus2","local_rail2","intercity_rail2","terminal_ownership2","terminal_owned_by2","terminal_operation2","terminal_operated_by2","uscg_number1","in_service1","carries_passengers1","carries_vehicles1","carries_freight1","passenger_capacity1","vehicle_capacity1","fuel_type1","fuel_other1","typical_speed1","year_built1","mainhorsepowerahead1","mainhorsepowerastern1","hullmaterial1","hullshape1","propulsiontype1","selfpropindicator1","registered_breadth1","registered_depth1","registered_length1","registered_gross_tons1","registered_net_tons1","vessel_ownership1","vessel_owned_by1","vessel_operation1","vessel_operated_by1","fuel_mileage1","ada_accessible1","engine_lifespan1","census_year_miles1","uscg_number2","in_service2","carries_passengers2","carries_vehicles2","carries_freight2","passenger_capacity2","vehicle_capacity2","fuel_type2","fuel_other2","typical_speed2","year_built2","mainhorsepowerahead2","mainhorsepowerastern2","hullmaterial2","hullshape2","propulsiontype2","selfpropindicator2","registered_breadth2","registered_depth2","registered_length2","registered_gross_tons2","registered_net_tons2","vessel_ownership2","vessel_owned_by2","vessel_operation2","vessel_operated_by2","fuel_mileage2","ada_accessible2","engine_lifespan2","census_year_miles2","uscg_number3","in_service3","carries_passengers3","carries_vehicles3","carries_freight3","passenger_capacity3","vehicle_capacity3","fuel_type3","fuel_other3","typical_speed3","year_built3","mainhorsepowerahead3","mainhorsepowerastern3","hullmaterial3","hullshape3","propulsiontype3","selfpropindicator3","registered_breadth3","registered_depth3","registered_length3","registered_gross_tons3","registered_net_tons3","vessel_ownership3","vessel_owned_by3","vessel_operation3","vessel_operated_by3","fuel_mileage3","ada_accessible3","engine_lifespan3","census_year_miles3","surveyyear"
"31","Expeditions","Lahaina","96764","http://www.go-lanai.com","United States","80","12",,"8",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"923","Maalaea","Maalaea","HI","United States","POINT (-156.511245 20.791898)",,,"HI",,"0","1","1","0","0","0","State of Hawaii","0","State of Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"47","Water Taxi of Fort Lauderdale","Fort Lauderdale","33315-1001","http://www/watertaxi.com","United States","95","5",,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"928","Bokampers","Fort Lauderdale","FL","United States","POINT (-80.103685 26.168185)",,,"FL",,"1","1","0","0","0","1",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"88","U.S. DOI - Mammoth Cave National Park","Mammoth Cave","42259","http://www.nps.gov/maca/index.htm","United States","0","0","0","0","100","0","0","1","0","Mammoth Cave National Park","Base Funds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165","Mammoth Cave Houchins Ferry","Brownsville","KY","United States","POINT (-86.237475 37.202309)",,,"KY",,"1","0","0","0","0","0","Mammoth Cave","0","Mammoth Cave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"88","U.S. DOI - Mammoth Cave National Park","Mammoth Cave","42259","http://www.nps.gov/maca/index.htm","United States","0","0","0","0","100","0","0","1","0","Mammoth Cave National Park","Base Funds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173","Mammoth Cave Houchins Ferry (Ollie)","Mammoth Cave","KY","United States","POINT (-86.238152 37.202862)",,,"KY",,"0","0","0","0","0","0","Mammoth Cave","0","Mammoth Cave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"102","Native Son Inc.","St. Thomas","00802","http://www.nativesonferry.com","United States","75","25","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"656","Crown Bay","Crown Bay","VI","Virgin Island","POINT (-64.951631 18.33411)",,,"VI",,"1","0","0","0","0","0","Virgin Island Port Authority","0","Virgin Island Port Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"450","The Block Island Ferry","Wakefield","02880","https://www.blockislandferry.com/","United States","100",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,"866","M/V Anna C.","900062","1","1","1","1","1260","35","1",,"16","1986","3750","3750","8","5","11","1","39","7.2","179.7","66","98","1",,"2",,"150","0",,,,,,,,"POINT (-71.522488 41.707447)",,,"RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"102","Native Son Inc.","St. Thomas","00802","http://www.nativesonferry.com","United States","75","25","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"644","The Waterfront","Charlotte Amalie, St. Thomas","VI","Virgin Island","POINT (-64.930511 18.339649)",,,"VI",,"1","0","0","0","0","0","Virgin Island Port Authority","0","Virgin Island Port Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"127","Blue and Gold Fleet","San Francisco","94133","http://www.blueandgoldfleet.com/ferry-services","United States",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"932","Pier 39","San Francisco","CA","United States","POINT (-122.411198 37.809072)",,,"CA",,"1","1","1","1","0","1",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"34","Fire Island Ferries Inc.","Bay Shore","11706","http://www.fireislandferries.com","United States","97","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,"1207","Fire Islander","1246183","1","1","0","0","383","0","1",,"18","2013","1800","1700","1","5","11","1","20","7","80.1","52","76","1",,"1",,"45","1","55","20800",,,,,,"POINT (-75.544286 42.826892)",,,"NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
"79","Valley View Ferry Authority","Nicholasville","40340",,"United States",,,,,,"90","10","1","2","Jessamine County Fiscal Court",,"2","Lexington Urban County Government",,"2","Madison County Fiscal Court",,"1","Kentucky Transportation Department",,,,,,,,,,,,,,"1262","John Craig",,"1","0","0","0",,,"1",,,,,,,,,"2",,,,,,"0","Valley View Ferry Authority","0",,,"0",,,,,,,,"POINT (-84.774043 37.64591)",,,"KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016"
