"the_geom","id","fac_id","bike_id","system_id","system_name","year","asofdate","fac_name","address","city","state","zipcode","cbsa_code","longitude","latitude","station_type"
"POINT (-73.969223 40.684157)","409","NY10007181","-","3","Citi Bike","2015","201512","Fulton St & Clermont Ave","Fulton St & Clermont Ave","Brooklyn","NY","10007","35620","-73.969223","40.684157","-"
"POINT (-80.135314 25.787494)","771","FL3320601","-","5","Citi Bike Miami","2015","201512","Euclid 15th Street","Euclid 15th Street","Miami","FL","33206","33100","-80.135314","25.787494","-"
"POINT (-97.34255 32.75158)","926","TX7610205","-","10","Fort Worth B-cycle","2015","201512","5th & Penn","603 Penn St.","Fort Worth","TX","76102","19100","-97.34255","32.75158","-"
"POINT (-82.45188832 27.94381176)","1634","FL3360226","-","33","Coast Bike Share","2015","201512","Amalie Arena","South Jefferson Street","Tampa","FL","33602","45300","-82.45188832","27.94381176","-"
"POINT (-114.3620914 43.68299153)","1794","ID8334026","-","35","MR Bike Share","2015","201512","4th st and walnut","303 Walnut Avenue","Ketchum","ID","83340","-","-114.3620914","43.68299153","-"
"POINT (-112.0697019 33.4536249)","1851","AZ8500419","-","37","Grid","2015","201512","3rd Street / Taylor","501-549 North 3rd Street","Phoenix","AZ","85004","38060","-112.0697019","33.4536249","-"
"POINT (-82.39797 34.85399)","2132","SC2960103","-","44","Greenville B-cycle","2015","201512","College & Main","11 College St.","Greenville","SC","29601","24860","-82.39797","34.85399","-"
"POINT (-96.78745 46.8783)","2211","ND5810208","-","51","Great Rides","2015","201512","US Bank Plaza","243 Broadway","Fargo","ND","58102","22020","-96.78745","46.8783","-"
"POINT (-77.03863 38.90276)","2332","DC2055201","-","56","Capital Bikeshare","2015","201512","17th & K St NW","17th & K St NW","Washington","DC","20552","47900","-77.03863","38.90276","-"
"POINT (-77.0259 38.9172)","2381","DC2054201","-","56","Capital Bikeshare","2015","201512","10th & U St NW","10th & U St NW","Washington","DC","20542","47900","-77.0259","38.9172","-"
"POINT (-82.990716 39.969188)","2724","OH4321529","-","58","COGO","2015","201512","Cleveland Ave & Mt Vernon Ave","Cleveland Ave & Mt Vernon Ave","Columbus","OH","43215","18140","-82.990716","39.969188","-"
"POINT (-87.64895 41.94367)","3104","IL60602279","-","60","Divvy","2015","201512","Halsted St & Roscoe St","Halsted St & Roscoe St","Chicago","IL","60602","16980","-87.64895","41.94367","-"
"POINT (-86.125891 39.978337)","3318","IN4603206","-","64","Carmel Bike Share","2015","201512","Hamilton County Tourism","-","Carmel","IN","46032","26900","-86.125891","39.978337","-"
"POINT (-121.96127 37.771562)","3346","CA9458303","-","75","BriteBikes","2015","201512","BR7","USPS Valley Iron Horse Trail","San Ramon","CA","94583","41860","-121.96127","37.771562","-"
"POINT (-73.944694 40.686203)","3699","NY1121613","4434.06","3","Citi Bike","2016","201612","-","-","Brooklyn","NY","11216","35620","-73.944694","40.686203","-"
"POINT (-74.078885 40.71113)","4248","NJ0730508","JC063","3","Citi Bike","2016","201612","-","-","Jersey City","NJ","7305","35620","-74.078885","40.71113","-"
"POINT (-80.234443 25.728437)","4378","FL3313101","608","5","Citi Bike Miami","2016","201612","City Hall","City Hall","Miami","FL","33131","33100","-80.234443","25.728437","-"
"POINT (-105.25143 40.02455)","4621","CO8030105","bcycle_boulder_3675","11","Boulder B-cycle","2016","201612","Boulder Junction","-","Boulder","CO","80301","14500","-105.25143","40.02455","-"
"POINT (-93.26145 44.985388)","5132","MN5540115","30170","25","Nice Ride Minnesota (became partially dockless in 2018)","2016","201612","-","Nicollet Island","Minneapolis","MN","55401","33460","-93.26145","44.985388","-"
"POINT (-106.8507 39.188712)","5206","CO8161122","1443","27","WE-cycle","2016","201612","Aspen Recreation Center","-","Aspen","CO","81611","24060","-106.8507","39.188712","-"
"POINT (-87.624538 41.872561)","6898","IL6060509","2","60","Divvy","2016","201612","-","Michigan Ave & Balbo Ave","Chicago","IL","60605","16980","-87.624538","41.872561","-"
"POINT (-87.648789 41.881892)","7077","IL6060708","198","60","Divvy","2016","201612","-","Green St & Madison St","Chicago","IL","60607","16980","-87.648789","41.881892","-"
"POINT (-87.635185 41.880317)","7162","IL6060607","287","60","Divvy","2016","201612","-","Franklin St & Monroe St","Chicago","IL","60606","16980","-87.635185","41.880317","-"
"POINT (-87.793899 41.886923)","7468","IL6030102","611","60","Divvy","2016","201612","-","Oak Park Ave & South Blvd","Oak Park","IL","60301","16980","-87.793899","41.886923","-"
"POINT (-122.676365 45.521172)","7798","OR9720419","hub_1578","74","BikeTown Portland","2016","201612","SW 5th at Oak","315 Southwest 5th Avenue","Portland","OR","97204","38900","-122.676365","45.521172","-"
"POINT (-84.36998427 33.84824153)","8013","GA3032603","hub_2865","77","Relay Bike Share","2016","201612","TOWER PLACE - BUCKHEAD","-","Atlanta","GA","30326","12060","-84.36998427","33.84824153","-"
"POINT (-81.60386503 41.51028859)","8062","OH4410608","2052","79","UH Bikes","2016","201612","Uptown","-","Cleveland","OH","44106","17460","-81.60386503","41.51028859","-"
"POINT (-71.062256 42.343749)","8431","MA0211415","C32035","1","Hubway (03/2018 re-launched as Blue Bikes)","2017","201712","-","Troy Boston","Boston","MA","2118","14460","-71.062256","42.343749","-"
"POINT (-71.14260614 42.39558846)","8515","MA0214009","M32046","1","Hubway (03/2018 re-launched as Blue Bikes)","2017","201712","-","Alewife MBTA at Steel Place","Cambridge","MA","2140","14460","-71.14260614","42.39558846","-"
"POINT (-97.36115 32.71164)","9663","TX7610901","bcycle_fortworth_2265","10","Fort Worth B-cycle","2017","201712","TCU","3055 West Cantey Street","Ft Worth","TX","76109","19100","-97.36115","32.71164","-"
"POINT (-112.073781 33.486311)","10902","AZ8501204","hub_316","37","Grid","2017","201712","Central / Lexington","Light Rail","Phoenix","AZ","85012","38060","-112.073781","33.486311","-"
"POINT (-77.06072 38.805767)","11817","VA2068901","31048","56","Capital Bikeshare","2017","201712","King St Metro","King St Metro","Alexandria","VA","20689","47900","-77.06072","38.805767","-"
"POINT (-118.12918 34.14607)","13322","CA9110609","bcycle_lametro_4183","73","Metro Bike Share Los Angeles","2017","201712","Catalina at Colorado","1051 E Colorado Blvd","Pasadena","CA","91106","31080","-118.12918","34.14607","-"
"POINT (-90.05229235 29.97730204)","14089","LA7011709","hub_3684","109","New Orleans Bikeshare","2017","201712","St Roch Park","2001 Saint Roch Avenue","New Orleans","LA","70117","35380","-90.05229235","29.97730204","-"
"POINT (-110.958349 32.231757)","14167","AZ8571902","-","110","tugo","2017","201712","Main Gate","-","Tucson","AZ","85719","46060","-110.958349","32.231757","-"
"POINT (-73.96304 40.68488)","14751","NY1123809","4377.04","3","Citi Bike","2018","201812","-","-","Brooklyn","NY","11238","35620","-73.96304","40.68488","-"
"POINT (-95.726896 39.04304)","16795","KS6660405","hub_646","34","Topeka Metro Bikes","2018","201812","Annie's Place","4117 Southwest Huntoon Street","Topeka","KS","66604","45820","-95.726896","39.04304","-"
"POINT (-95.723655 39.025906)","16829","KS6661407","hub_791","34","Topeka Metro Bikes","2018","201812","VA Hospital","-","Topeka","KS","66614","45820","-95.723655","39.025906","-"
"POINT (-118.510823 34.029153)","17165","CA9040202","hub_997","39","Breeze","2018","201812","03.  4th Street and San Vicente Boulevard","301-347 4th Street","Santa Monica","CA","90402","31080","-118.510823","34.029153","-"
"POINT (-122.407245 37.798522)","17247","CA9413314","73","42","Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)","2018","201812","-","Grant at Columbus","San Francisco","CA","94133","41860","-122.407245","37.798522","-"
"POINT (-122.4043639 37.754436)","17318","CA9411030","136","42","Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)","2018","201812","23rd St at San Bruno Ave","-","San Francisco","CA","94110","41860","-122.4043639","37.754436","-"
"POINT (-87.617759 41.865212)","18779","IL6060289","97","60","Divvy","2018","201812","Museum Campus","Museum Campus","Chicago","IL","60602","16980","-87.617759","41.865212","-"
"POINT (-86.810359 33.516098)","19060","AL3520322","-","63","Zyp BikeShare","2018","201812","18th St N & 4th Ave N","-","Birmingham","AL","35203","13820","-86.810359","33.516098","-"
"POINT (-84.36998427 33.84824153)","19572","GA3032603","hub_2865","77","Relay Bike Share","2018","201812","TOWER PLACE - BUCKHEAD","-","Atlanta","GA","30326","12060","-84.36998427","33.84824153","-"
"POINT (-79.94811058 32.78482243)","19727","SC2942504","2540","84","Holy Spokes","2018","201812","MUSC-Jonathan Lucas","Jonathan Lucas Street","Charleston","SC","29425","16700","-79.94811058","32.78482243","-"
"POINT (-110.969109 32.212081)","20146","AZ8570114","-","110","tugo","2018","201812","Five Points SMAR","-","Tucson","AZ","85701","46060","-110.969109","32.212081","-"
"POINT (-114.372536 43.682681)","20795","ID8334006","hub_839","35","MR Bike Share","2018","201812","Atkinsons Park","Hideaway Lane","Ketchum","ID","83340","25200","-114.372536","43.682681","-"
"POINT (-81.389425 28.570272)","20846","FL3280401","hub_771","32","Juice","2018","201812","College Park South","2100 Edgewater Drive","Orlando","FL","32804","36740","-81.389425","28.570272","-"
"POINT (-73.9779076 40.68506807)","21929","NY1121713","4395.07","3","Citi Bike","2019","201912","-","Hanson Pl & Ashland Pl","Brooklyn","NY","11217","35620","-73.9779076","40.68506807","-"
"POINT (-74.009447 40.711066)","22070","NY10007331","5175.08","3","Citi Bike","2019","201912","-","-","New York","NY","10007","35620","-74.009447","40.711066","-"
"POINT (-80.13475 25.76975)","22632","FL3317201","107","5","Citi Bike Miami","2019","201912","2nd Street Collins Ave","2nd Street Collins Ave","Miami Beach","FL","33172","33100","-80.13475","25.76975","-"
"POINT (-95.679076 39.043471)","23873","KS6661211","hub_1266","34","Topeka Metro Bikes","2019","201912","YWCA","Southwest 12th Street","Topeka","KS","66612","45820","-95.679076","39.043471","-"
"POINT (-112.0711282 33.45899548)","24245","AZ8500427","hub_3525","37","Grid","2019","201912","P196 2nd St. and Roosevelt","1021 North 2nd Street","Phoenix","AZ","85004","38060","-112.0711282","33.45899548","-"
"POINT (-112.075363 33.449557)","24271","AZ8500307","hub_661","37","Grid","2019","201912","Adams / 1st Ave","114 West Adams Street","Phoenix","AZ","85003","38060","-112.075363","33.449557","-"
"POINT (-77.089006 38.89593)","25207","VA2066601","31030","56","Capital Bikeshare","2019","201912","N Adams St & Lee Hwy","N Adams St & Lee Hwy","Arlington","VA","20666","47900","-77.089006","38.89593","-"
"POINT (-77.120776 39.062041)","25664","MD2085206","32074","56","Capital Bikeshare","2019","201912","-","Twinbrook Metro","Rockville","MD","20852","47900","-77.120776","39.062041","-"
