"state","month","year","tax_type","value","fips_state","numeric_month","note","id"
"Alabama","April","2022","motor fuel","83768890.0","1","4",,"1_2022_4"
"Alabama","March","2022","motor fuel","73626200.0","1","3",,"1_2022_3"
"Alaska","April","2022","motor fuel","3320705.0","2","4",,"2_2022_4"
"Alaska","March","2022","motor fuel","3594661.0","2","3",,"2_2022_3"
"Arizona","April","2022","motor fuel","72720240.0","4","4",,"4_2022_4"
"Arizona","March","2022","motor fuel","63958280.0","4","3",,"4_2022_3"
"Arkansas","April","2022","motor fuel","48306716.0","5","4",,"5_2022_4"
"Arkansas","March","2022","motor fuel","43121330.0","5","3",,"5_2022_3"
"California","April","2022","motor fuel","684972000.0","6","4",,"6_2022_4"
"California","March","2022","motor fuel","649500000.0","6","3",,"6_2022_3"
"Colorado","April","2022","motor fuel","48987000.0","8","4",,"8_2022_4"
"Colorado","March","2022","motor fuel","70967000.0","8","3",,"8_2022_3"
"Connecticut","April","2022","motor fuel","38995440.0","9","4",,"9_2022_4"
"Connecticut","March","2022","motor fuel","35141068.0","9","3",,"9_2022_3"
"Delaware","April","2022","motor fuel",,"10","4",,"10_2022_4"
"Delaware","March","2022","motor fuel",,"10","3",,"10_2022_3"
"District of Columbia","April","2022","motor fuel",,"11","4",,"11_2022_4"
"District of Columbia","March","2022","motor fuel",,"11","3",,"11_2022_3"
"Florida","April","2022","motor fuel","388230000.0","12","4",,"12_2022_4"
"Florida","March","2022","motor fuel","338850000.0","12","3",,"12_2022_3"
"Georgia","April","2022","motor fuel","104868000.0","13","4",,"13_2022_4"
"Georgia","March","2022","motor fuel","155588000.0","13","3",,"13_2022_3"
"Hawaii","April","2022","motor fuel","9214382.0","15","4",,"15_2022_4"
"Hawaii","March","2022","motor fuel","8192258.0","15","3",,"15_2022_3"
"Idaho","April","2022","motor fuel","28269248.0","16","4",,"16_2022_4"
"Idaho","March","2022","motor fuel","27727968.0","16","3",,"16_2022_3"
