"trdtype","usastate","commodity2","disagmot","mexstate","canprov","country","value","shipwt","freight_charges","df","contcode","month","year"
"1","AR","40","3",,"XM","1220","2807","27","55","1","X","7","2021"
"1","AZ","85","5","PU",,"2010","44483","0","0","2","0","7","2021"
"1","AL","72","3","XX",,"2010","9770","8666","0","1","0","7","2021"
"1","AR","40","3",,"XA","1220","5003","32","63","1","X","7","2021"
"1","AZ","38","5","OT",,"2010","11100","0","0","1","0","7","2021"
"1","AZ","85","5","PU",,"2010","5297","0","0","1","0","7","2021"
"1","AL","39","5","BC",,"2010","335767","0","0","1","0","7","2021"
"1","AL","61","5",,"XO","1220","143286","0","1854","2","X","7","2021"
"1","AL","85","5","NL",,"2010","8144","0","0","1","1","7","2021"
"1","AR","39","6",,"XO","1220","56223","0","1102","1","X","7","2021"
"1","AR","87","5",,"XO","1220","4868547","0","65282","1","X","7","2021"
"1","AZ","38","5","NL",,"2010","40647","0","0","1","0","7","2021"
"1","AZ","74","5",,"XO","1220","501378","0","7908","1","X","7","2021"
"1","AZ","85","5","OT",,"2010","54566","0","0","2","0","7","2021"
"1","AL","1","3","XX",,"2010","2503209","4115","0","1","0","7","2021"
"1","AL","33","5",,"XO","1220","83193","0","1389","1","X","7","2021"
"1","AL","44","5","MX",,"2010","193722","0","0","1","0","7","2021"
"1","AL","61","5",,"XO","1220","86268","0","936","1","X","7","2021"
"1","AL","82","3","XX",,"2010","7100","115","0","1","0","7","2021"
"1","AL","85","5","NL",,"2010","2583498","0","0","1","0","7","2021"
"1","AR","7","5",,"XO","1220","338724","0","19565","1","X","7","2021"
"1","AR","39","6",,"XA","1220","93427","0","1777","1","X","7","2021"
"1","AR","76","5","DF",,"2010","213907","0","0","1","0","7","2021"
"1","AR","87","5",,"XM","1220","474687","0","7942","2","X","7","2021"
"1","AZ","19","5","MX",,"2010","22059","0","0","1","0","7","2021"
"1","AZ","38","5","MX",,"2010","6475","0","0","2","0","7","2021"
