"operator_id","operator_name","op_strcity","op_state","op_strzip","op_country","url","federal_state_local","ticket_revenue","private_contract_revenue","advertising_revenue","public_contract_revenue","federal_funding_revenue","state_funding_revenue","local_funding_revenue","other_funding_revenue","trip_purpose_commuter_transit","trip_purpose_pleasure","trip_purpose_emergency","trip_purpose_roadway_conn","trip_purpose_lifeline","trip_purpose_nps","trip_purpose_other","trip_purpose_other_desc","accepts_public_funding","pub_fund_type_1","pub_fund_source_1","pub_fund_prog_1","pub_fund_type_2","pub_fund_source_2","pub_fund_prog_2","pub_fund_type_3","pub_fund_source_3","pub_fund_prog_3","pub_fund_type_4","pub_fund_source_4","pub_fund_prog_4","pub_fund_type_5","pub_fund_source_5","pub_fund_prog_5","pub_fund_type_6","pub_fund_source_6","pub_fund_prog_6","pub_fund_type_7","pub_fund_source_7","pub_fund_prog_7","pub_fund_type_8","pub_fund_source_8","pub_fund_prog_8","census_year","data_year"
"3","Casco Bay Island Transit District","Portland","ME","04112","United States","http://www.cascobaylines.com","false","68.4","6.9","0.1","0.9","22.7","0.9","0","0","true","true","false","false","true","false","false",,"true","FEDERAL","Federal Transit Administration","5307 Urban Formula Funds","FEDERAL","Federal Transit Administration","5337 State of Good Repair","STATE","Maine Department of Transportation","RTAP","STATE","Maine Department of Transportation","5311 Rural Formula Fund","STATE","Maine Department of Transportation","5307 State Funds","FEDERAL","Federal Transit Administration","5307 Ferryboat Discretionary Program","NA","NA","NA","NA","NA","NA","2020","2019"
"4","Catalina Express","San Pedro","CA","90731","United States","https://www.catalinaexpress.com","false",,,,,,,,,"true","true","false","false","true","false","false",,"false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"5","The Catalina Flyer","Newport Beach","CA","92661","United States","https://www.catalinainfo.com/","false","98","2","0","0","0","0","0","0","true","true","false","false","false","false","false",,"false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"8","Charlevoix County Transportation Authority","Charlevoix","MI","49720","United States","http://www.charlevoixcounty.org/ironton_ferry/index.php","true","50","0","0","0","40","10","0","0","true","true","true","true","true","false","false",,"true","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"10","Chebeague Transportation Co.","Chebeague Island","ME","04017","United States","http://www.chebeaguetrans.com","false","92.5","0","0","7.5","0","0","0","0","true","false","true","false","false","false","false",,"false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"13","Clackamas County Department of Transportation and Development","Oregon City","OR","97045","United States","http://www.clackamas.us/roads/ferry.html","true","38","0","0","0","0","0","62","0","true","true","true","true","false","false","false",,"true","LOCAL","County of Clackamas, Oregon","Department of Transportation and Development","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"14","Clipper Navigation Inc.","Seattle","WA","98121","United States","http://www.clippervacations.com","false","100","0","0","0","0","0","0","0","false","true","false","false","false","false","false",,"false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"16","Colville Confederated Tribes (Inchelium-Gifford Ferry)","Inchelium","WA","99138","United States","http://chiefjosephhatchery.com/inchelium_gifford_ferry_schedule.php","true","0","0","0","0","100","0","0","0","true","true","true","true","true","true","false",,"true","FEDERAL","Bureau of Indian Affairs","Inchelium Ferry Program","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"17","Connecticut DOT Bureau of Public Transportation","Newington","CT","06111","United States","http://www.ct.gov/dot/cwp/view.asp?a=1390&q=501574","true","100","0","0","0","0","0","0","0","true","true","false","true","false","false","false",,"true","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
"18","Cross Sound Ferry Services Inc.","New London","CT","06320","United States","http://www.longislandferry.com","false","100","0","0","0","0","0","0","0","true","false","false","false","false","false","false",,"false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","2019"
