"year","quarter","locationabbr","locationdesc","topictypedesc","topicdesc","measuredesc","private_worksites","restaurants","bars","type_of_restriction","summaryaltvalue","geolocation","topictypeid","topicid","measureid"
"2022","3","AL","Alabama","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Designated Areas","None","None","No Law, designated areas, or separate ventilation Law","0","
,  
(32.84057112200048, -86.63186076199969)","LEG","600","600COMB"
"2022","3","AK","Alaska","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","No Provision","Designated Areas","No Provision","No Law, designated areas, or separate ventilation Law","0","
,  
(64.84507995700051, -147.72205903599973)","LEG","600","600COMB"
"2022","3","AS","American Samoa","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(-14.3016396, -170.69618149999997)","LEG","600","600COMB"
"2022","3","AZ","Arizona","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(34.865970280000454, -111.76381127699972)","LEG","600","600COMB"
"2022","3","AR","Arkansas","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Designated Areas","None","100 % smokefree in one location","1","
,  
(34.74865012400045, -92.27449074299966)","LEG","600","600COMB"
"2022","3","CA","California","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(37.63864012300047, -120.99999953799971)","LEG","600","600COMB"
"2022","3","CO","Colorado","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(38.843840757000464, -106.13361092099967)","LEG","600","600COMB"
"2022","3","CT","Connecticut","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(41.56266102000046, -72.64984095199964)","LEG","600","600COMB"
"2022","3","DE","Delaware","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(39.008830667000495, -75.57774116799965)","LEG","600","600COMB"
"2022","3","DC","District of Columbia","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(38.89037138500049, -77.03196112699965)","LEG","600","600COMB"
"2022","3","FL","Florida","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","None","100 % smokefree  in two locations","2","
,  
(28.932040377000476, -81.92896053899966)","LEG","600","600COMB"
"2022","3","GA","Georgia","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Designated Areas","Designated Areas","Designated Areas","No Law, designated areas, or separate ventilation Law","0","
,  
(32.83968109300048, -83.62758034599966)","LEG","600","600COMB"
"2022","3","GU","Guam","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Designated Smoking Area","Banned","Banned","100 % smokefree  in two locations","2","
,  
(13.444304, 144.793731)","LEG","600","600COMB"
"2022","3","HI","Hawaii","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(21.304850435000446, -157.85774940299973)","LEG","600","600COMB"
"2022","3","ID","Idaho","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Designated Areas","Banned","None","100 % smokefree in one location","1","
,  
(43.682630005000476, -114.3637300419997)","LEG","600","600COMB"
"2022","3","IL","Illinois","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(40.48501028300046, -88.99771017799969)","LEG","600","600COMB"
"2022","3","IN","Indiana","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","None","100 % smokefree  in two locations","2","
,  
(39.766910452000445, -86.14996019399968)","LEG","600","600COMB"
"2022","3","IA","Iowa","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(42.46940091300047, -93.81649055599968)","LEG","600","600COMB"
"2022","3","KS","Kansas","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(38.34774030000045, -98.20078122699965)","LEG","600","600COMB"
"2022","3","KY","Kentucky","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","No Provision","No Provision","No Provision","No Law, designated areas, or separate ventilation Law","0","
,  
(37.645970271000465, -84.77497104799966)","LEG","600","600COMB"
"2022","3","LA","Louisiana","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","None","100 % smokefree  in two locations","2","
,  
(31.31266064400046, -92.44568007099969)","LEG","600","600COMB"
"2022","3","ME","Maine","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(45.254228894000505, -68.98503133599962)","LEG","600","600COMB"
"2022","3","MH","Marshall Islands","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(11.3246908, 166.84174239999993)","LEG","600","600COMB"
"2022","3","MD","Maryland","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(39.29058096400047, -76.60926011099963)","LEG","600","600COMB"
"2022","3","MA","Massachusetts","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(42.27687047000046, -72.08269067499964)","LEG","600","600COMB"
"2022","3","MI","Michigan","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(44.6613195430005, -84.71439026999968)","LEG","600","600COMB"
"2022","3","MN","Minnesota","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(46.35564873600049, -94.79420050299967)","LEG","600","600COMB"
"2022","3","MS","Mississippi","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","No Provision","No Provision","No Provision","No Law, designated areas, or separate ventilation Law","0","
,  
(32.745510099000455, -89.53803082499968)","LEG","600","600COMB"
"2022","3","MO","Missouri","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Designated Areas","Designated Areas","Designated Areas","No Law, designated areas, or separate ventilation Law","0","
,  
(38.635790776000476, -92.56630005299968)","LEG","600","600COMB"
"2022","3","MT","Montana","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(47.06652897200047, -109.42442064499971)","LEG","600","600COMB"
"2022","3","NE","Nebraska","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(41.6410409880005, -99.36572062299967)","LEG","600","600COMB"
"2022","3","NV","Nevada","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","None","100 % smokefree  in two locations","2","
,  
(39.493240390000494, -117.07184056399967)","LEG","600","600COMB"
"2022","3","NH","New Hampshire","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Designated Areas","Banned","No Provision","100 % smokefree in one location","1","
,  
(43.65595011300047, -71.50036091999965)","LEG","600","600COMB"
"2022","3","NJ","New Jersey","Legislation","Smokefree Indoor Air","Private Worksites, Restaurants, Bars - OSH","Banned","Banned","Banned","100 % smokefree in three locations","3","
,  
(40.13057004800049, -74.27369128799967)","LEG","600","600COMB"
