"id","address","latitude","longitude","status","submit_date","issue_date","owner_occupied","construction_type","building_use","roofing_material","dwelling_units","condo_association","firm_name","roof_work_description","proposed_work_description","demolition_description","dumpster_license_number","licensed_class","debris_removal_date","debris_removal_location","roof_deck_insulation_removal","layers_of_roof_covering","temporary_dumpster_count","deck_insulation_tapered","roof_structure_slope","license_expiration_date","license_number","method_of_removal","description_other","roof_covering_classification","above_deck_insulation","type_of_demolition","photovoltaic_products","flashing_installation","temporary_dumpster_permit","building_cost","geocoded_column"
"191686","19 Madison Ave, Cambridge, MA 02140","42.3998","-71.136","Complete","2022-08-16T00:00:00.000","2022-08-25T00:00:00.000","true","Wood (Type (IV/V)","Multi Family (3 or more dwelling units)","Membrane","3","true","RB Farina Roofing & Construction","EPDM Rubber Membrane Replacement - completion of 15 square(s) of new 60 mil EPDM Rubber Roof Membrane installation<br>Drain Replacement","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","","","Construction Supervisor","2022-09-29T00:00:00.000","ReSource waste, 101 Gerard Street, Roxbury, MA 02119","false",,,,"true","2024-02-11T00:00:00.000","CS-114674","Daily Removal","","Class B","","No demolition required","false","false",,"18233","(42.399813, -71.136001)"
"184898","84 Wendell St, Cambridge, MA 02138","42.382","-71.1135","Complete","2022-07-13T00:00:00.000","2022-08-23T00:00:00.000",,"Masonry / Wood (Type III)","Multi Family (3 or more dwelling units)","Membrane","10","false","IMA Construction corp","strip and reroof","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","strip roof","","Construction Supervisor","2022-09-30T00:00:00.000","rooftop recycling, Boxborough MA","false",,,,"true","2023-04-15T00:00:00.000","CS-109147","Daily Removal","","Class A","","Exterior demolition in work area only.","false","false",,"23800","(42.382012, -71.113539)"
"184902","77 Elm St, Cambridge, MA 02139","42.3689","-71.0979","Complete","2022-07-14T00:00:00.000","2022-08-23T00:00:00.000",,"Masonry / Wood (Type III)","Multi Family (3 or more dwelling units)","Membrane","8","false","IMA Construction corp","Strip and Reroof","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","Strip Roof","","Construction Supervisor","2022-09-30T00:00:00.000","Rooftop Recycling, Boxborough MA","false",,,,"true","2023-04-15T00:00:00.000","CS-109147","Daily Removal","","Class A","","Exterior demolition in work area only.","false","false",,"14500","(42.368947, -71.097866)"
"189426","95 Otis St, Cambridge, MA 02141","42.3707","-71.0823","Complete","2022-08-11T00:00:00.000","2022-08-23T00:00:00.000","false","Wood (Type (IV/V)","Multi Family (3 or more dwelling units)","Other / Mixed","3","false","M&j contracting ","Remove exciting rubber, install 1/2 ico,with 2 7/8 screws and 3in plates 3by3 metal on all outside edges flash wall","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","Rubber toof","","C","2022-08-28T00:00:00.000","Salem N.H m&j contracting","false",,,,"true","2023-02-21T00:00:00.000","S77957875","Daily Removal","Rubber","Class A","","Exterior demolition in work area only.","false","false",,"19000","(42.370709, -71.082324)"
"188903","7 Pleasant Pl, Cambridge, MA 02139","42.3633","-71.1081","Complete","2022-08-08T00:00:00.000","2022-08-23T00:00:00.000","true","Wood (Type (IV/V)","One or Two Family Dwelling","Membrane",,"false","RB Farina Roofing & Construction","EPDM Rubber Membrane Replacement - completion of 4 sqs of new 60 mil EPDM Rubber Roof Membrane installation<br>Primed Cedar Siding Removal and Installation (Proper Flashing Installation)<br>Skylight Replacement - Velux Curb-Mounted VCM 2246 Fixed (will be","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","","","Construction Supervisor","2022-09-08T00:00:00.000","ReSource waste, 101 Gerard Street, Roxbury, MA 02119","false",,,,"false","2024-02-11T00:00:00.000","CS-114674","Daily Removal","","","","No demolition required","false","false",,"7473","(42.363336, -71.108051)"
"184900","184 Harvard St, Cambridge, MA 02139","42.3666","-71.097","Complete","2022-07-13T00:00:00.000","2022-08-23T00:00:00.000",,"Masonry / Wood (Type III)","Multi Family (3 or more dwelling units)","Membrane","12","false","IMA Construction corp","Strip and Reroof","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","Strip Roof","","Construction Supervisor","2022-09-30T00:00:00.000","Rooftop Recycling, Boxborough MA","false",,,,"true","2023-04-15T00:00:00.000","CS-109147","Daily Removal","","Class A","","Exterior demolition in work area only.","false","false",,"45800","(42.366635, -71.097014)"
"189572","138 Gore St, Cambridge, MA 02141","42.3723","-71.0844","Complete","2022-08-11T00:00:00.000","2022-08-23T00:00:00.000",,"Wood (Type (IV/V)","Multi Family (3 or more dwelling units)","Asphalt Shingle","5","false","family roofing","install architectural shingles over existing layer using 1 1/2&quot; roofing nails back of roof only","Roof Recover - Installation of new roof covering over existing roof covering","","","Construction Supervisor Specialty","2022-08-28T00:00:00.000","none",,"1",,,,"2023-12-06T00:00:00.000","CSSL-099685","None","","Class A","","No demolition required","false","false",,"3800","(42.372256, -71.08444)"
"190650","30 Memorial Dr, Cambridge, MA 02142","42.3611","-71.0821","Complete","2022-08-18T00:00:00.000","2022-08-22T00:00:00.000",,"Steel/Concrete, Non-Combustible (Type I/II)","Commercial / Mixed Use","Membrane",,"false","WS Aiken LLC","Remove &amp; dispose of existing roofing system down to the roof deck. <br>Adhere vapor barrier to roof deck<br>Install two layers of 2.5&rdquo; ISO followed by one layer of &frac12;&rdquo; SecureShield HD coverboard ontop of the roof deck, all fully adhe","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","","","Construction Supervisor","2022-11-30T00:00:00.000","203 E. Main St., Georgetown, MA 01833","true",,,"false","false","2024-12-01T00:00:00.000","CS-116084","Daily Removal","","Class A","R-30","Exterior demolition in work area only.","false","true",,"48250","(42.361109, -71.082121)"
"191196","170 Sherman St, Cambridge, MA 02140","42.392","-71.1327","Complete","2022-08-22T00:00:00.000","2022-08-22T00:00:00.000","true","Wood (Type (IV/V)","One or Two Family Dwelling","Asphalt Shingle",,"false","Momentum Solar","Removing old shingles and replacing with 10 sqs of Owens Corning roofing and 9 sqs of Epdm for the top right side of roof. &nbsp;Slatestone gray for color. &nbsp;Dumpster to go in driveway.","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","","","Construction Supervisor","2022-09-22T00:00:00.000","E&L Harvey and Sons","false",,"1",,"false","2023-01-22T00:00:00.000","CS-080034","Dumpster","","","","No demolition required","false","true","true","18788","(42.391979, -71.132684)"
"184896","222 Franklin St, Cambridge, MA 02139","42.3638","-71.1041","Complete","2022-07-13T00:00:00.000","2022-08-19T00:00:00.000",,"Masonry / Wood (Type III)","Multi Family (3 or more dwelling units)","Membrane","8","false","IMA Construction corp","strip and reroof","Roof Replacement - Removal of all existing layers of roof coverings down to the structural roof deck","strip roof","","Construction Supervisor","2022-07-30T00:00:00.000","rooftop recycling, Boxborough ma","false",,,,"true","2023-04-15T00:00:00.000","CS-109147","Daily Removal","","Class A","","Exterior demolition in work area only.","false","false",,"16800","(42.363814, -71.10414)"
