"bus_name","address","city","state","zip_code","bus_type","bus_class","bus_description","year_founded","website","longitude","latitude","location"
"24M Technologies","130 Brookline Street","Cambridge","MA","02139","Clean Technology","Clean Energy","Electric Energy R&D","2010","http://www.24mtechnologies.com","-71.1046390137608","42.3603907075727","(42.3603907075727, -71.1046390137608)"
"3DBioLabs","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Tissue engineering and regenerative medicine research and development","2016","https://labcentral.org/resident-companies/3d-biolabs","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Abata Therapeutics","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Focused on translating the biology of regulatory T cells (Tregs) into transformational medicine.","2021","https://abatatx.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Acrivon Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug development","2018",,"-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Actipulse Neuroscience","210 Broadway","Cambridge","MA","02139","Biotechnology","Life Science","Medical company specialized in non invasive brain stimulation technologies","2017","https://actipulse.com/","-71.0932182826967","42.3661132632655","(42.3661132632655, -71.0932182826967)"
"Acworth Pharmaceuticals","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Preclinical development of novel treatments for cancers","2018","https://www.acworthpharma.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Advamedica","One Mifflin Place","Cambridge","MA","02138","Biotechnology","Life Science","Medtech company focused on biomaterial based medical devices",,"https://advamedica.com/","-71.1224787776923","42.3732988725555","(42.3732988725555, -71.1224787776923)"
"Affinivax","301 Binney Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Developing vaccines used to enhance the depth of protection against infectious diseases.",,"http://affinivax.com/","-71.0879679450326","42.3665842178827","(42.3665842178827, -71.0879679450326)"
"Agios Pharmaceuticals","88 Sidney Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Cancer Research","2008","http://www.agios.com","-71.1018787793074","42.3606516160272","(42.3606516160272, -71.1018787793074)"
"Akamai","150 Broadway","Cambridge","MA","02142","Information Technology","High Tech","Software/Internet Applications","1995","http://www.akamai.com","-71.088689669712","42.3643142391919","(42.3643142391919, -71.088689669712)"
"Akashi Therapeutics","245 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D of therapies for DMD and pediatric diseases","2010","http://akashirx.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Akebia Therapeutics","245 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D on Hypoxia inducible factor biology","2007","http://akebia.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Akrivis Technologies","One Broadway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug development",,"http://www.akrivis.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Alexandria LaunchLabs","One Kendall Square","Cambridge","MA","02142","Incubator","Incubator/Coworking","Incubator/Coworking space for seed and early-stage life science companies","2019","https://www.alexandrialaunchlabs.com/cambridge","-71.0911051057089","42.3663645885345","(42.3663645885345, -71.0911051057089)"
"Alltrna","55 Cambridge Pkwy","Cambridge","MA","02142","Biotechnology","Life Science","tRNA platform company","2021","https://www.alltrna.com/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Alnylam Pharmaceuticals","300 Third Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Uses RNA interface for new drug discovery","2002","http://www.alnylam.com/","-71.0823294451049","42.3654975793537","(42.3654975793537, -71.0823294451049)"
"ALS Therapy Development Institute","300 Technology Square","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Nonprofit biotechnology company","1998","http://www.als.net/","-71.0917711454075","42.3634083285031","(42.3634083285031, -71.0917711454075)"
"AltrixBio","325 Vassar Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Focused on oral drug that replicates the metabolic success of bariatric surgery","2019","https://www.altrixbio.com/","-71.1056951550591","42.3549339189278","(42.3549339189278, -71.1056951550591)"
"Amazon","101 Main Street","Cambridge","MA","02142","Information Technology","High Tech","Online shopping, shipping, and software company","1994","http://www.amazon.com","-71.0815834855672","42.3622099312421","(42.3622099312421, -71.0815834855672)"
"Amber Biology","10 Appleton Road","Cambridge","MA","02138","Biotechnology","Life Science","Digital biology consulting firm","2013","http://www.amberbiology.com/","-71.1334317705788","42.3808821913293","(42.3808821913293, -71.1334317705788)"
"Amgen, Inc.","360 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","R&D in human therapeutics","1980","http://www.amgen.com","-71.0901747711236","42.3664369853085","(42.3664369853085, -71.0901747711236)"
"Amide Technologies","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Peptide synthesis","2017","http://www.amidetech.com/","-71.0902043074382","42.3666417762688","(42.3666417762688, -71.0902043074382)"
"Amryt Pharma","245 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug Development in genetic disorders","2005","https://www.amrytpharma.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"AMSBIO LLC","1035 Cambridge Street","Cambridge","MA","02141","Contract Research","Life Science","Research reagents","1987","http://www.amsbio.com/","-71.0937041519439","42.3734936331323","(42.3734936331323, -71.0937041519439)"
"Amylyx Pharmaceutical","43 Thorndike Street","Cambridge","MA","02141","Biopharmaceutical","Life Science","IND-enabling stage pharmaceutical company",,"https://www.amylyx.com/","-71.0792334051895","42.3696277325763","(42.3696277325763, -71.0792334051895)"
"Angiex","700 Main Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in cancer",,"http://angiex.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Angiogenesis Foundation","One Broadway","Cambridge","MA","02142","Academic/Nonprofit R&D","Life Science","Research in angiogenesis-based medicine","1994","http://www.angio.org/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Anida Pharma Inc.","155 Brookline Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Preclinical-stage biopharmaceutical companyÂ",,"https://www.anidapharma.com/","-71.1052534598514","42.3601157807063","(42.3601157807063, -71.1052534598514)"
"Anji Pharmaceuticals","245 Main Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Focused on tackling high-value targets validated by human genetics",,"https://anjipharma.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Anokion","50 Hampshire Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Drug Development",,"https://anokion.com/","-71.092829191189","42.3668780444442","(42.3668780444442, -71.092829191189)"
"Anokion","50 Hampshire Street","Cambridge","MA","02139","Biotechnology","Life Science","Immunotechnology therapies for type-1 diabetes and celiac disease","2016","https://anokion.com/","-71.092829191189","42.3668780444442","(42.3668780444442, -71.092829191189)"
"AnTolRx","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Development of novel patented therapies for autoimmune diseases",,"https://antolrx.com/","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"AOBiome","125 Cambridgepark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Development of microbiome-based therapies for inflammatory conditions","2013","https://www.aobiome.com/","-71.1457538393149","42.3950752907362","(42.3950752907362, -71.1457538393149)"
"Apeiron Synthesis","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Contract Research and Manufacturing","2010","http://www.apeiron-synthesis.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Apic Bio","35 Cambridgepark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Advancing therapies to treat rare diseases",,"https://www.apic-bio.com/","-71.1435428235516","42.3948130745936","(42.3948130745936, -71.1435428235516)"
"Apple","One Broadway","Cambridge","MA","02142","Information Technology","High Tech","Product and Software Development","1976","http://www.apple.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Aquinnah Pharmaceuticals","610 Main Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Neurodegenerative drug development","2014","https://www.aquinnahpharma.com/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
