"permitnumber","permittype","companycompany","address","cross_street","start_date","end_date"
"CBP14651","Crane, Boom, Pump Truck"," Gilbane Company",,,"2015-06-24T07:00:00.000","2015-06-25T16:00:00.000"
"CBP14632","Crane, Boom, Pump Truck"," Bay Crane",,,"2015-06-18T07:00:00.000","2015-06-24T16:00:00.000"
"CBP14622","Crane, Boom, Pump Truck"," Shaughnessy AmQuip, LLC",,,"2015-06-16T07:00:00.000","2015-06-16T16:00:00.000"
"CBP14623","Crane, Boom, Pump Truck"," NES Rentals",,,"2015-06-15T07:00:00.000","2015-06-19T16:00:00.000"
"CBP14607","Crane, Boom, Pump Truck"," Cliffhangers",,,"2015-06-06T09:00:00.000","2015-06-07T18:00:00.000"
"CBP14674","Crane, Boom, Pump Truck"," Lee Kennedy Co.",,,"2015-07-11T07:00:00.000","2015-07-11T16:00:00.000"
"CBP14605","Crane, Boom, Pump Truck"," NES Rentals",,,"2015-06-09T07:00:00.000","2015-06-09T16:00:00.000"
"CBP14646","Crane, Boom, Pump Truck"," Ipswich Bay Glass",,,"2015-06-23T07:00:00.000","2015-06-27T16:00:00.000"
"CBP14644","Crane, Boom, Pump Truck"," Shaughnessy AmQuip, LLC",,,"2015-06-27T07:00:00.000","2015-06-27T16:00:00.000"
"CBP14675","Crane, Boom, Pump Truck"," Back Bay Sign",,,"2015-07-16T07:00:00.000","2015-07-16T16:00:00.000"
"CBP14643","Crane, Boom, Pump Truck"," Astro Crane",,,"2015-07-11T09:00:00.000","2015-07-11T16:00:00.000"
"CBP14608","Crane, Boom, Pump Truck"," Turner Construction",,,"2015-06-04T07:00:00.000","2015-06-04T16:00:00.000"
"CBP14611","Crane, Boom, Pump Truck"," NES Rentals",,,"2015-06-10T07:00:00.000","2015-06-10T16:00:00.000"
"CBP14621","Crane, Boom, Pump Truck"," Gilbane Company",,,"2015-06-10T07:00:00.000","2015-06-11T15:30:00.000"
"CBP14626","Crane, Boom, Pump Truck"," Gilbane Company",,,"2015-06-15T07:00:00.000","2015-06-19T16:00:00.000"
"CBP14654","Crane, Boom, Pump Truck"," Lee Kennedy Co.",,,"2015-06-29T07:00:00.000","2015-06-29T16:00:00.000"
"CBP14676","Crane, Boom, Pump Truck"," Valleycrest",,,"2015-07-09T07:00:00.000","2015-07-09T15:30:00.000"
"CBP14634","Crane, Boom, Pump Truck"," Linh Nguyen  Jamer Crane",,,"2015-06-22T07:00:00.000","2015-06-22T16:00:00.000"
"CBP14631","Crane, Boom, Pump Truck"," Bond Brothers",,"Plympton St","2015-06-22T07:00:00.000","2015-07-02T16:00:00.000"
"CBP14664","Crane, Boom, Pump Truck"," Contracting Specialists Inc",,,"2015-07-07T07:00:00.000","2015-07-13T16:00:00.000"
"CBP14652","Crane, Boom, Pump Truck"," Valleycrest",,,"2015-07-02T07:00:00.000","2015-07-02T16:00:00.000"
"CBP14661","Crane, Boom, Pump Truck"," Richmond Group",,,"2015-07-11T09:00:00.000","2015-07-11T16:00:00.000"
"CBP14662","Crane, Boom, Pump Truck"," NES Rentals",,,"2015-07-01T07:00:00.000","2015-07-10T16:00:00.000"
"CBP14627","Crane, Boom, Pump Truck"," Bay Crane",,,"2015-06-15T07:00:00.000","2015-06-24T16:00:00.000"
"CBP14638","Crane, Boom, Pump Truck"," NES Rentals",,,"2015-06-22T07:00:00.000","2015-06-26T16:00:00.000"
"CBP14636","Crane, Boom, Pump Truck"," HALLAMORE CORPORATION",,"Blackstone St","2015-06-20T09:00:00.000","2015-06-20T16:00:00.000"
"CBP14617","Crane, Boom, Pump Truck"," Turner Construction",,,"2015-06-08T07:00:00.000","2015-06-12T16:00:00.000"
"CBP14629","Crane, Boom, Pump Truck"," Shaughnessy AmQuip, LLC",,,"2015-06-17T07:00:00.000","2015-06-17T16:00:00.000"
"CBP14625","Crane, Boom, Pump Truck"," Gilbane Company",,,"2015-06-13T09:00:00.000","2015-06-13T16:00:00.000"
"CBP14640","Crane, Boom, Pump Truck"," Bay Crane",,,"2015-06-22T07:00:00.000","2015-07-02T16:00:00.000"
"CBP14613","Crane, Boom, Pump Truck"," Shaughnessy AmQuip, LLC",,,"2015-06-10T07:00:00.000","2015-06-10T16:00:00.000"
