"id","geocoded_column","latitude","longitude","applicant_submit_date","issue_date","_of_pool_heaters","_of_heat_pumps","_of_refrigeration_units","_of_radiant_heat_units","_of_steam_generators","_of_fan_coils","_of_temporary_heat_and_l","_of_solar_heat_systems","_of_high_pressure_unit_psi","_of_furnaces","_of_ductless_split_systems","_of_condensers","_of_ventilation_units","_of_boilers","_of__bathroom_exhaust_fans","_of_energy_recovery_systems","_of_cogen_generators","_of__down_draft_exhaust","company_name","permit_type","does_the_proposed_work_include","does_the_proposed_work_include_1","does_the_proposed_work_include_2","building_permit_number","_of_hydro_air_systems","_of_draft_inducers","_of_direct_vent_fireplaces","_of_gas_generators","_of_stove_hoods_commercial","_of_range_hoods_residential","_of_process_piping_feet","_of_evaporative_coils","_of_air_handling_unit_duct","cooling_tower_location","weight_of_cooling_tower_in","total_tonnage_for_cooling","number_of_cooling_tower_units","number_of_cooling_tower_units_1","total_tonnage_for_ac_units","number_of_ac_units_over_25","number_of_ac_units_up_to"
"178216","31 Brattle St
Cambridge, MA 
(42.373488, -71.121067)","42.3735","-71.1208","2022-05-31T00:00:00.000","2022-08-23T00:00:00.000","","","1","","","","","","","","",,"","",,"","","","Division 15 HVAC Inc","Renovation","true","true","false","bldc-167601-2022","","","","","","","","","",,"","","","","","0","1"
"190445","8 Linden St
Cambridge, MA 
(42.372412, -71.11733)","42.3723","-71.1172","2022-08-17T00:00:00.000","2022-08-23T00:00:00.000","","","","9","","","","","","","",,"","",,"","","","TG Gallagher","Renovation","false",,,"","","","","","","","","","",,"","","","","","",""
"191193","159 Upland Rd
Cambridge, MA 
(42.386806, -71.125608)","42.3869","-71.1257","2022-08-22T00:00:00.000","2022-08-23T00:00:00.000","","1","","","","","","","","1","",,"","",,"","","","Central Cooling & Heating, Inc","Replacement","true","false","false","","","","","","","","","1","",,"","","","","","",""
"188424","675 Massachusetts Ave
Cambridge, MA 
(42.365697, -71.104208)","42.3658","-71.1041","2022-08-04T00:00:00.000","2022-08-23T00:00:00.000","","","","","","","","","","","",,"","",,"","","","M&M Construction Services","New","true","false","false","","","","","","2","","","","",,"","","","","","",""
"189026","40 2 Trowbridge St
Cambridge, MA 
(42.372016, -71.111624)","42.372","-71.1112","2022-08-09T00:00:00.000","2022-08-23T00:00:00.000","","","","","","","","","","1","",,"","",,"","","","Central Cooling & Heating, Inc","Replacement","true","false","false","","","","","","","","","1","",,"","","","","","",""
"189561","12 Arnold Cir
Cambridge, MA 
(42.368615, -71.107963)","42.3685","-71.1078","2022-08-11T00:00:00.000","2022-08-23T00:00:00.000","","2","","","","","","","","","2",,"","",,"2","","","Phils Hvac Inc ","Renovation","true","false","false","","10","","","","","","560","","",,"","","","","","",""
"189354","259 Broadway
Cambridge, MA 
(42.367504, -71.096423)","42.3676","-71.0964","2022-08-10T00:00:00.000","2022-08-23T00:00:00.000","","","","","","","","","","","4",,"","",,"","","","Zone Mechanical Inc.","New","true","true","false","179190","","","","","","","","","",,"","","","","","0","4"
"189489","25 Berkshire St
Cambridge, MA 
(42.368837, -71.091722)","42.3689","-71.0918","2022-08-11T00:00:00.000","2022-08-23T00:00:00.000","","","","","","","","","","","1",,"","",,"","","","Attardo Heating & A/C Inc.","New","true","false","false","","","","","","","","","","2",,"","","","","","",""
"189254","223 Norfolk St
Cambridge, MA 
(42.369705, -71.098311)","42.3697","-71.0985","2022-08-10T00:00:00.000","2022-08-23T00:00:00.000","0","0","0","0","0","0","","0","0","1","",,"","",,"","0","","Winters Home Services","Replacement","false",,,"","0","0","0","0","0","0","0","0","0",,"","","","","","",""
"190635","44 Concord Ave
Cambridge, MA 
(42.380477, -71.127637)","42.3804","-71.1277","2022-08-18T00:00:00.000","2022-08-22T00:00:00.000","","1","","","","1","","","","","",,"","",,"","","","Central Cooling & Heating, Inc","Replacement","true","false","false","","","","","","","","","","",,"","","","","","",""
"190547","665 Concord Ave
Cambridge, MA 
(42.38991, -71.14951)","42.39","-71.1494","2022-08-18T00:00:00.000","2022-08-18T00:00:00.000","","","","","","","","","","","2",,"","",,"","","","Poirier & Springer, Inc.","Renovation","true","false","false","","","","","","","","","","",,"","","","","","",""
"181647","39 Antrim St
Cambridge, MA 
(42.37132, -71.103076)","42.3714","-71.1032","2022-06-22T00:00:00.000","2022-08-12T00:00:00.000","","1","","","","1","","","","","",,"","",,"","","","Central Cooling & Heating, Inc","Renovation","true","false","false","","","","","","","","","","",,"","","","","","",""
"188799","249 Huron Ave
Cambridge, MA 
(42.381494, -71.133843)","42.3816","-71.1339","2022-08-08T00:00:00.000","2022-08-12T00:00:00.000","","","","","","","","","","","1",,"","",,"","","","Atlantic Heating & A.C.","New","true","false","false","","","","","","","","","","",,"","","","","","",""
"189195","63 Sparks St
Cambridge, MA 
(42.379095, -71.130959)","42.379","-71.1311","2022-08-10T00:00:00.000","2022-08-10T00:00:00.000","","","","","","","","","","","",,"","",,"","","","Atlantic Heating & A.C.","New","true","false","false","","","","","","","","","","1",,"","","","","","",""
"188912","249 Huron Ave
Cambridge, MA 
(42.381494, -71.133843)","42.3816","-71.1339","2022-08-08T00:00:00.000","2022-08-10T00:00:00.000","","","","","","","","","","","1",,"","",,"","","","Atlantic Heating & A.C.","New","true","false","false","","","","","","","","","","",,"","","","","","",""
"189123","225 Binney St
Cambridge, MA 
(42.366099, -71.085233)","42.3663","-71.0857","2022-07-26T00:00:00.000","2022-08-10T00:00:00.000","","","","","","","","","","","1",,"","",,"","","","Pinnacle Piping & Service","Renovation","false",,,"","","","","","","","","","",,"","","","","","",""
"188386","65 Banks St
Cambridge, MA 
(42.369078, -71.114663)","42.3691","-71.1148","2020-01-15T00:00:00.000","2022-08-09T00:00:00.000","","","","","","","","","","1","",,"","",,"","","","Robles Mechanical services","New","false",,,"","","","","","","","","","",,"","","","","","",""
"188655","125 Binney St
Cambridge, MA 
(42.365645, -71.081659)","42.3658","-71.0807","2022-08-05T00:00:00.000","2022-08-09T00:00:00.000","","","","","","","","","","","",,"","",,"","","","JC Cannistraro","Renovation","true","true","false","177499-2022","","","","","","","","","",,"","","","","","0","2"
"186831","1 Lancaster St
Cambridge, MA 
(42.385574, -71.119632)","42.3857","-71.1196","2022-07-26T00:00:00.000","2022-08-03T00:00:00.000","","1","","","","","","","","","",,"","",,"","","","Sila Services","Replacement","false",,,"","","","","","","","","","1",,"","","","","","",""
"186608","1105 Massachusetts Ave
Cambridge, MA 
(42.370602, -71.113602)","42.3709","-71.1137","2022-07-25T00:00:00.000","2022-08-02T00:00:00.000","","","","","","","","","","","",,"","",,"","","","NEMS","Replacement","true","true","false","186602","","","","","","","30","","2",,"","","","","","0","2"
"184714","18 Peters St
Cambridge, MA 
(42.357373, -71.107005)","42.3574","-71.1069","2022-07-13T00:00:00.000","2022-08-02T00:00:00.000","","1","","","","","","","","","",,"","",,"","","","Atlantic Heating & A.C.","Replacement","true","false","false","","","","","","","","","","1",,"","","","","","",""
"186391","48 Dana St
Cambridge, MA 
(42.37284, -71.108215)","42.3728","-71.1081","2022-07-22T00:00:00.000","2022-08-02T00:00:00.000","","","","1","","","","","","1","",,"","1",,"","","","Correct Temp INC","Renovation","true","false","false","","","","","","","","","2","1",,"","","","","","",""
"184464","888 Massachusetts Ave
Cambridge, MA 
(42.367958, -71.107908)","42.3679","-71.1081","2022-07-05T00:00:00.000","2022-08-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0",,"0","0",,"0","0","0","Revolution Painting & Cleaning Inc. ","Renovation","false",,,"","0","0","0","0","0","1","0","0","0",,"","","","","","",""
"187768","238 Main St
Cambridge, MA 
(42.362254, -71.084668)","42.3622","-71.0845","2022-08-01T00:00:00.000","2022-08-01T00:00:00.000","","","","","","4","","","","","",,"4","",,"","","","RMN Mechanical Contracting Co., Inc.","New","false",,,"","","","","","","","","","",,"","","","","","",""
"184465","888 Massachusetts Ave
Cambridge, MA 
(42.367958, -71.107908)","42.3679","-71.1081","2022-07-06T00:00:00.000","2022-08-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0",,"0","0",,"0","0","0","Revolution Painting & Cleaning Inc. ","Renovation","false",,,"","0","0","0","0","0","1","0","0","0",,"","","","","","",""
"184470","610 Main St
Cambridge, MA 
(42.363075, -71.094946)","42.3629","-71.094","2022-07-08T00:00:00.000","2022-07-28T00:00:00.000","0","2","0","0","2","0","0","0","0","0","0",,"0","0",,"0","0","0","Finbarr Mechanical ","Renovation","false",,,"","0","0","0","0","0","0","0","0","0",,"","","","","","",""
"186643","161 Erie St
Cambridge, MA 
(42.359637, -71.106977)","42.3598","-71.1068","2022-07-25T00:00:00.000","2022-07-27T00:00:00.000","","","","","","","","","","","",,"","",,"","","","Alcantara Contractor Inc","Renovation","false",,,"","","","","","","","","","",,"","","","","","",""
"185837","11 Madison St
Cambridge, MA 
(42.382091, -71.129289)","42.3821","-71.1293","2022-07-19T00:00:00.000","2022-07-27T00:00:00.000","","","","","","","","","","","1",,"","",,"","","","Addario, Inc.","New","true","false","false","","","","","","","","","","",,"","","","","","",""
"184604","16 Kennedy Rd
Cambridge, MA 
(42.378078, -71.134632)","42.3782","-71.1343","2022-07-12T00:00:00.000","2022-07-25T00:00:00.000","","","","","","","","","","","1",,"","",,"","","","Suburban HVAC Inc","New","false",,,"","","","","","","","","","",,"","","","","","",""
"186162","8 Story St
Cambridge, MA 
(42.37402, -71.122337)","42.374","-71.1223","2022-07-21T00:00:00.000","2022-07-25T00:00:00.000","","","","","","84","","","","","",,"","",,"","","","hamel Mcalister","Replacement","false",,,"","","","","","","","400","","",,"","","","","","",""
"185995","50 Magoun St
Cambridge, MA 
(42.399142, -71.135213)","42.3992","-71.1351","2022-07-20T00:00:00.000","2022-07-25T00:00:00.000","0","2","0","0","0","0","0","0","0","0","0",,"0","0",,"0","0","0","Aldo's HVAC LLC","Renovation","true","false","false","","0","0","0","0","1","0","120","0","2",,"","","","","","",""
